test_y,predicted_values
29756.691,30920.783
27970.143,28158.988
26509.508,26168.307
25129.543,24683.78
23070.81,23104.555
22076.268,21422.445
20454.578,20486.307
19223.84,19581.541
18935.88,18575.666
18400.105,18423.791
18668.24,18640.834
18780.846,19329.4
20530.0,19827.455
22161.129,21317.854
21904.86,23578.838
23124.19,24540.59
24678.7,25754.37
27303.875,26531.688
29207.783,28478.662
28792.219,30161.4
29972.113,29742.865
29647.553,30198.457
29322.992,29711.29
28998.434,28842.28
28673.875,27580.588
26679.93,26781.965
25420.988,25060.773
24006.69,23773.611
22398.662,22435.045
20883.875,20989.234
19923.275,19705.828
19118.908,18877.342
17874.578,18399.803
17342.395,17513.066
17983.205,17587.365
19462.254,18683.418
19301.867,20346.291
20618.592,20400.79
23199.12,21859.059
25686.621,24862.455
27243.943,27536.16
29402.184,29089.434
30547.607,30844.422
31658.17,31631.08
32144.861,32379.588
32550.67,32450.434
32524.72,32446.79
31828.062,31819.02
30289.473,30499.908
27572.994,28675.037
26353.734,26012.418
25079.05,24583.06
23639.33,23177.613
22164.402,21907.57
21255.6,20754.723
20664.297,20045.814
20123.064,19643.838
19363.662,19646.58
19947.254,19863.248
21831.727,20873.814
22786.762,22731.31
23363.135,24022.676
25805.389,25266.904
28676.516,28142.2
30542.643,30770.627
32568.379,32374.64
34072.29,33993.363
35836.445,34971.426
36563.207,36094.85
37567.36,36210.137
37173.207,36688.582
36779.05,35763.42
34755.637,34455.22
32546.902,32215.488
31059.084,30223.205
27791.338,28889.846
25586.092,25990.541
23249.965,23999.537
21858.38,22132.5
20731.797,20988.008
20103.488,20110.473
19525.178,19769.092
19933.31,20059.482
21484.367,20955.916
23554.402,22476.365
24418.275,24506.322
25957.57,26039.826
29042.643,28143.072
32533.418,30856.03
34709.086,33925.082
35958.1,36076.27
37103.273,37175.797
39256.516,37598.605
39169.613,38659.215
39428.17,38216.28
38696.76,37732.598
35575.387,36236.855
32995.6,33041.676
30222.078,30409.764
28035.354,27844.71
26391.373,25623.482
25586.338,24105.277
22777.924,23523.906
21774.648,21730.994
20648.734,20792.953
20139.295,20230.15
20369.93,20445.854
21356.34,21423.643
23359.932,22606.562
23725.986,24496.787
26195.775,25527.242
28667.818,28309.225
31635.951,30853.064
33951.094,33244.684
35844.86,35108.137
37594.65,36506.23
38997.89,37486.1
39337.324,38182.75
