test_y,predicted_values
19301.85,18725.904
18726.918,18034.033
18032.25,17881.1
18226.42,17977.86
19572.15,18667.525
20917.879,19314.08
20459.03,19955.941
19697.95,19586.049
18931.049,19014.295
17710.72,18182.611
17866.18,17340.717
18497.78,17572.076
19071.83,17889.205
18291.773,18233.217
17511.719,17980.652
18857.2,18074.832
20029.98,18851.264
19255.22,19379.566
19596.17,19166.396
19983.38,19423.54
19528.719,19767.035
19743.35,19365.658
19324.201,19397.57
19058.53,19078.283
18092.67,18649.44
17662.08,17744.598
17345.469,17554.277
17107.35,17667.08
19826.95,17986.41
19630.67,19570.768
19162.719,18983.7
18683.52,18698.473
18201.28,17961.598
18097.8,17551.906
17966.049,17570.457
18745.365,17734.008
19524.682,18156.742
20303.998,18388.174
21083.312,19377.28
21862.629,20593.264
21037.8,21513.082
20212.97,20788.082
20877.92,20109.18
20652.049,20341.291
20820.78,20274.574
21024.25,20384.621
21058.02,20293.02
20741.5,20260.967
20413.951,19867.748
19847.33,19384.94
19029.92,19027.244
18386.13,18962.275
17844.379,18912.363
17040.379,18059.73
16450.549,16786.46
15999.2705,15910.913
15050.63,15464.171
15359.687,14726.768
15668.743,15232.463
15977.799,15923.564
16045.5,16579.105
16359.25,16555.385
17182.72,17212.719
18339.92,18223.498
19767.42,19169.297
20743.33,19795.14
21091.95,20658.773
21477.95,21206.703
21573.82,21557.082
21559.078,21568.812
21507.55,21433.18
21215.28,21270.615
20942.5,20764.775
19726.47,20208.645
19603.15,19127.867
18735.55,19304.516
18191.9,18918.791
17434.13,18091.072
17007.4,16818.342
16594.7,16268.799
16835.416,15811.53
17076.13,16214.508
17316.848,16700.363
17557.564,17471.16
17798.28,17797.115
18442.469,18112.953
20004.77,18884.27
20921.25,20752.688
21064.129,21548.51
19702.5,21277.547
20327.049,20422.541
19613.0,20630.531
19039.031,19998.398
20745.85,19379.28
20596.33,20183.844
19968.781,20061.979
19525.85,19452.924
19166.7,18704.3
19450.2,18588.12
19448.25,19081.668
20033.14,19460.27
20618.03,19611.326
19863.45,19644.844
19506.568,18986.1
19036.43,18759.633
18734.25,18311.734
18710.42,18326.941
19114.8,18369.965
19328.879,18619.064
19250.016,18796.143
19171.15,19069.975
20532.0,19364.844
22280.35,20148.238
21364.67,21019.348
21721.4,20931.094
22004.0,20865.62
22447.219,21352.166
22328.398,21889.463
21823.83,21751.559
21248.8,21078.998
20417.08,20295.049
19935.28,19575.559
18044.951,19417.646
18504.93,18338.125
22006.38,18744.893
21101.33,20764.547
19900.1,20301.066
19720.15,19434.904
18955.92,18805.17
18679.379,18415.566
18529.0,18329.352
18834.9,18456.162
19709.668,18623.033
19056.186,19197.016
18402.7,19160.81
19793.479,19185.02
21037.15,19954.357
20425.68,20481.246
20512.299,20264.627
20980.35,20242.51
21115.75,20412.715
21262.701,20208.299
21082.168,19923.924
20810.469,19411.088
19987.58,19054.012
19415.969,18257.744
18609.38,18071.473
18961.1,18150.725
19503.266,19051.277
20045.434,19190.408
20587.6,19222.262
19793.78,19263.469
19130.9,18961.668
18867.17,18537.354
18803.88,18319.791
19401.0,18626.045
20264.58,18984.07
20096.164,19438.174
19927.746,19537.664
19759.33,19921.213
19885.215,19994.613
20011.1,19705.227
20682.549,19677.145
20944.25,20092.902
21279.42,20224.4
21411.6,20317.56
21216.398,20225.783
20706.65,19820.986
20106.299,19358.225
19393.02,18871.46
18470.57,18563.19
19277.549,18440.707
20024.79,19454.275
20772.03,19880.758
20317.201,20146.66
19454.47,19477.781
19229.15,18897.543
18887.98,18562.018
19003.7,18564.816
19221.2,18855.4
18814.65,18936.34
19002.916,18503.227
19191.184,18523.139
19379.45,18889.742
20824.1,19117.373
20157.48,19951.516
20109.75,19875.807
20317.53,19956.777
20364.75,20041.207
20196.18,20153.643
19908.75,19817.023
19483.83,19438.994
18784.03,18939.947
17956.25,18117.959
17180.451,17721.875
17233.15,17481.486
20310.97,17860.773
19528.22,19760.664
18995.9,19006.879
18736.78,18785.36
18378.68,18275.572
17896.55,18320.523
17530.1,18018.188
16815.58,18076.453
16895.0,17563.297
16980.693,17556.904
17066.387,17770.996
17152.08,18346.988
18008.13,18485.578
19004.469,18633.73
19815.92,19263.412
20176.45,19693.553
20419.129,19919.873
20225.104,19824.756
20031.076,19574.738
19837.05,19279.121
18696.18,18988.32
18231.33,17970.377
17472.6,17703.908
16841.35,17600.473
16455.129,17651.188
15751.72,16922.646
15230.15,15987.292
14241.6,15243.44
13923.42,14693.572
13807.351,14392.09
13556.38,14500.332
14126.85,14654.774
14484.579,15168.2
15109.199,15590.802
15735.75,16265.43
17664.85,17169.455
18468.57,18811.908
19874.969,19348.22
20064.8,20444.25
20466.23,20602.033
20393.068,21011.053
20234.9,20820.904
19898.35,20499.898
19304.3,19925.582
18541.95,19064.701
17425.88,18253.72
16634.75,17174.117
15391.55,16867.58
15123.569,16148.851
14556.6,15507.555
14289.25,14404.327
13910.63,14099.071
14012.31,13921.728
14113.989,14136.369
14215.67,14569.902
14317.35,15204.718
15189.92,15569.034
15781.73,16369.753
17135.55,17110.521
18565.648,18689.06
19181.38,19933.176
18859.47,20123.186
18971.53,19892.354
18953.75,19833.828
18967.15,19605.39
18914.4,19430.29
18962.75,19130.328
18353.4,18900.326
17652.1,18121.002
16946.73,17223.057
16426.316,16579.6
15905.899,16642.572
18295.28,16490.475
17884.15,17856.69
17242.55,16954.217
17065.25,16793.35
16510.969,16278.007
16194.449,16008.581
16038.8,15737.075
16697.67,15861.154
17018.0,16419.135
16584.914,16527.955
16151.83,16567.525
17632.03,16696.82
17655.889,17786.148
17679.75,17642.225
17791.9,17779.594
18009.08,17784.492
18001.68,18064.656
17856.28,18000.258
17562.8,17858.994
17055.129,17496.926
16399.7,16839.115
15878.529,16076.055
16072.98,15765.132
16267.43,16203.344
18729.201,16881.982
18166.5,18305.596
17483.65,17500.793
16993.82,17018.828
16760.719,16325.814
16180.199,16124.336
16257.4,15741.943
16712.229,15990.245
15544.83,16145.818
15810.25,15328.979
16075.669,15658.784
18102.35,16210.517
19233.3,17848.959
18454.05,18731.074
18844.83,18517.67
19212.4,18649.637
19149.15,18970.098
19296.13,18947.527
19042.92,18785.732
18639.328,18511.088
17930.22,17984.809
17376.4,17283.21
17101.328,16989.883
16889.88,17259.242
19110.13,17603.977
18562.2,18665.115
17863.03,17873.834
17275.719,17461.602
17204.22,16722.53
16832.5,16754.654
16984.33,16478.805
17361.7,16802.887
17365.03,17028.885
17603.229,17122.615
17841.43,17524.143
18079.629,18191.482
18629.588,18622.354
19179.549,18670.684
18945.42,18975.434
18777.5,18841.64
19036.469,18542.602
19210.6,18346.475
19077.25,18263.99
18342.469,17935.232
18105.65,17284.926
17880.969,16920.996
17186.6,17002.375
17663.85,17330.879
18344.676,18175.281
19025.498,18314.777
18586.7,18569.43
18001.55,18224.17
17500.3,17967.873
16739.6,17543.525
17199.6,17008.76
17848.549,17352.734
18523.398,17754.162
18351.6,18258.705
18179.8,18325.72
18008.0,18675.299
19219.6,18563.367
19247.879,19071.514
19827.52,19147.191
20040.0,19304.082
20207.68,19285.906
20048.92,19157.014
19811.7,18754.326
19312.45,18365.396
18594.701,18101.58
17902.92,17490.94
18673.996,17130.531
19445.072,18035.656
20216.15,19215.795
19689.95,19878.496
19205.25,19345.256
18746.32,18711.793
18479.85,18242.592
18421.129,17979.805
18361.4,18179.348
18779.28,18266.053
19066.248,18476.574
19009.969,18654.828
