test_y,predicted_values
1355.8823,1421.2736
1364.7059,1452.6732
1382.3529,1444.6227
1385.2941,1442.2002
1435.2941,1427.7502
1379.4117,1426.8896
1364.7059,1382.9885
1402.9412,1364.1891
1326.4706,1382.5549
1382.3529,1369.459
1411.7646,1417.5911
1470.5883,1456.756
1454.4117,1485.2268
1438.2354,1464.2094
1461.7646,1429.4417
1420.5883,1413.2476
1467.6471,1362.5054
1473.5293,1342.9469
1388.2352,1353.9619
1341.1765,1337.8696
1400.0,1315.213
1332.3529,1352.8918
1364.7059,1346.6008
1335.2941,1353.007
1408.8235,1379.3933
1438.2354,1425.9631
1452.9412,1459.7979
1438.2354,1474.4224
1367.6471,1458.2977
1391.1765,1390.5399
1311.7646,1373.8372
1291.1765,1327.0797
1311.7646,1307.591
1320.5883,1339.2452
1444.1177,1367.4573
1464.7059,1446.3721
1526.4706,1460.6763
1482.3529,1475.7836
1502.9412,1442.1378
1473.5293,1420.0958
1455.8823,1411.9221
1402.9412,1409.2034
1447.0588,1377.8018
1458.8235,1373.696
1314.7058,1405.951
1347.0588,1349.1735
1297.0588,1338.7964
1300.0,1333.5492
1350.0,1358.7196
1400.0,1402.0052
1426.4707,1431.8949
1382.3529,1438.6445
1361.7646,1402.3994
1305.8824,1360.4779
1314.7058,1312.2802
1294.1177,1301.0032
1308.8235,1305.9166
1285.2941,1339.1174
1341.1765,1363.2339
1432.3529,1394.0576
1417.6471,1446.7495
1411.7646,1441.5737
1317.6471,1412.683
1341.1765,1331.878
1264.7058,1292.1
1276.4706,1236.2698
1208.8236,1215.2726
1191.1764,1175.4777
1238.2352,1151.9937
1261.7646,1181.8431
1270.5883,1218.1968
1241.1764,1250.2241
1264.7058,1272.2024
1320.5883,1300.4241
1402.9412,1333.5377
1373.5294,1367.9208
1400.0,1348.7537
1347.0588,1349.033
1291.1765,1320.1139
1297.0588,1281.7994
1273.5294,1286.8243
1267.6471,1296.4355
1352.9413,1322.0809
1388.2352,1373.9504
1432.3529,1392.684
1414.7059,1398.569
1405.8823,1373.4092
1376.4707,1323.965
1379.4117,1285.1664
1300.0,1267.6982
1238.2352,1231.0546
1276.4706,1200.6528
1294.1177,1230.8976
1226.4706,1268.464
1276.4706,1237.4039
1214.7058,1249.6879
1270.5883,1250.1035
1355.8823,1298.2118
1476.4706,1352.4579
1488.2354,1417.1031
1417.6471,1440.6687
1452.9412,1389.0437
1391.1765,1380.1622
1420.5883,1357.7852
1329.4119,1376.2861
1323.5294,1361.9318
1397.0588,1378.772
1473.5293,1422.9038
1500.0,1470.3875
1467.6471,1473.5317
1505.8823,1433.5183
1420.5883,1413.229
1350.0,1361.4825
1244.1177,1302.9326
1726.4706,1235.8208
1489.7059,1435.7107
1252.9412,1434.549
1191.1764,1310.8086
1217.6471,1236.1177
1279.4119,1252.5414
1297.0588,1319.9594
1367.6471,1377.5795
1441.1765,1427.883
1476.4706,1439.9077
1502.9412,1460.016
1420.5883,1450.6405
1344.1177,1414.4355
1388.2352,1359.9283
1341.1765,1371.9911
1358.8235,1374.2538
1432.3529,1428.1492
1541.1765,1488.4125
1517.6471,1546.8619
1544.1177,1526.8694
1485.2941,1512.8542
1517.6471,1472.1113
1455.8823,1448.9365
1308.8235,1419.46
1291.1765,1356.9158
1258.8235,1301.5942
1326.4706,1249.5887
1258.8235,1290.4281
1323.5294,1313.0168
1250.0,1364.9962
1355.8823,1372.6432
1376.4707,1441.418
1497.0587,1479.7416
1455.8823,1525.8325
1435.2941,1507.9703
1426.4707,1464.8188
1405.8823,1441.7568
1282.3529,1434.7803
1282.3529,1363.3954
1326.4706,1347.545
1402.9412,1410.304
1511.7648,1478.4031
1517.6471,1534.4834
1532.3529,1534.0834
1538.2354,1521.3549
1473.5293,1492.6003
1405.8823,1436.3345
1285.2941,1373.3206
1211.7646,1325.8203
1205.8824,1265.5278
1247.0588,1241.429
1223.5294,1267.0493
1264.7058,1287.2302
1229.4117,1320.8197
1308.8235,1336.3489
1300.0,1381.4706
1435.2941,1396.9459
1497.0587,1446.1825
1520.5881,1485.4688
1485.2941,1500.8564
1429.4117,1463.0369
1382.3529,1424.8002
1347.0588,1403.3141
1314.7058,1405.6547
1405.8823,1420.0848
1502.9412,1484.1567
1541.1765,1548.2094
1538.2354,1566.7019
1479.4117,1545.4253
1523.5294,1479.3635
1385.2941,1455.0797
1444.1177,1372.6409
1376.4707,1379.7954
1308.8235,1366.4576
1329.4119,1325.4307
1367.6471,1326.1526
1323.5294,1369.5547
1305.8824,1364.7948
1355.8823,1366.9215
1541.1765,1431.8889
1591.1765,1545.4429
1608.8236,1597.6666
1505.8823,1597.5696
1447.0588,1528.5912
1420.5883,1454.072
1402.9412,1417.17
1408.8235,1411.5455
1402.9412,1446.0306
1529.4117,1502.8191
1617.647,1595.7396
1597.0588,1650.6702
1652.9412,1634.7731
1541.1765,1621.3651
1514.7059,1546.929
1505.8823,1488.2268
1417.6471,1484.5186
1423.5294,1449.4912
1417.6471,1443.0078
1470.5883,1449.2649
1429.4117,1473.6094
1332.3529,1460.6542
1326.4706,1423.1377
1405.8823,1433.727
1476.4706,1499.0411
1550.0,1565.0746
1558.8235,1589.8513
1367.6471,1578.2654
1279.4119,1456.5609
1276.4706,1351.3966
1350.0,1328.9656
1326.4706,1362.4835
1311.7646,1410.584
1473.5293,1444.3239
1508.8235,1548.3042
1582.3529,1581.4799
1541.1765,1580.0837
1511.7648,1544.0912
1476.4706,1487.223
1452.9412,1426.6025
1447.0588,1396.2769
1473.5293,1393.8373
1488.2354,1408.6017
1502.9412,1406.6755
1494.1177,1404.0162
1494.1177,1414.7052
1520.5881,1439.7219
1561.7648,1498.9303
1552.9412,1556.9683
1558.8235,1584.3861
1547.0587,1557.4417
1558.8235,1509.4227
1482.3529,1492.8606
1423.5294,1468.4106
1447.0588,1431.5171
1429.4117,1437.8262
1464.7059,1460.9563
1535.2941,1520.9602
1566.6667,1587.2954
1598.0392,1606.0974
1629.4117,1593.3096
1626.4706,1590.6254
1585.2942,1560.3994
1564.7059,1500.3563
1511.7648,1468.0747
1547.0587,1457.0809
1488.2354,1466.7167
1491.1765,1444.3466
1414.7059,1429.5629
1502.9412,1409.1427
1520.5881,1447.944
1552.9412,1513.7169
1564.7059,1578.0156
1652.9412,1596.4008
1629.4117,1627.2997
1582.3529,1599.0851
1470.5883,1534.5807
1414.7059,1474.4899
1400.0,1404.4092
1379.4117,1376.2935
