test_y,predicted_values
18092.67,18313.219
17662.08,17930.646
17345.469,17358.781
17107.35,17073.828
19826.95,17720.355
19630.67,19348.781
19162.719,19705.668
18683.52,18600.91
18201.28,18075.977
18097.8,17910.639
17966.049,17769.303
18745.365,18140.338
19524.682,19064.332
20303.998,18919.568
21083.312,19915.354
21862.629,21996.525
21037.8,22504.531
20212.97,21535.783
20877.92,20678.062
20652.049,21199.053
20820.78,21313.816
21024.25,20778.55
21058.02,20811.908
20741.5,20762.508
20413.951,20144.195
19847.33,19863.98
19029.92,19558.205
18386.13,19076.49
17844.379,19020.244
17040.379,18012.742
16450.549,16292.408
15999.2705,15838.526
15050.63,15826.408
15359.687,14900.288
15668.743,15286.814
15977.799,16389.633
16045.5,16537.096
16359.25,16536.02
17182.72,17268.63
18339.92,18122.697
19767.42,18844.803
20743.33,19636.666
21091.95,20707.963
21477.95,21291.857
21573.82,21503.033
21559.078,21526.607
21507.55,21452.562
21215.28,21181.479
20942.5,20650.242
19726.47,20184.457
19603.15,19230.904
18735.55,19140.75
18191.9,19076.008
17434.13,17882.873
17007.4,16493.27
16594.7,16382.347
16835.416,16261.197
17076.13,16348.869
17316.848,17147.45
17557.564,17791.656
17798.28,17806.896
18442.469,18153.338
20004.77,19237.115
20921.25,21185.5
21064.129,22114.822
19702.5,21436.432
20327.049,19908.982
19613.0,20345.033
19039.031,20072.637
20745.85,18875.828
20596.33,20256.826
19968.781,20872.107
19525.85,19058.678
19166.7,18778.926
19450.2,19094.04
19448.25,18791.715
20033.14,19931.361
20618.03,20000.223
19863.45,19778.027
19506.568,19663.867
19036.43,19210.857
18734.25,18629.277
18710.42,18813.816
19114.8,19015.396
19328.879,19096.727
19250.016,19540.086
19171.15,19691.576
20532.0,19730.256
22280.35,20480.207
21364.67,21721.01
21721.4,21601.688
22004.0,21654.758
22447.219,22328.717
22328.398,22641.69
21823.83,22517.172
21248.8,21673.299
20417.08,20535.938
19935.28,20306.021
18044.951,20162.512
18504.93,18361.701
22006.38,18823.42
21101.33,21444.346
19900.1,21382.145
19720.15,19217.55
18955.92,19001.49
18679.379,18994.047
18529.0,18490.861
18834.9,18756.19
19709.668,19092.498
19056.186,19442.812
18402.7,19725.633
19793.479,19599.75
21037.15,20331.988
20425.68,21105.625
20512.299,20732.373
20980.35,20261.895
21115.75,21020.297
21262.701,21183.086
21082.168,20827.125
20810.469,20745.947
19987.58,20196.309
19415.969,19187.738
18609.38,18613.975
18961.1,18980.873
19503.266,19709.252
20045.434,19725.535
20587.6,19247.996
19793.78,19633.732
19130.9,19784.527
18867.17,18586.908
18803.88,18515.348
19401.0,19517.562
20264.58,19403.334
20096.164,19668.018
19927.746,20080.59
19759.33,20472.045
19885.215,20491.191
20011.1,19968.068
20682.549,20007.635
20944.25,20823.996
21279.42,21180.22
21411.6,21119.518
21216.398,21438.834
20706.65,21191.51
20106.299,20151.162
19393.02,19623.893
18470.57,19209.262
19277.549,18519.863
20024.79,19481.607
20772.03,20547.227
20317.201,20296.955
19454.47,20017.145
19229.15,19481.73
18887.98,18860.945
19003.7,19236.787
19221.2,19529.936
18814.65,19670.547
19002.916,19504.47
19191.184,18995.97
19379.45,19015.998
20824.1,19498.627
20157.48,20330.496
20109.75,20462.225
20317.53,20274.396
20364.75,20391.41
20196.18,20611.094
19908.75,20106.285
19483.83,19575.605
18784.03,18852.383
17956.25,18263.531
17180.451,17582.064
17233.15,16820.004
20310.97,17540.209
19528.22,19595.68
18995.9,19852.893
18736.78,18536.97
18378.68,18157.336
17896.55,18476.803
17530.1,17943.947
16815.58,17642.926
16895.0,17272.908
16980.693,16831.516
17066.387,17086.79
17152.08,18090.014
18008.13,18097.24
19004.469,18165.13
19815.92,19416.322
20176.45,20287.71
20419.129,20693.81
20225.104,20730.783
20031.076,20180.434
19837.05,19619.639
18696.18,19366.578
18231.33,18202.191
17472.6,17413.361
16841.35,17571.58
16455.129,17266.736
15751.72,16110.845
15230.15,15116.869
14241.6,14813.847
13923.42,14183.37
13807.351,13874.565
13556.38,13757.532
14126.85,13747.556
14484.579,14196.562
15109.199,14774.932
15735.75,15637.275
17664.85,16507.252
18468.57,17958.295
19874.969,19023.652
20064.8,20118.158
20466.23,20547.566
20393.068,20576.664
20234.9,20667.49
19898.35,20222.268
19304.3,19255.938
18541.95,18748.152
17425.88,17924.002
16634.75,16872.61
15391.55,16234.211
15123.569,15763.526
14556.6,14900.874
14289.25,14143.363
13910.63,14021.959
14012.31,13999.988
14113.989,13975.006
14215.67,14303.668
14317.35,14720.346
15189.92,14947.832
15781.73,15566.533
17135.55,16469.994
18565.648,18126.611
19181.38,19779.758
18859.47,19308.29
18971.53,19013.605
18953.75,19302.172
18967.15,18905.39
18914.4,18705.574
18962.75,18631.08
18353.4,18560.188
17652.1,17611.154
16946.73,16640.326
16426.316,16473.805
15905.899,16487.826
18295.28,16516.275
17884.15,17822.633
17242.55,17554.125
17065.25,16946.727
16510.969,16921.936
16194.449,16328.716
16038.8,16107.801
16697.67,16550.523
17018.0,16868.936
16584.914,17294.363
16151.83,17255.203
17632.03,16904.152
17655.889,18184.47
17679.75,18147.709
17791.9,17661.521
18009.08,18077.418
18001.68,18460.85
17856.28,17942.51
17562.8,18051.248
17055.129,17693.447
16399.7,16281.8
15878.529,16222.723
16072.98,15878.738
16267.43,15725.103
18729.201,17240.166
18166.5,18659.312
17483.65,18125.396
16993.82,17180.504
16760.719,16607.535
16180.199,16536.535
16257.4,16327.801
16712.229,16325.747
15544.83,16825.035
15810.25,15893.424
16075.669,15503.461
18102.35,16510.69
19233.3,18377.514
18454.05,19518.31
18844.83,19148.178
19212.4,18870.578
19149.15,19313.902
19296.13,19390.9
19042.92,19050.363
18639.328,18782.455
17930.22,18185.08
17376.4,17333.451
17101.328,16867.986
16889.88,17537.875
19110.13,17757.508
18562.2,18623.414
17863.03,18504.256
17275.719,17371.984
17204.22,17002.473
16832.5,17081.871
16984.33,16769.018
17361.7,17066.363
17365.03,17475.348
17603.229,17284.682
17841.43,18154.36
18079.629,19156.682
18629.588,18953.559
19179.549,18686.035
18945.42,19241.805
18777.5,19169.338
19036.469,18873.29
19210.6,18959.287
19077.25,18962.283
18342.469,18624.725
18105.65,17875.307
17880.969,17396.748
17186.6,17423.143
17663.85,17808.541
18344.676,18357.69
19025.498,18686.723
18586.7,18410.857
18001.55,18247.223
17500.3,18150.492
16739.6,17200.885
17199.6,16666.707
17848.549,17399.654
18523.398,17744.834
18351.6,18413.182
18179.8,18811.299
18008.0,18388.748
19219.6,18634.328
19247.879,19407.664
19827.52,19518.627
20040.0,19741.426
20207.68,20245.936
20048.92,20157.01
19811.7,19823.072
19312.45,19570.434
18594.701,18885.451
17902.92,18367.762
18673.996,17813.004
19445.072,17977.432
20216.15,19848.807
19689.95,20164.701
19205.25,19227.783
18746.32,18523.502
18479.85,18222.148
18421.129,18062.207
18361.4,18422.812
18779.28,18705.98
19066.248,18906.252
19009.969,18974.365
18472.44,19239.56
17934.91,19194.648
17397.38,18701.514
18016.031,18043.34
18322.17,18457.445
18393.65,18929.553
18721.049,18699.506
18663.629,18571.377
18452.4,18518.81
20057.049,18140.492
21557.55,19125.75
21313.35,21187.783
21069.148,21231.967
20824.95,20844.842
20580.75,20845.438
19661.2,19923.264
18963.25,18871.324
18387.78,18391.115
17683.67,17916.852
17687.062,17244.195
17690.455,17298.79
17693.848,17725.002
17697.242,17754.533
17700.633,17897.75
17704.027,18021.455
17707.42,18393.564
18684.22,18235.92
19424.33,18938.172
20394.48,19675.352
20209.6,20609.611
20413.67,20565.326
20436.3,20380.607
20096.129,20597.41
19961.65,20525.025
19475.5,20124.3
18433.201,19260.377
17539.53,18080.576
16824.95,17245.838
16511.85,16918.639
15775.05,15920.761
15793.9,14960.611
15404.449,15106.207
15603.505,15071.5205
15802.56,15049.633
16001.614,15883.5625
16200.67,16458.365
17304.5,16527.057
17414.45,17301.107
17747.58,17974.436
18667.7,18171.545
18834.865,19046.162
19002.03,19252.477
18880.629,18862.703
19136.92,18852.824
19211.4,19060.861
19142.969,18723.545
18842.6,18770.037
18455.9,18595.64
17767.469,17763.537
17141.53,17273.428
16478.049,17141.654
16569.5,16392.957
19039.102,16925.021
18611.328,18423.111
18187.83,18488.004
17696.65,17873.53
17393.898,17640.3
17078.17,17503.318
17021.72,17202.178
17645.1,17377.012
17738.72,17770.035
17311.549,17794.348
16884.38,17566.52
18488.799,17566.088
19103.879,18341.105
18471.398,19299.152
18878.129,18651.824
19074.03,18641.951
19007.629,19455.994
19017.52,19165.535
19011.549,18799.229
18480.719,19003.03
17782.42,18118.135
17118.03,17199.25
17145.314,17238.709
17172.6,17218.73
19366.8,17890.197
19000.219,18923.848
18346.08,18479.133
18116.879,17636.238
17626.281,17981.146
17262.65,17491.902
17100.35,17027.148
17530.67,17625.645
18302.95,17484.162
17929.25,17855.576
17555.549,17948.281
18819.3,17951.936
19721.75,19072.5
18920.95,20049.941
19510.352,19253.375
19843.42,19153.252
19705.63,20100.256
19467.18,19814.238
19174.8,19139.31
18494.17,19199.613
17749.3,18148.15
17150.898,17065.81
16159.099,17135.195
17203.01,16445.512
18246.92,17499.521
18102.5,18526.656
17516.6,17844.129
16981.799,16915.486
16480.898,16995.59
16359.2,16346.559
16593.73,16179.996
16726.75,17217.29
17211.78,17144.275
16562.414,16814.932
15913.05,16880.342
17378.58,16571.887
18376.95,17468.676
18069.3,18830.111
18265.92,18504.047
17804.75,18373.299
17860.92,18216.344
17827.248,17556.354
17432.9,17578.732
16921.47,17348.895
16210.101,16246.658
15566.17,15482.4795
14792.17,15346.916
15123.379,15227.903
17489.379,15463.853
16978.08,17200.875
16287.0205,16942.566
15481.949,15886.449
16083.08,15602.698
15560.72,15854.431
15051.6,15920.428
15806.47,15642.753
16971.78,15881.266
16070.83,16609.244
15169.88,16279.527
16473.0,15345.684
17468.0,16564.809
17681.95,17581.83
17144.07,17749.842
17367.898,17462.889
17364.0,17533.248
17512.28,17427.104
17518.879,17434.54
16649.5,17657.557
15826.319,17024.68
15280.75,15497.752
14707.919,14859.965
14981.7,15203.708
17912.08,15919.729
17758.05,17479.48
17254.53,17745.385
16373.399,16915.908
15974.099,16311.971
15759.529,15943.499
15769.5205,15628.217
14787.63,16128.728
14735.6,15432.627
14264.97,14020.783
14320.149,13817.443
15104.649,14892.386
15266.42,15600.3
16308.349,15820.422
17033.799,16593.236
17597.729,17313.832
17445.537,17843.377
17293.344,17949.979
17141.15,17203.854
16988.957,16628.906
16836.764,16645.65
16684.572,16386.963
16532.38,16161.888
15961.051,16653.717
14903.699,16864.203
14224.38,15178.74
13788.529,13632.706
12995.8,13525.651
12461.28,13112.078
12797.92,12397.734
12892.399,12647.368
12471.33,13183.923
12781.55,12800.782
13665.38,12739.103
14293.72,14019.934
15418.779,15333.986
17616.9,16257.316
18177.5,17742.143
18733.92,18985.814
19344.629,19047.867
20297.95,19272.125
20007.074,20116.234
19716.2,19920.973
19425.326,19174.371
19134.45,18785.023
18267.2,18422.54
17713.45,17652.03
16932.08,17330.477
15714.1,17058.217
15215.08,15461.125
14879.55,14491.905
14438.22,14446.57
14128.83,14374.939
13788.35,14089.715
13900.35,13985.771
14595.55,14131.368
16043.27,15014.601
16181.53,16256.838
17346.15,16993.521
19167.35,18307.912
20501.98,19937.209
19798.65,20716.033
20293.1,19986.695
20679.629,20393.443
20830.98,20847.582
20791.28,20417.277
20488.879,20439.494
20127.97,20213.11
19446.08,19143.238
19005.22,18838.559
18269.299,18837.945
