test_y,predicted_values
1408.8235,1364.8046
1438.2354,1426.3512
1452.9412,1468.2372
1438.2354,1457.4225
1367.6471,1457.3738
1391.1765,1367.7661
1311.7646,1338.36
1291.1765,1320.0131
1311.7646,1289.4673
1320.5883,1311.136
1444.1177,1358.1528
1464.7059,1437.4729
1526.4706,1478.6586
1482.3529,1509.3859
1502.9412,1478.2899
1473.5293,1459.9222
1455.8823,1458.3054
1402.9412,1425.2811
1447.0588,1370.3052
1458.8235,1392.7518
1314.7058,1430.5148
1347.0588,1365.7233
1297.0588,1325.0746
1300.0,1315.5569
1350.0,1336.7512
1400.0,1362.3429
1426.4707,1415.4757
1382.3529,1432.2826
1361.7646,1383.6057
1305.8824,1330.6154
1314.7058,1288.2065
1294.1177,1276.5613
1308.8235,1282.2819
1285.2941,1330.7128
1341.1765,1349.4799
1432.3529,1379.7014
1417.6471,1439.8479
1411.7646,1434.2015
1317.6471,1403.9652
1341.1765,1332.2913
1264.7058,1298.6068
1276.4706,1247.7866
1208.8236,1239.2966
1191.1764,1197.5399
1238.2352,1164.7206
1261.7646,1201.7863
1270.5883,1258.2134
1241.1764,1277.7046
1264.7058,1277.7966
1320.5883,1308.9845
1402.9412,1320.8971
1373.5294,1370.835
1400.0,1359.0011
1347.0588,1338.7959
1291.1765,1315.7184
1297.0588,1280.5676
1273.5294,1280.1305
1267.6471,1304.7389
1352.9413,1331.7751
1388.2352,1376.6803
1432.3529,1405.1547
1414.7059,1414.8601
1405.8823,1394.2085
1376.4707,1379.4346
1379.4117,1340.6252
1300.0,1338.0739
1238.2352,1290.3389
1276.4706,1232.3344
1294.1177,1246.4314
1226.4706,1297.787
1276.4706,1254.4539
1214.7058,1268.5026
1270.5883,1275.1307
1355.8823,1300.3689
1476.4706,1352.2177
1488.2354,1463.1653
1417.6471,1470.0453
1452.9412,1400.8977
1391.1765,1388.63
1420.5883,1372.8265
1329.4119,1396.3405
1323.5294,1368.9376
1397.0588,1376.3966
1473.5293,1429.0028
1500.0,1487.1855
1467.6471,1508.1893
1505.8823,1472.0043
1420.5883,1458.8019
1350.0,1423.1173
1244.1177,1312.8121
1726.4706,1237.3483
1489.7059,1485.8716
1252.9412,1556.1293
1191.1764,1320.0981
1217.6471,1193.6217
1279.4119,1248.8472
1297.0588,1306.5394
1367.6471,1349.8956
1441.1765,1419.8832
1476.4706,1447.2858
1502.9412,1444.5247
1420.5883,1469.804
1344.1177,1428.233
1388.2352,1317.4896
1341.1765,1340.3112
1358.8235,1353.567
1432.3529,1396.9943
1541.1765,1481.9205
1517.6471,1553.7288
1544.1177,1517.6616
1485.2941,1529.0714
1517.6471,1488.9929
1455.8823,1461.1567
1308.8235,1451.0935
1291.1765,1368.9684
1258.8235,1270.3988
1326.4706,1189.0127
1258.8235,1235.4395
1323.5294,1280.4872
1250.0,1305.0779
1355.8823,1304.8901
1376.4707,1372.8901
1497.0587,1436.7747
1455.8823,1493.2408
1435.2941,1467.3596
1426.4707,1407.6068
1405.8823,1380.981
1282.3529,1397.9507
1282.3529,1320.8281
1326.4706,1268.5011
1402.9412,1371.2778
1511.7648,1452.2396
1517.6471,1498.7313
1532.3529,1526.6813
1538.2354,1510.3242
1473.5293,1492.2494
1405.8823,1456.1382
1285.2941,1374.734
1211.7646,1297.9276
1205.8824,1220.8463
1247.0588,1180.1381
1223.5294,1201.8748
1264.7058,1225.2949
1229.4117,1274.3276
1308.8235,1292.0043
1300.0,1339.9774
1435.2941,1363.4105
1497.0587,1399.6049
1520.5881,1456.0613
1485.2941,1462.8009
1429.4117,1434.6301
1382.3529,1410.185
1347.0588,1382.434
1314.7058,1392.9153
1405.8823,1379.9344
1502.9412,1441.609
1541.1765,1527.2788
1538.2354,1537.5747
1479.4117,1514.3224
1523.5294,1452.6345
1385.2941,1435.373
1444.1177,1378.8597
1376.4707,1377.5499
1308.8235,1366.0128
1329.4119,1309.9689
1367.6471,1291.1759
1323.5294,1366.1608
1305.8824,1355.0546
1355.8823,1347.655
1541.1765,1407.1866
1591.1765,1540.3157
1608.8236,1613.5759
1505.8823,1597.2252
1447.0588,1517.5482
1420.5883,1406.4373
1402.9412,1368.5895
1408.8235,1377.8059
1402.9412,1400.4753
1529.4117,1460.7836
1617.647,1549.2546
1597.0588,1641.2091
1652.9412,1618.591
1541.1765,1607.8362
1514.7059,1541.143
1505.8823,1463.1566
1417.6471,1434.8491
1423.5294,1419.3208
1417.6471,1398.6107
1470.5883,1380.9099
1429.4117,1448.1769
1332.3529,1438.1893
1326.4706,1376.4497
1405.8823,1378.6744
1476.4706,1454.9434
1550.0,1528.9612
1558.8235,1557.6046
1367.6471,1544.858
1279.4119,1397.5216
1276.4706,1252.6238
1350.0,1223.394
1326.4706,1314.9199
1311.7646,1356.8779
1473.5293,1372.3391
1508.8235,1492.9646
1582.3529,1552.4689
1541.1765,1559.6764
1511.7648,1520.9828
1476.4706,1475.064
1452.9412,1398.4667
1447.0588,1399.5168
1473.5293,1412.9642
1488.2354,1434.8949
1502.9412,1460.9926
1494.1177,1455.1371
1494.1177,1458.8475
1520.5881,1497.1528
1561.7648,1545.7118
1552.9412,1602.7593
1558.8235,1627.9697
1547.0587,1559.295
1558.8235,1503.6295
1482.3529,1492.8792
1423.5294,1450.4218
1447.0588,1416.3835
1429.4117,1441.5831
1464.7059,1457.5375
1535.2941,1505.6027
1566.6667,1583.597
1598.0392,1606.5493
1629.4117,1580.1145
1626.4706,1588.0804
1585.2942,1574.6659
1564.7059,1547.2457
1511.7648,1540.8754
1547.0587,1512.4401
1488.2354,1513.6622
1491.1765,1496.6378
1414.7059,1460.5901
1502.9412,1433.7097
1520.5881,1461.5493
1552.9412,1539.4719
1564.7059,1587.6621
1652.9412,1603.5325
1629.4117,1631.4811
1582.3529,1601.8169
1470.5883,1533.3638
1414.7059,1436.6354
1400.0,1413.3633
1379.4117,1393.4647
1464.7059,1404.6917
1573.5294,1494.338
1632.3529,1599.6947
1720.5883,1661.8029
1714.7058,1699.5306
1664.7059,1688.7476
1652.9412,1637.3464
1658.8236,1619.1399
1570.5881,1555.4789
1664.7059,1588.9065
1467.6471,1611.8756
1450.0001,1539.9081
1508.8235,1439.3341
1558.8235,1469.4451
1570.5881,1573.4564
1617.647,1595.2054
1655.8823,1637.4022
1579.4117,1691.4642
1644.1176,1604.9634
1552.9412,1563.3694
1476.4706,1521.1284
1432.3529,1418.5957
1455.8823,1387.5717
1435.2941,1438.6572
1438.2354,1478.6251
1564.7059,1509.1687
1723.5294,1613.4227
1785.2941,1723.1022
1758.8236,1786.9503
1744.1177,1739.5742
1755.8824,1695.6294
1652.9412,1690.7626
1594.1176,1631.7358
1614.7059,1566.982
1523.5294,1553.0999
1508.8235,1537.4873
1488.2354,1495.0658
1532.3529,1517.5153
1497.0587,1537.6064
1573.5294,1551.3767
1579.4117,1571.1227
1602.9412,1610.9056
1608.8236,1592.6538
1600.0,1553.338
1517.6471,1519.7368
1450.0001,1482.9799
1482.3529,1431.8146
1464.7059,1457.5801
1514.7059,1498.1996
1626.4706,1571.5297
1655.8823,1694.5632
1673.5294,1719.0581
1691.1764,1681.9086
1717.647,1672.7274
1711.7648,1670.7896
1623.5294,1658.3588
1605.8823,1602.1619
1485.2941,1559.6265
1420.5883,1479.4623
1441.1765,1406.573
1400.0,1406.037
1435.2941,1416.2019
1470.5883,1421.5953
1617.647,1501.4354
1694.1176,1597.709
1570.5881,1684.8654
1620.5881,1617.3066
1561.7648,1548.5662
1488.2354,1505.2118
1447.0588,1454.0704
1497.0587,1424.1627
1376.4707,1481.279
1420.5883,1469.8782
1582.3529,1474.5543
1650.0,1601.025
1670.5883,1700.1605
1700.0,1683.6398
1667.647,1664.788
1688.2354,1667.5343
1541.1765,1607.4423
1505.8823,1535.6224
1379.4117,1460.5005
1358.8235,1364.7701
1329.4119,1328.1497
