test_y,predicted_values
32664.049,34194.266
31228.98,30931.043
29284.367,29020.385
27264.543,27569.092
25098.943,25563.893
22864.895,23263.549
21756.762,21262.803
20469.508,20812.494
19756.936,19650.63
19051.162,19208.707
19375.352,19060.545
20227.643,20110.07
21456.973,21320.986
21574.4,22735.021
22661.41,23587.12
25574.438,24802.273
28928.416,27791.457
29808.7,30976.398
31530.953,31848.0
32855.918,32845.324
32723.627,34531.953
32907.254,33442.227
33439.93,32262.258
32386.303,32980.766
29756.691,31342.174
27970.143,27477.654
26509.508,25662.822
25129.543,25013.9
23070.81,23258.898
22076.268,21445.867
20454.578,20827.541
19223.84,19671.592
18935.88,18647.658
18400.105,18422.752
18668.24,18610.19
18780.846,19745.676
20530.0,19862.5
22161.129,20659.68
21904.86,23755.734
23124.19,24952.104
24678.7,24905.01
27303.875,26092.016
29207.783,28754.857
28792.219,30656.02
29972.113,29960.248
29647.553,29856.598
29322.992,29843.748
28998.434,28460.979
28673.875,27491.312
26679.93,27048.016
25420.988,25334.82
24006.69,23635.143
22398.662,22593.705
20883.875,21358.56
19923.275,19328.895
19118.908,19004.324
17874.578,18766.072
17342.395,17602.984
17983.205,17357.076
19462.254,18885.422
19301.867,20740.182
20618.592,20375.7
23199.12,21196.574
25686.621,25088.258
27243.943,28384.4
29402.184,29241.764
30547.607,30538.23
31658.17,32075.125
32144.861,32430.096
32550.67,32430.693
32524.72,32538.723
31828.062,31896.928
30289.473,30758.053
27572.994,28708.732
26353.734,25661.521
25079.05,24359.494
23639.33,23551.8
22164.402,22199.014
21255.6,21010.96
20664.297,20305.893
20123.064,19941.297
19363.662,19908.285
19947.254,19791.441
21831.727,20843.715
22786.762,23003.205
23363.135,24166.877
25805.389,24689.023
28676.516,27708.11
30542.643,30887.574
32568.379,32682.26
34072.29,33956.957
35836.445,35298.98
36563.207,36451.02
37567.36,37019.977
37173.207,37477.35
36779.05,36891.918
34755.637,35516.516
32546.902,33087.164
31059.084,30771.37
27791.338,29375.53
25586.092,26167.324
23249.965,23161.262
21858.38,21870.666
20731.797,20599.963
20103.488,19851.127
19525.178,19811.635
19933.31,19845.436
21484.367,20620.203
23554.402,22688.088
24418.275,24658.154
25957.57,26209.975
29042.643,28075.76
32533.418,30895.064
34709.086,34661.555
35958.1,36882.94
37103.273,37466.72
39256.516,37952.883
39169.613,39468.81
39428.17,39321.047
38696.76,38414.97
35575.387,37518.605
32995.6,33819.54
30222.078,30255.918
28035.354,28130.6
26391.373,25760.258
25586.338,24077.281
22777.924,24133.035
21774.648,21920.516
20648.734,20204.03
20139.295,20307.41
20369.93,20494.688
21356.34,21168.256
23359.932,22853.918
23725.986,24734.031
26195.775,25611.205
28667.818,28601.316
31635.951,31409.475
33951.094,33318.664
35844.86,35474.75
37594.65,36735.883
38997.89,38689.19
39337.324,39653.24
39350.355,39441.88
37485.918,38252.7
35555.457,35524.496
33035.883,33004.41
31397.078,30646.65
29089.156,29602.488
26799.824,26920.896
24787.254,24980.244
22772.746,23075.46
21538.346,21359.809
20353.908,20393.578
19737.078,19893.846
20005.281,19825.309
21972.184,20812.799
23625.951,23145.318
23311.514,24812.154
24373.451,25215.918
28490.6,26387.809
32611.023,30542.584
34368.49,35342.96
35154.613,36613.746
36464.367,36359.664
37295.25,37039.867
38334.156,37579.938
38159.93,38126.496
38110.496,37644.41
35677.71,35968.234
33321.62,33734.734
31100.035,31218.117
28479.191,29066.664
25797.889,26729.611
23387.502,23662.658
22671.725,21384.828
21313.31,21269.012
20659.613,20748.857
19979.72,19749.574
20045.562,20364.314
21044.121,21262.047
22079.156,22057.697
22703.346,23189.615
24855.6,24323.467
27542.572,26907.955
30168.451,30697.613
32298.627,32184.746
33808.7,33325.78
34799.79,35352.207
35692.36,36080.42
36350.35,35828.742
36230.105,36272.344
35203.027,35856.543
32993.418,33509.645
29868.31,30701.596
27487.816,27561.137
25506.094,25199.21
23675.107,23311.422
21569.016,21903.346
20353.275,20115.037
19790.387,19170.826
19214.648,18888.297
18277.5,18701.86
17816.797,19014.354
18772.254,18650.277
19402.5,19447.469
20744.014,20662.572
22974.965,22378.479
25610.037,25956.414
27436.797,28107.453
28837.008,29025.625
30273.38,30571.633
31280.496,31490.418
31995.457,32234.613
31261.451,32359.03
30527.45,31229.723
29793.443,29118.496
29059.438,27733.393
27082.361,26668.357
24928.17,25245.754
23757.607,23188.12
22057.184,21907.506
20538.346,20615.0
19763.697,19401.225
18635.21,19116.617
17681.902,18232.066
17494.684,16883.91
16842.113,17255.121
18179.648,18311.215
18295.0,18965.045
18932.113,19153.125
20503.346,20370.098
23363.488,23109.654
25099.824,25712.29
26974.754,26866.75
27715.281,28068.354
28012.605,29223.502
27431.445,28802.984
26850.283,27550.42
26269.12,26386.607
25687.959,25358.24
23909.438,24382.836
21942.395,21917.041
20664.791,19809.13
19742.078,18852.705
18504.578,18199.074
17424.684,17177.367
16745.635,16554.736
16611.338,16151.727
15577.889,16194.5205
15478.697,15445.564
16506.057,15362.723
17407.994,17547.07
18338.416,18996.4
18817.678,18984.703
20989.402,20270.686
23475.74,23580.55
25903.488,25925.625
27863.98,27567.79
27790.389,29142.016
28202.29,28975.807
28654.438,28202.523
28733.17,28739.072
28929.402,28502.287
27913.945,28451.492
25995.035,26810.76
24263.275,23821.125
22281.62,22601.75
20697.572,21254.31
18989.086,19451.154
17829.473,17546.658
17070.6,16885.215
16588.557,16373.834
16083.663,16093.824
15615.704,15924.647
15346.162,15942.966
16066.655,16234.495
17153.31,16969.98
17303.908,17924.365
18915.07,19161.02
22081.268,21127.416
24803.592,24163.916
25575.635,26870.393
27296.762,26865.799
28362.326,27398.637
28970.105,29588.41
29302.783,29343.338
29278.559,28939.098
28409.367,29228.65
26317.5,27254.383
23998.662,24373.629
21977.887,22322.916
20656.727,20383.941
19331.268,18644.928
18257.43,18216.771
17114.824,17278.967
16421.303,16539.877
15760.704,15696.94
15413.416,15321.765
15264.931,15667.61
15974.789,16204.881
17162.43,16971.617
17670.389,17695.652
20261.127,19743.635
23660.494,22836.354
25949.367,26239.402
26949.543,27762.023
28254.93,28008.707
29835.918,29188.773
30579.473,30643.56
31762.291,30823.078
30851.68,31875.162
29941.07,30801.463
29030.459,28332.191
26743.064,26749.8
25127.465,25362.979
23203.697,23497.977
20811.057,21791.861
19679.543,19461.217
18426.057,18138.518
17618.592,17896.37
17177.008,16931.857
16609.084,16469.334
17505.318,16719.082
19028.346,17961.611
19999.86,20111.926
19259.05,21682.88
21947.008,21295.28
24975.354,23698.906
28118.627,27545.924
29869.227,29868.89
31261.727,31205.053
32763.84,32542.578
33104.367,33325.227
34309.754,33497.074
33300.812,33882.855
32291.867,33048.97
31282.922,30652.7
28981.832,29210.504
26646.797,27275.234
24633.592,24945.766
22588.559,23021.822
20623.662,20805.7
19895.705,19438.367
19471.832,19002.283
18344.824,18906.354
18057.64,17931.816
18503.521,18046.363
19645.492,19371.578
21829.156,20554.92
21504.543,22597.42
23067.605,23978.32
25654.824,25529.97
30388.451,27884.273
31674.473,31899.963
33336.832,33657.96
35322.43,34278.87
36104.934,35894.39
35362.562,36549.664
34620.195,35022.957
33877.83,33723.3
33135.457,32652.025
30319.262,30993.744
28018.486,28369.121
25893.416,26029.727
23965.21,24099.24
22822.148,22263.49
21728.064,21628.1
21396.48,21101.408
21337.395,20712.363
21592.5,20949.879
21809.016,21822.61
23187.924,22947.18
24160.916,24058.123
24908.943,24895.121
24623.486,26338.793
26683.451,27550.658
29070.916,28793.408
31625.283,30399.414
32910.035,32807.12
33752.465,33995.652
34534.65,34085.02
34030.984,34249.227
33527.33,33702.89
33023.664,32472.389
32542.396,31775.844
29936.2,30721.64
28435.916,27937.398
26647.922,26547.201
25029.79,25246.045
23386.973,23587.422
22120.424,22611.094
21192.219,21465.193
20942.852,20413.725
20176.76,20730.73
20314.262,20379.72
21817.43,21065.076
22037.64,22519.227
23187.043,22673.936
25400.527,23789.725
27035.494,27928.426
29003.346,29907.691
31614.543,30442.166
33423.91,32709.123
33284.895,35032.824
34077.008,34049.434
33484.473,33571.336
32891.938,33163.81
32299.404,32037.432
30388.031,30834.354
28358.31,28536.377
26843.486,25858.197
25471.338,24806.15
23747.432,24049.371
22235.457,22228.785
21148.31,20932.662
20685.775,20689.314
20662.043,20077.37
20862.36,20149.56
21147.113,21212.795
23549.932,22135.809
25412.57,24291.654
25059.05,26243.988
25962.219,26834.97
28612.15,27872.912
31803.873,30687.262
33708.555,33902.332
34584.12,35222.1
35000.844,35697.85
35515.14,35342.887
35590.32,34870.516
35004.86,35022.36
34035.53,34365.492
31742.607,32590.066
29561.373,29704.445
27059.895,27165.977
24727.29,25505.855
22423.275,23107.92
21706.621,20453.553
20240.986,20240.703
19831.902,19970.74
19233.064,19178.602
18748.557,19119.248
19095.105,19376.06
20920.81,20072.068
22381.303,22021.373
22371.129,23197.041
23726.234,23434.863
26685.635,25767.63
29153.627,29483.371
31238.416,30947.709
32554.543,32305.082
33425.703,33621.83
33971.797,34025.465
33110.3,33769.754
32248.805,32581.242
31387.307,31239.855
30525.81,29922.455
28665.564,28402.646
26845.74,26379.928
24838.557,24915.88
22825.459,23158.287
21962.219,21199.602
21027.537,20784.133
20574.084,20726.22
19606.34,20076.588
19108.1,19498.346
19260.527,19510.516
20390.916,20270.736
22228.592,21518.75
22725.387,22604.95
24907.643,23899.184
27545.14,27112.678
29802.113,30475.777
30999.191,31828.57
31486.092,32309.486
32476.55,32457.541
32919.684,32428.332
33611.51,32756.377
33210.176,32804.676
