test_y,predicted_values
1408.8235,1365.9373
1438.2354,1424.7028
1452.9412,1458.008
1438.2354,1467.8246
1367.6471,1439.8201
1391.1765,1370.048
1311.7646,1380.0479
1291.1765,1326.5902
1311.7646,1312.7155
1320.5883,1332.0588
1444.1177,1362.1691
1464.7059,1463.6135
1526.4706,1473.2369
1482.3529,1495.947
1502.9412,1454.8167
1473.5293,1449.9095
1455.8823,1424.7781
1402.9412,1406.0403
1447.0588,1359.7605
1458.8235,1378.9926
1314.7058,1400.8868
1347.0588,1296.968
1297.0588,1328.2832
1300.0,1310.9476
1350.0,1342.1154
1400.0,1394.4436
1426.4707,1423.9156
1382.3529,1429.8469
1361.7646,1380.5253
1305.8824,1350.4785
1314.7058,1314.4264
1294.1177,1317.0741
1308.8235,1319.354
1285.2941,1349.6785
1341.1765,1355.1737
1432.3529,1398.7965
1417.6471,1468.9785
1411.7646,1444.9751
1317.6471,1409.266
1341.1765,1344.0881
1264.7058,1339.3041
1276.4706,1258.8864
1208.8236,1266.283
1191.1764,1212.9568
1238.2352,1199.0044
1261.7646,1215.1588
1270.5883,1243.0515
1241.1764,1278.577
1264.7058,1284.0299
1320.5883,1305.6115
1402.9412,1340.0214
1373.5294,1394.3544
1400.0,1358.6671
1347.0588,1375.4111
1291.1765,1331.415
1297.0588,1298.0275
1273.5294,1315.0544
1267.6471,1308.447
1352.9413,1325.6176
1388.2352,1396.236
1432.3529,1410.5233
1414.7059,1421.026
1405.8823,1399.1849
1376.4707,1371.1816
1379.4117,1350.2789
1300.0,1351.3995
1238.2352,1294.2726
1276.4706,1238.0641
1294.1177,1274.9175
1226.4706,1286.9414
1276.4706,1244.8761
1214.7058,1283.4346
1270.5883,1265.9647
1355.8823,1319.7607
1476.4706,1369.7343
1488.2354,1439.4537
1417.6471,1442.9066
1452.9412,1383.1072
1391.1765,1387.8116
1420.5883,1360.8307
1329.4119,1401.6866
1323.5294,1359.2042
1397.0588,1374.6707
1473.5293,1433.9973
1500.0,1487.0414
1467.6471,1492.9144
1505.8823,1458.757
1420.5883,1452.3634
1350.0,1378.8257
1244.1177,1328.0735
1726.4706,1251.0176
1489.7059,1540.9753
1252.9412,1440.6942
1191.1764,1289.9357
1217.6471,1241.6785
1279.4119,1259.3544
1297.0588,1316.6272
1367.6471,1355.5708
1441.1765,1398.8256
1476.4706,1429.7864
1502.9412,1436.3582
1420.5883,1426.6636
1344.1177,1393.5529
1388.2352,1340.2871
1341.1765,1360.6415
1358.8235,1360.8462
1432.3529,1394.644
1541.1765,1466.9993
1517.6471,1534.6194
1544.1177,1512.5906
1485.2941,1507.3662
1517.6471,1444.8428
1455.8823,1438.0403
1308.8235,1412.8668
1291.1765,1316.6165
1258.8235,1274.864
1326.4706,1234.2988
1258.8235,1274.0319
1323.5294,1256.7167
1250.0,1309.3422
1355.8823,1279.5002
1376.4707,1370.2277
1497.0587,1393.7523
1455.8823,1477.2003
1435.2941,1442.2452
1426.4707,1402.2235
1405.8823,1389.401
1282.3529,1375.217
1282.3529,1286.0631
1326.4706,1301.3866
1402.9412,1360.3359
1511.7648,1443.0873
1517.6471,1510.4048
1532.3529,1501.7083
1538.2354,1504.7042
1473.5293,1469.4861
1405.8823,1412.2188
1285.2941,1358.2246
1211.7646,1280.0267
1205.8824,1224.7726
1247.0588,1209.2151
1223.5294,1235.813
1264.7058,1237.1744
1229.4117,1268.312
1308.8235,1266.1715
1300.0,1337.5231
1435.2941,1342.9901
1497.0587,1422.682
1520.5881,1451.1134
1485.2941,1455.7994
1429.4117,1430.2512
1382.3529,1386.1692
1347.0588,1376.1188
1314.7058,1354.8143
1405.8823,1370.8387
1502.9412,1445.6602
1541.1765,1525.765
1538.2354,1536.453
1479.4117,1527.9673
1523.5294,1454.6278
1385.2941,1433.9308
1444.1177,1340.8903
1376.4707,1400.4332
1308.8235,1351.3423
1329.4119,1286.0143
1367.6471,1305.8782
1323.5294,1350.1312
1305.8824,1353.0165
1355.8823,1352.611
1541.1765,1397.5564
