test_y,predicted_values
19301.85,19328.674
18726.918,18760.742
18032.25,18472.238
18226.42,18342.438
19572.15,18630.55
20917.879,19625.11
20459.03,20266.43
19697.95,19965.578
18931.049,19384.088
17710.72,18835.508
17866.18,18013.873
18497.78,17983.697
19071.83,18487.463
18291.773,18982.197
17511.719,18953.04
18857.2,18684.17
20029.98,19588.217
19255.22,20227.06
19596.17,19795.234
19983.38,20023.932
19528.719,20101.426
19743.35,19592.115
19324.201,19600.295
19058.53,19232.83
18092.67,18548.521
17662.08,17832.29
17345.469,17527.463
17107.35,17448.904
19826.95,17514.023
19630.67,19507.248
19162.719,19549.326
18683.52,19037.598
18201.28,18473.553
18097.8,18219.996
17966.049,18152.318
18745.365,18092.406
19524.682,18473.871
20303.998,18895.29
21083.312,19713.314
21862.629,20642.803
21037.8,21164.205
20212.97,20920.33
20877.92,20675.674
20652.049,21302.52
20820.78,21132.367
21024.25,21385.05
21058.02,21261.238
20741.5,20922.232
20413.951,20152.363
19847.33,19747.365
19029.92,19245.69
18386.13,18731.7
17844.379,18181.867
17040.379,17308.248
16450.549,16505.36
15999.2705,15991.049
15050.63,15732.953
15359.687,14979.314
15668.743,15388.736
15977.799,15626.508
16045.5,16214.352
16359.25,16502.232
17182.72,17310.16
18339.92,18156.22
19767.42,18974.094
20743.33,19798.555
21091.95,20795.96
21477.95,21381.508
21573.82,21786.562
21559.078,22140.959
21507.55,21933.756
21215.28,21435.137
20942.5,20658.32
19726.47,20080.824
19603.15,18938.713
18735.55,19064.705
18191.9,18498.002
17434.13,17658.096
17007.4,17189.97
16594.7,16782.387
16835.416,16611.56
17076.13,16614.592
17316.848,16954.324
17557.564,17811.19
17798.28,18096.33
18442.469,18594.883
20004.77,19347.668
20921.25,20807.076
21064.129,21516.102
19702.5,21323.947
20327.049,20187.668
19613.0,20704.562
19039.031,20054.621
20745.85,19532.166
20596.33,20841.186
19968.781,20597.932
19525.85,19612.605
19166.7,19116.988
19450.2,19005.701
19448.25,19827.074
20033.14,20071.27
20618.03,20200.12
19863.45,20295.326
19506.568,19473.887
19036.43,19081.553
18734.25,18739.988
18710.42,18547.38
19114.8,18835.938
19328.879,19264.738
19250.016,19476.83
19171.15,19673.492
20532.0,19857.13
22280.35,20463.955
21364.67,21534.006
21721.4,20921.312
22004.0,21325.39
22447.219,21698.809
22328.398,21979.838
21823.83,22098.71
21248.8,21312.51
20417.08,20409.658
19935.28,19836.92
18044.951,19668.242
18504.93,18816.105
22006.38,19502.756
21101.33,21478.281
19900.1,20776.648
19720.15,19590.477
18955.92,19204.8
18679.379,18714.934
18529.0,18588.092
18834.9,18719.93
19709.668,19084.975
19056.186,19729.285
18402.7,19697.54
19793.479,19649.746
21037.15,20212.492
20425.68,20989.617
20512.299,20627.314
20980.35,20725.682
21115.75,21157.82
21262.701,21057.709
21082.168,21049.398
20810.469,20667.523
19987.58,20009.355
19415.969,19379.844
18609.38,19109.01
18961.1,19187.648
19503.266,19965.13
20045.434,19987.332
20587.6,19989.344
19793.78,20097.059
19130.9,19332.348
18867.17,18799.598
18803.88,18725.258
19401.0,18937.824
20264.58,19515.305
20096.164,19995.59
19927.746,20170.436
19759.33,20479.006
19885.215,20317.008
20011.1,20183.62
20682.549,20230.168
20944.25,20675.871
21279.42,20922.72
21411.6,21014.584
21216.398,20957.684
20706.65,20723.102
20106.299,20059.441
19393.02,19554.885
18470.57,19251.623
19277.549,19038.164
20024.79,20053.303
20772.03,20361.68
20317.201,20524.44
19454.47,20016.514
19229.15,19393.15
18887.98,19077.99
19003.7,18979.25
19221.2,19395.596
18814.65,19689.025
19002.916,19429.988
19191.184,19491.23
19379.45,19694.89
20824.1,19698.008
20157.48,20286.434
20109.75,19949.504
20317.53,19984.527
20364.75,20194.102
20196.18,20255.736
19908.75,19924.025
19483.83,19552.371
18784.03,19093.424
