test_y,predicted_values
32278.41,31903.377
31515.178,30511.15
28459.686,29485.697
26636.021,27034.145
23556.797,25017.996
22724.402,21839.207
20749.191,20982.686
19614.824,20006.326
18633.03,19464.338
18054.79,19081.656
18234.438,19176.008
19144.473,19740.992
20638.275,20614.928
21522.29,21969.748
23937.71,23643.697
27107.713,26588.363
29529.58,29776.68
31664.332,32239.713
32711.303,33993.793
33732.996,34328.684
34833.91,34408.406
35950.703,34730.18
35888.91,35540.203
34945.11,34952.992
32664.049,33434.355
31228.98,31016.18
29284.367,29308.969
27264.543,27145.424
25098.943,25243.047
22864.895,23525.578
21756.762,21793.43
20469.508,21028.443
19756.936,20539.586
19051.162,20356.066
19375.352,20359.78
20227.643,20999.477
21456.973,21871.432
21574.4,23284.08
22661.41,24265.377
25574.438,25683.129
28928.416,28023.264
29808.7,30777.49
31530.953,31676.996
32855.918,32829.23
32723.627,33368.63
32907.254,32709.607
33439.93,32407.209
32386.303,32426.104
29756.691,31029.334
27970.143,28738.545
26509.508,26865.617
25129.543,25052.93
23070.81,23698.691
22076.268,21993.346
20454.578,20977.008
19223.84,19930.818
18935.88,19184.33
18400.105,19042.582
18668.24,18945.318
18780.846,19593.871
20530.0,19935.207
22161.129,21314.219
21904.86,23344.44
23124.19,24006.717
24678.7,25268.402
27303.875,26443.607
29207.783,28371.95
28792.219,30119.54
29972.113,29497.39
29647.553,29983.85
29322.992,29792.902
28998.434,29317.41
28673.875,28324.252
26679.93,27419.83
25420.988,25664.781
24006.69,24102.338
22398.662,22663.09
20883.875,21340.666
19923.275,20161.617
19118.908,19465.361
17874.578,18972.87
17342.395,18041.84
17983.205,17963.727
19462.254,19027.67
19301.867,20473.123
20618.592,20489.518
23199.12,21926.389
25686.621,24715.668
27243.943,27268.373
29402.184,29107.412
30547.607,31111.994
31658.17,31984.352
32144.861,32247.709
32550.67,32231.543
32524.72,32237.756
31828.062,31596.324
30289.473,30370.373
27572.994,28530.424
26353.734,26110.01
25079.05,24573.639
23639.33,23391.168
22164.402,22303.564
21255.6,21243.695
20664.297,20562.184
20123.064,20101.16
19363.662,19875.18
19947.254,19854.408
21831.727,20894.0
22786.762,22691.7
23363.135,23797.03
25805.389,24973.387
28676.516,27682.314
30542.643,30603.53
32568.379,32687.492
34072.29,34563.848
35836.445,35706.38
36563.207,36255.875
37567.36,36017.59
37173.207,36336.938
36779.05,35499.28
34755.637,34394.215
32546.902,32144.916
31059.084,30159.506
27791.338,28701.191
25586.092,25893.572
23249.965,23987.592
21858.38,22192.002
20731.797,21179.111
20103.488,20481.658
19525.178,20188.342
19933.31,20519.916
21484.367,21615.803
23554.402,23127.412
24418.275,24958.254
25957.57,26312.303
29042.643,28254.371
32533.418,31146.201
34709.086,34301.336
35958.1,36177.14
37103.273,37382.76
39256.516,37782.67
39169.613,38804.984
39428.17,38231.88
38696.76,37658.395
35575.387,36276.953
32995.6,32784.277
30222.078,30125.307
28035.354,27708.887
26391.373,25979.24
25586.338,24606.135
22777.924,23868.996
21774.648,22072.33
20648.734,21241.242
20139.295,20370.543
20369.93,20735.625
21356.34,21781.281
23359.932,22922.21
23725.986,24849.54
26195.775,25878.533
28667.818,28345.348
31635.951,30783.219
33951.094,33581.535
35844.86,35147.797
37594.65,36744.31
38997.89,37525.92
39337.324,38010.875
39350.355,37707.83
37485.918,36640.89
35555.457,34611.89
33035.883,32654.393
31397.078,30354.229
29089.156,28907.238
26799.824,27022.22
24787.254,25094.121
22772.746,23500.643
21538.346,22180.482
20353.908,21267.697
19737.078,20230.74
20005.281,20660.113
21972.184,21563.574
23625.951,23317.182
23311.514,24948.855
24373.451,25584.992
28490.6,26969.26
32611.023,30573.203
34368.49,34286.906
35154.613,35904.77
36464.367,36709.895
37295.25,36479.58
38334.156,36245.742
38159.93,36697.535
38110.496,35918.613
35677.71,35157.2
33321.62,33069.047
31100.035,31091.326
28479.191,29077.205
25797.889,26731.625
23387.502,24585.113
22671.725,22764.398
21313.31,22060.775
20659.613,21002.818
19979.72,20367.3
20045.562,20428.717
21044.121,21339.562
22079.156,22557.453
22703.346,23540.082
24855.6,24703.97
27542.572,27106.086
30168.451,30034.395
32298.627,32630.988
33808.7,34132.0
34799.79,35143.59
35692.36,35067.5
36350.35,34943.355
36230.105,35194.195
35203.027,34659.723
32993.418,33351.336
29868.31,31049.979
27487.816,28263.848
25506.094,26020.041
23675.107,24099.828
21569.016,22574.264
20353.275,20887.346
19790.387,19591.447
19214.648,19199.273
18277.5,18981.889
17816.797,19198.154
18772.254,19777.244
19402.5,20620.98
20744.014,21019.4
22974.965,22427.547
25610.037,24840.002
27436.797,27311.938
28837.008,28858.596
30273.38,29959.363
31280.496,31081.953
31995.457,31500.236
31261.451,31742.516
30527.45,31254.82
29793.443,30065.469
29059.438,28630.697
27082.361,27401.926
24928.17,25640.975
23757.607,23299.818
22057.184,21931.396
20538.346,20570.63
19763.697,19428.848
18635.21,19045.45
17681.902,18411.031
17494.684,17883.557
16842.113,18175.11
18179.648,18230.434
18295.0,19403.32
18932.113,19528.904
20503.346,20564.838
23363.488,22821.027
25099.824,25464.201
26974.754,26833.045
27715.281,28271.146
28012.605,28656.395
27431.445,28695.273
26850.283,28155.357
26269.12,27721.744
25687.959,26636.73
23909.438,25291.201
21942.395,23192.3
20664.791,21038.318
19742.078,19392.385
18504.578,18419.049
17424.684,17649.938
16745.635,17071.496
16611.338,16679.49
15577.889,16576.828
15478.697,15857.05
16506.057,16116.478
17407.994,17394.76
18338.416,18659.266
18817.678,19771.215
20989.402,20731.23
23475.74,23102.111
25903.488,25551.896
27863.98,27611.152
27790.389,28976.309
28202.29,28892.926
28654.438,28644.27
28733.17,28664.383
28929.402,28490.967
27913.945,28074.164
25995.035,26740.904
24263.275,24615.387
22281.62,22946.318
20697.572,21095.25
18989.086,19573.504
17829.473,18414.72
17070.6,17724.924
16588.557,17098.658
16083.663,16644.242
15615.704,16399.9
15346.162,16495.895
16066.655,16713.602
17153.31,17498.754
17303.908,18629.238
18915.07,19376.414
22081.268,21393.334
24803.592,24274.623
25575.635,26485.896
27296.762,26971.594
28362.326,28188.486
28970.105,28491.43
29302.783,28587.4
29278.559,28589.664
28409.367,28234.912
26317.5,27095.193
23998.662,24969.418
21977.887,22865.91
