test_y,predicted_values
1408.8235,1420.8772
1438.2354,1469.5708
1452.9412,1494.3855
1438.2354,1501.3962
1367.6471,1495.5728
1391.1765,1408.642
1311.7646,1388.7358
1291.1765,1327.3474
1311.7646,1324.0135
1320.5883,1351.8932
1444.1177,1373.2146
1464.7059,1451.2965
1526.4706,1481.7524
1482.3529,1511.9752
1502.9412,1486.9282
1473.5293,1477.5688
1455.8823,1440.764
1402.9412,1471.3065
1447.0588,1404.8501
1458.8235,1422.3861
1314.7058,1431.0336
1347.0588,1371.9417
1297.0588,1372.1942
1300.0,1374.04
1350.0,1393.0967
1400.0,1421.1627
1426.4707,1470.003
1382.3529,1463.4353
1361.7646,1420.894
1305.8824,1363.3523
1314.7058,1307.9098
1294.1177,1295.0267
1308.8235,1310.024
1285.2941,1349.4763
1341.1765,1397.4229
1432.3529,1418.5787
1417.6471,1467.8799
1411.7646,1469.1494
1317.6471,1441.245
1341.1765,1363.3181
1264.7058,1326.0265
1276.4706,1272.7606
1208.8236,1259.8914
1191.1764,1222.9625
1238.2352,1190.0415
1261.7646,1220.9406
1270.5883,1252.9819
1241.1764,1272.6356
1264.7058,1313.2091
1320.5883,1344.5345
1402.9412,1367.9955
1373.5294,1424.7396
1400.0,1394.8097
1347.0588,1398.9512
1291.1765,1363.0287
1297.0588,1320.1353
1273.5294,1314.6798
1267.6471,1329.874
1352.9413,1342.5576
1388.2352,1389.9412
1432.3529,1419.4464
1414.7059,1411.5463
1405.8823,1419.1086
1376.4707,1405.6191
1379.4117,1355.112
1300.0,1345.9921
1238.2352,1300.1133
1276.4706,1277.9412
1294.1177,1293.5831
1226.4706,1290.1215
1276.4706,1283.8252
1214.7058,1326.43
1270.5883,1326.9489
1355.8823,1357.4056
1476.4706,1394.922
1488.2354,1467.363
1417.6471,1460.6123
1452.9412,1457.1982
1391.1765,1389.8464
1420.5883,1384.4926
1329.4119,1400.2036
1323.5294,1388.6008
1397.0588,1443.3657
1473.5293,1459.5743
1500.0,1477.6046
1467.6471,1496.8667
1505.8823,1485.8513
1420.5883,1468.9912
1350.0,1403.2881
1244.1177,1330.1425
1726.4706,1265.062
1489.7059,1509.8386
1252.9412,1460.2738
1191.1764,1377.661
1217.6471,1294.1636
1279.4119,1306.4742
1297.0588,1345.2678
1367.6471,1413.6755
1441.1765,1438.1477
1476.4706,1481.0317
1502.9412,1470.4738
1420.5883,1487.1989
1344.1177,1450.3785
1388.2352,1366.9913
1341.1765,1362.2042
1358.8235,1408.9254
1432.3529,1438.7715
1541.1765,1472.262
1517.6471,1531.0353
1544.1177,1566.4962
1485.2941,1546.1536
1517.6471,1503.3917
1455.8823,1482.4791
1308.8235,1456.7587
1291.1765,1395.327
1258.8235,1310.1101
1326.4706,1267.735
1258.8235,1288.7489
1323.5294,1278.5863
1250.0,1320.4503
1355.8823,1347.9858
1376.4707,1420.2552
1497.0587,1469.2114
1455.8823,1522.7036
1435.2941,1496.209
1426.4707,1465.8439
1405.8823,1442.5774
1282.3529,1422.7548
1282.3529,1352.5502
1326.4706,1333.6315
1402.9412,1371.9999
1511.7648,1470.7479
1517.6471,1511.1622
1532.3529,1536.2324
1538.2354,1504.01
1473.5293,1503.4056
1405.8823,1471.8353
1285.2941,1415.3212
1211.7646,1328.525
1205.8824,1269.8529
1247.0588,1253.8862
1223.5294,1257.5131
1264.7058,1257.2141
1229.4117,1295.3141
1308.8235,1306.499
1300.0,1389.4575
1435.2941,1396.1335
1497.0587,1450.6888
1520.5881,1478.0604
1485.2941,1496.2169
1429.4117,1438.1653
1382.3529,1422.2965
1347.0588,1412.3723
1314.7058,1414.5342
1405.8823,1436.1716
1502.9412,1460.4271
1541.1765,1544.5103
1538.2354,1556.6213
1479.4117,1532.5175
1523.5294,1461.041
1385.2941,1469.185
1444.1177,1383.5139
1376.4707,1414.7924
1308.8235,1382.2363
1329.4119,1315.7197
1367.6471,1337.0786
1323.5294,1343.1449
1305.8824,1387.7954
1355.8823,1394.9591
1541.1765,1453.2692
