test_y,predicted_values
32278.41,31874.887
31515.178,30178.957
28459.686,28547.15
26636.021,26447.57
23556.797,24673.242
22724.402,22555.346
20749.191,21505.045
19614.824,20241.506
18633.03,20151.664
18054.79,19711.666
18234.438,19664.4
19144.473,20089.037
20638.275,21217.193
21522.29,22474.072
23937.71,24152.766
27107.713,26293.205
29529.58,28531.879
31664.332,31424.387
32711.303,33483.58
33732.996,34553.348
34833.91,34971.043
35950.703,35595.848
35888.91,35870.094
34945.11,34716.867
32664.049,33309.83
31228.98,31208.162
29284.367,29518.78
27264.543,27397.14
25098.943,25518.129
22864.895,23682.865
21756.762,21891.957
20469.508,20808.85
19756.936,20273.266
19051.162,20701.865
19375.352,20715.885
20227.643,21154.02
21456.973,21938.426
21574.4,23351.23
22661.41,24558.879
25574.438,26118.71
28928.416,28318.332
29808.7,30741.426
31530.953,32313.941
32855.918,33689.543
32723.627,34639.555
32907.254,34802.805
33439.93,34012.69
32386.303,33122.67
29756.691,31497.04
27970.143,28973.541
26509.508,26816.436
25129.543,24876.887
23070.81,23190.895
22076.268,22034.053
20454.578,20836.086
19223.84,19629.781
18935.88,18384.623
18400.105,18411.38
18668.24,18805.021
18780.846,19842.676
20530.0,20348.861
22161.129,21818.986
21904.86,23474.814
23124.19,24963.557
24678.7,26477.506
27303.875,28183.896
29207.783,29608.527
28792.219,30361.889
29972.113,30832.744
29647.553,30948.367
29322.992,30677.373
28998.434,29140.693
28673.875,27663.092
26679.93,26802.457
25420.988,25165.52
24006.69,23315.53
22398.662,22048.672
20883.875,21099.24
19923.275,20607.822
19118.908,19715.572
17874.578,19217.547
17342.395,18580.781
17983.205,18606.367
19462.254,19010.365
19301.867,20409.25
20618.592,21287.424
23199.12,22261.602
25686.621,24488.209
27243.943,26829.336
29402.184,29034.225
30547.607,31114.078
31658.17,32760.492
32144.861,33182.027
32550.67,32652.557
32524.72,32736.74
31828.062,32293.51
30289.473,30600.396
27572.994,29175.787
26353.734,27205.6
25079.05,25444.633
23639.33,23256.514
22164.402,21898.527
21255.6,20786.342
20664.297,20262.943
20123.064,19849.475
19363.662,20027.654
19947.254,20402.447
21831.727,20940.68
22786.762,22342.088
23363.135,24080.826
25805.389,25707.834
28676.516,27644.598
30542.643,30226.914
32568.379,32230.477
34072.29,33926.816
35836.445,35424.09
36563.207,36357.836
37567.36,36797.168
37173.207,36790.992
36779.05,35771.77
34755.637,34139.145
32546.902,32458.107
31059.084,30421.713
27791.338,28545.965
25586.092,26131.848
23249.965,24233.248
21858.38,22612.229
20731.797,21562.486
20103.488,20666.121
19525.178,20425.2
19933.31,20811.316
21484.367,20937.13
23554.402,21874.508
24418.275,23878.592
25957.57,25664.908
29042.643,27650.771
32533.418,29887.975
34709.086,32826.82
35958.1,35526.6
37103.273,36784.77
39256.516,37865.96
39169.613,38430.38
39428.17,38398.79
38696.76,37497.05
35575.387,36182.72
32995.6,33492.64
30222.078,30339.348
28035.354,27957.236
26391.373,26166.373
25586.338,24212.748
22777.924,23403.701
21774.648,21877.447
20648.734,20740.652
20139.295,20078.494
20369.93,20366.09
21356.34,21317.121
23359.932,22474.123
23725.986,23907.55
26195.775,25549.672
28667.818,28101.86
31635.951,30405.793
33951.094,32924.56
35844.86,35011.48
37594.65,36884.99
38997.89,38271.734
39337.324,38685.773
39350.355,38152.664
37485.918,37115.457
35555.457,35375.348
33035.883,32982.258
31397.078,30325.04
29089.156,28371.693
26799.824,26148.754
24787.254,24112.271
22772.746,22723.412
21538.346,21393.307
20353.908,20561.648
19737.078,19713.037
20005.281,19628.63
21972.184,20453.502
23625.951,21961.443
23311.514,23727.838
24373.451,25243.277
28490.6,27248.527
32611.023,29844.941
34368.49,32978.668
35154.613,35419.758
36464.367,36553.652
37295.25,37217.47
38334.156,37768.43
38159.93,37317.07
38110.496,36002.555
35677.71,34632.35
33321.62,32498.578
31100.035,30209.516
28479.191,27991.096
25797.889,26122.072
23387.502,24380.322
22671.725,22262.344
21313.31,21081.096
20659.613,20220.857
19979.72,19938.832
20045.562,19906.96
21044.121,20847.238
22079.156,22032.97
22703.346,23218.422
24855.6,24475.006
27542.572,26530.432
30168.451,28913.518
32298.627,31214.928
33808.7,33268.688
34799.79,34379.81
35692.36,35419.566
36350.35,35612.688
36230.105,35338.33
35203.027,34166.438
32993.418,32476.457
29868.31,30442.697
27487.816,28351.312
25506.094,25924.082
23675.107,23675.746
21569.016,21975.527
20353.275,20582.88
19790.387,19280.988
19214.648,18908.3
18277.5,18517.482
17816.797,18134.734
18772.254,18500.445
19402.5,19566.232
20744.014,20816.453
22974.965,22352.92
25610.037,24454.307
27436.797,27289.715
28837.008,29514.105
30273.38,30637.664
31280.496,31574.008
31995.457,31837.957
31261.451,31952.004
30527.45,31889.592
29793.443,30398.092
29059.438,28208.404
27082.361,26342.324
24928.17,24797.281
23757.607,22909.428
22057.184,21144.05
20538.346,20014.143
19763.697,19175.512
18635.21,18760.832
17681.902,17879.45
17494.684,17500.402
16842.113,17832.64
18179.648,17869.389
18295.0,18579.02
