test_y,predicted_values
19145.33,19558.045
18516.078,18881.908
17654.0,18478.23
18368.469,17909.15
18957.262,18076.707
19546.057,18463.64
20134.85,19041.291
19229.85,19055.352
18616.4,19032.398
18071.451,18646.812
17876.818,18480.973
18142.5,18273.629
17669.52,18649.922
17837.41,18353.318
18005.299,19000.143
19693.28,19121.615
20858.1,19631.553
20149.719,20353.824
20278.748,20910.99
20394.568,20921.516
20616.67,21160.406
20735.38,20901.855
20494.979,20675.95
19902.049,20303.291
19301.85,19481.896
18726.918,18693.543
18032.25,18747.98
18226.42,18383.848
19572.15,19082.17
20917.879,19533.049
20459.03,19731.186
19697.95,19859.115
18931.049,19622.516
17710.72,19151.582
17866.18,18803.137
18497.78,18474.096
19071.83,18698.453
18291.773,19093.666
17511.719,19280.197
18857.2,19426.2
20029.98,19919.451
19255.22,20106.033
19596.17,20133.11
19983.38,20214.963
19528.719,20611.203
19743.35,20437.387
19324.201,20087.633
19058.53,19837.22
18092.67,18982.668
17662.08,18102.227
17345.469,17860.324
17107.35,17704.229
19826.95,18050.861
19630.67,18944.277
19162.719,19290.75
18683.52,18793.564
18201.28,17893.305
18097.8,17537.15
17966.049,17763.0
18745.365,18282.342
19524.682,18566.469
20303.998,18983.129
21083.312,19958.424
21862.629,20790.6
21037.8,21957.42
20212.97,21880.24
20877.92,21612.492
20652.049,21510.008
20820.78,21244.021
21024.25,21131.387
21058.02,21472.014
20741.5,20820.52
20413.951,19932.947
19847.33,19728.73
19029.92,19740.19
18386.13,19472.39
17844.379,19219.318
17040.379,18663.99
16450.549,18396.158
15999.2705,17166.186
15050.63,16332.417
15359.687,15889.076
15668.743,16137.453
15977.799,16670.459
16045.5,17235.771
16359.25,17483.496
17182.72,17757.326
18339.92,18060.959
19767.42,18742.562
20743.33,19501.357
21091.95,20611.426
21477.95,21219.562
21573.82,21580.947
21559.078,21497.791
21507.55,21378.982
21215.28,20982.744
20942.5,20215.193
19726.47,19897.92
19603.15,19595.158
18735.55,19353.3
18191.9,19183.1
17434.13,19082.34
17007.4,18198.922
16594.7,17063.963
16835.416,16294.12
17076.13,16191.357
17316.848,16967.414
17557.564,17511.879
17798.28,18221.066
18442.469,18588.584
20004.77,19273.58
20921.25,20464.016
21064.129,21343.756
19702.5,21715.229
20327.049,21504.611
19613.0,21074.209
19039.031,20584.098
20745.85,20261.09
20596.33,20561.969
19968.781,20701.676
19525.85,19733.184
19166.7,18986.688
19450.2,18880.113
19448.25,18515.615
20033.14,18978.66
20618.03,19493.83
19863.45,19894.459
19506.568,19695.506
19036.43,18874.809
18734.25,18652.652
18710.42,18869.568
19114.8,19065.984
19328.879,19298.75
19250.016,19741.346
19171.15,20220.895
20532.0,20240.486
22280.35,20679.018
21364.67,21444.826
21721.4,21964.645
22004.0,21958.375
