test_y,predicted_values
18092.67,18426.086
17662.08,17613.812
17345.469,17480.29
17107.35,17736.068
19826.95,17558.857
19630.67,18761.738
19162.719,19284.297
18683.52,18822.936
18201.28,18102.648
18097.8,17551.15
17966.049,17650.346
18745.365,17908.025
19524.682,18405.955
20303.998,19132.25
21083.312,20081.227
21862.629,21368.88
21037.8,22153.531
20212.97,21651.924
20877.92,20907.486
20652.049,21010.748
20820.78,20970.021
21024.25,20834.506
21058.02,20738.373
20741.5,20505.404
20413.951,19963.562
19847.33,19555.27
19029.92,19316.164
18386.13,19247.94
17844.379,18868.508
17040.379,18174.016
16450.549,16985.576
15999.2705,16040.649
15050.63,15401.907
15359.687,14862.172
15668.743,15236.758
15977.799,16020.131
16045.5,16683.184
16359.25,16709.807
17182.72,17159.604
18339.92,18004.979
19767.42,18878.574
20743.33,19600.844
21091.95,20478.229
21477.95,20933.543
21573.82,21545.936
21559.078,21593.174
21507.55,21532.293
21215.28,21044.688
20942.5,20322.588
19726.47,19929.094
19603.15,19270.727
18735.55,19275.096
18191.9,18849.443
17434.13,18102.625
17007.4,17099.02
16594.7,16426.336
16835.416,16174.8545
17076.13,16298.799
17316.848,16914.39
17557.564,17584.0
17798.28,18114.662
18442.469,18289.625
20004.77,19033.875
20921.25,20722.268
21064.129,21784.703
19702.5,21764.025
20327.049,20377.195
19613.0,20092.557
19039.031,20065.354
20745.85,19381.0
20596.33,20042.264
19968.781,20175.172
19525.85,19491.293
19166.7,18858.998
19450.2,18867.053
19448.25,19371.568
20033.14,19409.334
20618.03,19621.734
19863.45,19871.682
19506.568,19452.936
19036.43,18987.252
18734.25,18628.44
18710.42,18754.592
19114.8,18958.674
19328.879,19331.096
19250.016,19649.582
19171.15,19933.623
20532.0,20084.723
22280.35,20493.977
21364.67,21774.463
21721.4,21660.748
22004.0,21737.742
22447.219,22046.523
22328.398,22554.531
21823.83,22369.61
21248.8,21652.53
20417.08,20817.75
19935.28,20025.602
18044.951,19868.176
18504.93,19182.457
22006.38,18626.883
21101.33,20517.453
19900.1,21061.484
19720.15,19862.465
18955.92,19051.787
18679.379,18420.8
18529.0,18542.766
18834.9,18588.25
19709.668,18836.201
19056.186,19592.576
18402.7,19880.443
19793.479,19700.219
21037.15,20004.262
20425.68,20885.482
20512.299,20739.674
20980.35,20771.525
21115.75,21030.527
21262.701,21083.973
21082.168,20970.31
20810.469,20720.057
19987.58,20036.389
19415.969,19520.06
18609.38,19286.49
18961.1,19288.686
19503.266,19324.0
20045.434,19576.691
20587.6,19474.498
19793.78,19857.674
19130.9,19440.361
18867.17,18850.387
18803.88,18771.256
19401.0,18880.863
20264.58,19406.832
20096.164,20016.018
19927.746,20430.525
19759.33,20698.37
19885.215,20597.7
20011.1,20272.238
20682.549,19999.146
20944.25,20324.957
21279.42,21004.816
21411.6,21285.918
21216.398,21505.764
20706.65,21116.188
20106.299,20392.814
19393.02,19708.648
18470.57,19426.914
19277.549,19175.484
20024.79,19513.928
20772.03,19803.963
20317.201,20344.873
