test_y,predicted_values
32664.049,33771.766
31228.98,31325.879
29284.367,29047.412
27264.543,26972.432
25098.943,25164.99
22864.895,23373.143
21756.762,21679.375
20469.508,20588.455
19756.936,19816.742
19051.162,19196.154
19375.352,19305.223
20227.643,19977.133
21456.973,21269.701
21574.4,22873.838
22661.41,24208.486
25574.438,25407.33
28928.416,27497.697
29808.7,30225.855
31530.953,31891.58
32855.918,33130.85
32723.627,33920.676
32907.254,33623.95
33439.93,32913.97
32386.303,32211.17
29756.691,31046.395
27970.143,28592.2
26509.508,26198.84
25129.543,24376.459
23070.81,22989.785
22076.268,21462.908
20454.578,20530.281
19223.84,19461.49
18935.88,18706.627
18400.105,18502.938
18668.24,18775.62
18780.846,19214.326
20530.0,19645.78
22161.129,21077.66
21904.86,23271.117
23124.19,24600.191
24678.7,25804.027
27303.875,26922.193
29207.783,28323.107
28792.219,29904.377
29972.113,29985.266
29647.553,30091.213
29322.992,29716.41
28998.434,28679.266
28673.875,27377.781
26679.93,26363.195
25420.988,24990.414
24006.69,23821.316
22398.662,22502.918
20883.875,21183.445
19923.275,19955.688
19118.908,19059.762
17874.578,18414.549
17342.395,17782.072
17983.205,18002.775
19462.254,18657.63
19301.867,20026.705
20618.592,20718.451
23199.12,22013.014
25686.621,24345.814
27243.943,27117.61
29402.184,29071.572
30547.607,30724.35
31658.17,31660.2
32144.861,32318.95
32550.67,32289.926
32524.72,32133.557
31828.062,31783.28
30289.473,30813.27
27572.994,29038.24
26353.734,26340.273
25079.05,24509.498
23639.33,23322.176
22164.402,22245.361
21255.6,20997.273
20664.297,20081.553
20123.064,19734.947
19363.662,19684.969
19947.254,19849.484
21831.727,20588.367
22786.762,22347.03
23363.135,23956.818
25805.389,25325.34
28676.516,27460.84
30542.643,30181.979
32568.379,32425.97
34072.29,34039.28
35836.445,35141.016
36563.207,36250.652
37567.36,36736.58
37173.207,36886.8
36779.05,36104.016
34755.637,34895.555
32546.902,32872.81
31059.084,30722.451
27791.338,28923.842
25586.092,26486.299
23249.965,24255.666
21858.38,22211.97
20731.797,20738.797
20103.488,20037.877
19525.178,20030.447
19933.31,20314.21
21484.367,20947.799
23554.402,22323.76
24418.275,24448.943
25957.57,26330.193
29042.643,28167.756
32533.418,30981.291
34709.086,33976.156
35958.1,36257.09
37103.273,37514.723
39256.516,38020.17
39169.613,38853.91
39428.17,38720.61
38696.76,38165.02
35575.387,36820.977
32995.6,34031.047
30222.078,30891.035
28035.354,27897.701
26391.373,25611.87
25586.338,24070.625
22777.924,23154.271
21774.648,21868.883
20648.734,20917.031
20139.295,20640.736
20369.93,20747.824
21356.34,21515.365
23359.932,22696.15
23725.986,24555.0
26195.775,25951.393
28667.818,28338.383
31635.951,30884.97
33951.094,33425.688
35844.86,35449.543
37594.65,37045.777
38997.89,38325.13
39337.324,39081.51
39350.355,39030.996
37485.918,38086.125
35555.457,36030.496
33035.883,33298.06
31397.078,30696.988
29089.156,28914.166
26799.824,27162.78
24787.254,25147.492
22772.746,23244.102
21538.346,21713.014
20353.908,20678.791
19737.078,20132.047
20005.281,20076.072
21972.184,20769.639
23625.951,22463.223
23311.514,24646.682
24373.451,26006.035
28490.6,27344.28
32611.023,30508.826
34368.49,34286.043
35154.613,36612.09
36464.367,37496.48
37295.25,37888.69
38334.156,37743.31
38159.93,37797.344
38110.496,37102.895
35677.71,35985.465
33321.62,33822.25
31100.035,31267.361
28479.191,28918.922
25797.889,26679.783
23387.502,24283.45
22671.725,22157.895
21313.31,20916.76
20659.613,20226.379
19979.72,20218.355
20045.562,20560.91
21044.121,20996.908
22079.156,21918.0
22703.346,23185.34
24855.6,24820.018
27542.572,27085.596
30168.451,29926.896
32298.627,32430.443
33808.7,34318.562
34799.79,35357.305
35692.36,35910.746
36350.35,36323.91
36230.105,36295.152
35203.027,35311.03
32993.418,33702.65
29868.31,31061.297
27487.816,28009.914
25506.094,25427.691
23675.107,23483.7
21569.016,21903.83
20353.275,20330.531
19790.387,18825.48
19214.648,18576.572
18277.5,18584.795
17816.797,18984.887
18772.254,18897.37
19402.5,19658.107
20744.014,20705.008
22974.965,22599.203
25610.037,25136.016
27436.797,28007.965
28837.008,29988.557
30273.38,31030.66
31280.496,31567.549
31995.457,32019.434
31261.451,32401.621
30527.45,31521.37
29793.443,29822.568
29059.438,27957.531
27082.361,26489.2
24928.17,24979.893
23757.607,23226.074
22057.184,21895.084
20538.346,20742.111
19763.697,19467.137
18635.21,18757.71
17681.902,18147.928
17494.684,17494.52
16842.113,17640.791
18179.648,17752.914
18295.0,18885.771
18932.113,19990.037
20503.346,21237.158
23363.488,23112.227
25099.824,25532.973
26974.754,27220.867
27715.281,28554.049
28012.605,29235.258
27431.445,29250.477
26850.283,28486.984
26269.12,27287.814
25687.959,25737.953
23909.438,24438.129
21942.395,22571.021
20664.791,20707.93
19742.078,19099.707
18504.578,18167.008
17424.684,17406.617
16745.635,16497.533
16611.338,15970.285
15577.889,15778.202
15478.697,15590.182
16506.057,15884.329
17407.994,17006.254
18338.416,18266.56
18817.678,19597.48
20989.402,20892.467
23475.74,23125.125
25903.488,25634.5
27863.98,27635.797
27790.389,29072.984
28202.29,29109.746
28654.438,28870.57
28733.17,28746.562
28929.402,28414.756
27913.945,27848.736
25995.035,26516.686
24263.275,24503.71
22281.62,22612.898
20697.572,20936.17
18989.086,19634.785
17829.473,18178.213
17070.6,17017.55
16588.557,16209.557
16083.663,15959.197
15615.704,15974.681
15346.162,16290.379
16066.655,16509.209
17153.31,17045.527
17303.908,18265.926
18915.07,19578.082
22081.268,21357.584
24803.592,24002.277
25575.635,26338.385
27296.762,27410.104
28362.326,28104.828
28970.105,28786.83
29302.783,29215.994
29278.559,29089.668
28409.367,28420.215
26317.5,27037.174
23998.662,24727.611
21977.887,22352.549
20656.727,20258.146
19331.268,18822.34
18257.43,17878.75
17114.824,17064.674
16421.303,16377.439
15760.704,15811.302
15413.416,15560.728
15264.931,15696.913
15974.789,15834.616
17162.43,16681.307
17670.389,18047.084
20261.127,19693.934
23660.494,22311.713
25949.367,25416.244
26949.543,27815.506
28254.93,28723.781
29835.918,29288.96
30579.473,30059.936
31762.291,30488.238
30851.68,31048.2
29941.07,30239.822
29030.459,28551.04
26743.064,26778.107
25127.465,24822.031
23203.697,23322.344
20811.057,21774.543
19679.543,19780.385
18426.057,18408.58
17618.592,17306.307
17177.008,16697.955
16609.084,16666.902
17505.318,16816.65
19028.346,17592.451
19999.86,19172.408
19259.05,21077.395
21947.008,22064.352
24975.354,24127.72
28118.627,26802.297
29869.227,29317.5
31261.727,31114.088
32763.84,32136.86
33104.367,33052.832
34309.754,33371.805
33300.812,33530.926
32291.867,32625.28
31282.922,30725.37
28981.832,28937.652
26646.797,26836.252
24633.592,24599.494
22588.559,22906.725
20623.662,21168.693
19895.705,19658.812
19471.832,18721.535
18344.824,18508.162
18057.64,18185.395
18503.521,18279.893
19645.492,18694.738
21829.156,19872.014
21504.543,22151.928
23067.605,23857.41
25654.824,25673.85
30388.451,27930.822
31674.473,31171.092
33336.832,33068.336
35322.43,34300.316
36104.934,35391.33
35362.562,36101.54
34620.195,35348.008
33877.83,33762.94
33135.457,32114.969
30319.262,30497.79
28018.486,28289.42
25893.416,25863.062
23965.21,24052.596
22822.148,22349.812
21728.064,21374.275
21396.48,20471.553
21337.395,20156.78
21592.5,20445.709
21809.016,21309.695
23187.924,22064.24
24160.916,23419.672
24908.943,24846.164
24623.486,26515.117
26683.451,27493.102
29070.916,29072.434
31625.283,30799.178
32910.035,32496.74
33752.465,33580.598
34534.65,34041.805
34030.984,34358.754
33527.33,33744.605
33023.664,32641.791
32542.396,31319.902
29936.2,30103.502
28435.916,28178.148
26647.922,26444.66
25029.79,25006.023
23386.973,23646.686
22120.424,22487.031
21192.219,21482.898
20942.852,20766.854
20176.76,20707.219
20314.262,20727.748
21817.43,20958.695
22037.64,22070.62
23187.043,22936.525
25400.527,24551.041
27035.494,27005.998
29003.346,29386.768
31614.543,31019.168
33423.91,32657.623
33284.895,34098.074
34077.008,34170.38
33484.473,33990.344
32891.938,33361.08
32299.404,32139.74
30388.031,30888.406
28358.31,28861.275
26843.486,26610.363
25471.338,24739.648
23747.432,23481.127
22235.457,22379.72
21148.31,21316.07
20685.775,20406.217
20662.043,20059.568
20862.36,20377.734
21147.113,21157.756
23549.932,21838.041
25412.57,23670.326
25059.05,25879.006
25962.219,27176.938
28612.15,28454.354
31803.873,30503.523
33708.555,33052.848
34584.12,35083.5
35000.844,35686.086
35515.14,35511.53
35590.32,35171.06
35004.86,34743.562
34035.53,33743.535
31742.607,32345.486
29561.373,30110.035
27059.895,27710.45
24727.29,25429.484
22423.275,23331.432
21706.621,21507.254
20240.986,20658.09
19831.902,19792.242
19233.064,19552.986
18748.557,19636.516
19095.105,19981.91
20920.81,20416.164
22381.303,21694.217
22371.129,23289.438
23726.234,24615.266
26685.635,26199.246
29153.627,28819.605
31238.416,31078.887
32554.543,32780.023
33425.703,33586.848
33971.797,33823.645
33110.3,33737.742
32248.805,32894.406
31387.307,31451.81
30525.81,29776.104
28665.564,28099.104
26845.74,26344.084
24838.557,24752.762
22825.459,23177.844
21962.219,21591.086
21027.537,20668.162
20574.084,20202.215
19606.34,20017.855
19108.1,19842.656
19260.527,19961.807
20390.916,20332.295
22228.592,21227.803
22725.387,22721.46
24907.643,24370.822
27545.14,26819.207
29802.113,29615.09
30999.191,31880.434
31486.092,32902.78
32476.55,32821.61
32919.684,32604.145
33611.51,32390.559
33210.176,32653.916
31343.451,32260.148
28713.521,30542.146
26835.564,27628.14
24809.824,24992.139
23114.543,22957.928
20642.395,21461.639
19239.648,19695.621
18393.697,18399.258
17718.662,17726.201
16871.725,17244.043
16837.57,16924.443
17118.31,17300.12
17839.19,18097.143
19268.135,19051.922
18851.867,20464.703
20613.908,21356.023
23444.086,22934.707
25657.291,25474.857
26973.31,27778.111
27937.184,28893.943
28799.473,29477.723
29292.467,29592.725
29037.125,29459.977
28781.785,28742.201
28526.445,27874.586
26027.643,26850.426
24100.53,24565.426
22134.896,22222.826
20663.1,20237.455
18981.832,18907.688
17808.768,17663.65
17272.994,16787.855
16179.262,16472.158
15046.62,15951.107
14655.282,15444.606
14523.416,15362.039
15751.514,15488.969
17112.324,16336.063
17422.29,17821.988
19647.607,19077.984
22330.846,21410.814
24498.908,24351.408
26685.635,26592.758
27358.768,28100.12
28575.775,28702.219
28991.443,28999.486
29288.24,29097.08
28985.424,28756.623
28682.605,28054.963
26097.078,27038.93
24478.98,24729.361
22922.184,22488.488
21248.662,20882.303
19719.895,19650.916
18509.79,18495.287
17624.79,17360.812
16606.338,16551.375
15674.12,15840.836
15065.881,15426.326
15048.028,15389.785
15450.106,15878.099
16406.48,16417.965
17013.557,17413.752
18069.578,18713.48
20333.803,20430.146
21346.727,22520.494
23561.092,23779.873
25704.791,24905.9
26711.129,26281.338
26297.59,27077.15
25884.05,26926.693
25470.51,26044.668
25056.973,24870.316
24643.434,23809.031
24229.895,22915.896
22548.697,22276.143
21121.408,21117.496
19230.705,19852.572
17918.943,18405.818
17078.38,17139.648
16111.55,16234.634
15373.732,15445.364
14892.431,15003.678
15375.106,15007.911
15653.416,15774.018
16103.239,16409.367
17050.459,17076.135
18673.31,18474.084
22207.781,20546.178
25469.365,23667.805
27358.205,26807.646
28859.086,28686.65
30251.445,29911.842
31699.367,30601.695
30805.326,31360.617
29911.285,30831.44
29017.246,29584.188
28123.205,27966.049
26378.03,26287.396
24992.078,24517.559
23092.219,22954.137
21656.514,21474.736
20511.832,20190.078
19662.467,19199.49
19290.6,18475.064
18697.36,18212.8
18242.113,18154.758
18478.627,18400.922
20267.008,18847.992
22290.387,20401.256
22065.389,22659.371
23745.035,24321.018
27327.078,26140.867
30379.156,29042.938
33011.16,31945.713
34596.55,34216.723
36284.332,35510.43
37504.473,36272.383
36595.73,36689.715
35686.99,36014.344
34778.25,34610.812
33869.508,33077.613
31330.672,31480.074
29466.691,29482.77
27017.854,27538.166
24313.768,25455.441
23490.635,23211.562
22034.402,22009.98
20282.889,21082.668
20210.668,19909.934
19799.332,19668.514
20235.105,20043.525
22372.537,20840.703
24067.078,22713.79
23190.986,24838.7
25242.078,26005.354
28317.219,27696.865
30890.424,30461.293
33344.79,32860.902
34513.312,34801.652
35486.125,35726.324
36857.22,35842.547
36765.035,36072.016
36956.62,35818.984
35117.676,35353.66
32312.465,33717.58
30390.18,30810.996
27364.86,28223.662
25191.691,25469.064
22411.973,23353.4
20999.93,21195.666
19482.219,19695.926
18547.43,18614.744
18515.14,17945.07
18009.895,18149.576
18143.521,18710.012
19289.648,19192.693
20760.986,20291.945
21572.29,21800.441
22961.832,23655.307
26607.291,25550.379
28727.361,28600.719
30610.953,31083.697
32201.445,32645.096
33333.03,33566.934
34119.332,34012.555
33243.91,33998.12
32368.486,33033.62
31493.064,31236.424
30617.643,29665.135
28712.113,28104.12
27006.127,26345.777
24824.191,24777.066
21760.564,23076.137
20339.578,20813.59
19547.254,19115.445
18423.732,18243.248
18306.938,17815.791
17855.316,17984.492
17943.875,18338.303
19284.895,18631.018
20662.746,19870.396
20603.346,21630.377
22836.797,23081.482
26306.621,25107.148
29172.605,28317.404
30412.395,31239.754
31916.2,32605.7
34153.555,33331.97
33350.188,34308.22
32546.82,33760.824
31743.453,32428.43
30940.082,30778.807
30136.715,29364.906
29333.346,27916.205
27399.191,26721.816
25481.479,25083.559
23444.613,23476.562
22159.26,21897.473
21297.113,20810.209
20317.781,20132.908
19502.148,19542.541
18554.648,19084.588
18564.578,18943.016
