test_y,predicted_values
1350.0,1247.4758
1464.7059,1329.1807
1505.8823,1435.8127
1523.5294,1506.6567
1482.3529,1524.4624
1450.0001,1488.6763
1373.5294,1445.7435
1341.1765,1386.311
1320.5883,1359.1108
1305.8824,1356.185
1420.5883,1369.5118
1458.8235,1423.579
1511.7648,1458.6855
1529.4117,1479.2056
1488.2354,1478.7102
1497.0587,1445.2643
1473.5293,1420.8589
1364.7059,1396.5425
1385.2941,1337.7672
1338.2352,1318.4951
1311.7646,1311.9569
1332.3529,1312.1606
1338.2352,1339.036
1361.7646,1356.1974
1355.8823,1401.6302
1364.7059,1425.3728
1382.3529,1438.4545
1385.2941,1426.83
1435.2941,1390.7075
1379.4117,1375.2062
1364.7059,1339.6948
1402.9412,1332.6919
1326.4706,1348.2942
1382.3529,1362.5801
1411.7646,1409.3901
1470.5883,1461.9584
1454.4117,1494.6251
1438.2354,1484.9231
1461.7646,1450.838
1420.5883,1426.4321
1467.6471,1380.1029
1473.5293,1371.3619
1388.2352,1378.5504
1341.1765,1360.7036
1400.0,1333.4244
1332.3529,1348.3362
1364.7059,1343.9089
1335.2941,1361.078
1408.8235,1375.9641
1438.2354,1423.6759
1452.9412,1454.573
1438.2354,1466.7847
1367.6471,1444.8351
1391.1765,1388.0626
1311.7646,1349.3285
1291.1765,1313.8052
1311.7646,1294.0459
1320.5883,1322.287
1444.1177,1357.2158
1464.7059,1428.8796
1526.4706,1470.652
1482.3529,1489.7336
1502.9412,1476.1558
1473.5293,1462.7266
1455.8823,1444.2897
1402.9412,1414.9989
1447.0588,1386.4371
1458.8235,1390.6571
1314.7058,1412.4366
1347.0588,1365.2012
1297.0588,1347.9768
1300.0,1329.753
1350.0,1331.4724
1400.0,1358.2174
1426.4707,1397.1531
1382.3529,1429.1531
1361.7646,1406.9193
1305.8824,1364.4504
1314.7058,1308.5454
1294.1177,1293.044
1308.8235,1297.5526
1285.2941,1331.2717
1341.1765,1357.048
1432.3529,1387.7412
1417.6471,1437.5042
1411.7646,1437.5034
1317.6471,1418.3751
1341.1765,1347.0577
1264.7058,1312.2906
1276.4706,1257.4895
1208.8236,1224.1462
1191.1764,1184.6498
1238.2352,1166.8032
1261.7646,1187.7037
1270.5883,1218.3646
1241.1764,1267.9117
1264.7058,1302.2639
1320.5883,1334.6443
1402.9412,1355.2991
1373.5294,1383.1455
1400.0,1368.4395
1347.0588,1344.4402
1291.1765,1316.3243
1297.0588,1292.1357
1273.5294,1295.387
1267.6471,1305.0159
1352.9413,1316.7905
1388.2352,1368.7732
1432.3529,1390.4579
1414.7059,1400.1399
1405.8823,1381.2092
1376.4707,1363.3073
1379.4117,1342.1898
1300.0,1332.0361
1238.2352,1301.5913
1276.4706,1256.273
1294.1177,1257.6416
1226.4706,1270.8036
1276.4706,1265.0598
1214.7058,1273.0748
1270.5883,1280.9329
1355.8823,1305.5394
1476.4706,1356.6025
1488.2354,1419.0614
1417.6471,1441.5165
1452.9412,1418.1725
1391.1765,1397.8268
1420.5883,1375.9553
1329.4119,1385.025
1323.5294,1385.3251
1397.0588,1394.103
1473.5293,1435.4226
1500.0,1467.0936
1467.6471,1485.7968
1505.8823,1456.1254
1420.5883,1447.8422
1350.0,1403.6711
1244.1177,1329.1978
1726.4706,1247.099
1489.7059,1399.674
1252.9412,1458.7205
1191.1764,1380.7826
1217.6471,1296.4545
1279.4119,1253.3633
1297.0588,1288.8234
1367.6471,1338.6277
1441.1765,1397.9104
1476.4706,1438.5968
1502.9412,1448.7241
1420.5883,1444.3739
1344.1177,1412.1772
1388.2352,1362.4299
1341.1765,1353.503
1358.8235,1375.0564
1432.3529,1409.1772
1541.1765,1461.2485
1517.6471,1522.13
1544.1177,1530.8091
1485.2941,1531.3865
1517.6471,1483.8678
1455.8823,1471.4965
1308.8235,1450.0374
1291.1765,1373.7603
1258.8235,1300.3645
1326.4706,1234.8812
1258.8235,1228.4785
1323.5294,1222.2761
1250.0,1274.1536
1355.8823,1317.8474
1376.4707,1396.7334
1497.0587,1440.6329
1455.8823,1483.2151
1435.2941,1467.6597
1426.4707,1429.3947
1405.8823,1411.9795
1282.3529,1388.2069
1282.3529,1336.679
1326.4706,1305.5778
1402.9412,1344.2695
1511.7648,1409.9637
1517.6471,1472.7235
1532.3529,1494.0063
1538.2354,1487.6396
1473.5293,1494.9167
1405.8823,1459.0656
1285.2941,1412.9733
1211.7646,1325.8213
1205.8824,1245.4755
1247.0588,1184.8889
