test_y,predicted_values
1408.8235,1352.621
1438.2354,1380.5441
1452.9412,1398.7496
1438.2354,1406.3634
1367.6471,1408.8442
1391.1765,1402.5718
1311.7646,1400.8641
1291.1765,1401.2842
1311.7646,1412.8356
1320.5883,1433.5997
1444.1177,1469.7053
1464.7059,1500.8877
1526.4706,1515.7123
1482.3529,1513.9211
1502.9412,1483.1022
1473.5293,1437.8027
1455.8823,1401.8098
1402.9412,1376.0796
1447.0588,1348.4216
1458.8235,1323.6182
1314.7058,1311.378
1347.0588,1304.6775
1297.0588,1317.8074
1300.0,1344.8817
1350.0,1376.2429
1400.0,1400.6199
1426.4707,1415.5239
1382.3529,1423.3015
1361.7646,1421.375
1305.8824,1413.2899
1314.7058,1406.228
1294.1177,1400.7444
1308.8235,1408.5748
1285.2941,1425.0875
1341.1765,1455.1753
1432.3529,1481.3103
1417.6471,1496.1179
1411.7646,1486.673
1317.6471,1456.605
1341.1765,1405.6093
1264.7058,1361.6642
1276.4706,1332.3647
1208.8236,1310.7251
1191.1764,1288.9796
1238.2352,1274.04
1261.7646,1264.9855
1270.5883,1270.1366
1241.1764,1292.7268
1264.7058,1319.5406
1320.5883,1343.4928
1402.9412,1358.8287
1373.5294,1365.0192
1400.0,1362.058
1347.0588,1358.4019
1291.1765,1354.7274
1297.0588,1351.9224
1273.5294,1358.6301
1267.6471,1373.9205
1352.9413,1404.552
1388.2352,1433.2429
1432.3529,1445.9478
1414.7059,1440.308
1405.8823,1416.8513
1376.4707,1376.7578
1379.4117,1343.7388
1300.0,1319.9663
1238.2352,1302.658
1276.4706,1285.4839
1294.1177,1274.2883
1226.4706,1271.2991
1276.4706,1278.0797
1214.7058,1300.6179
1270.5883,1321.4536
1355.8823,1342.0933
1476.4706,1354.3259
1488.2354,1361.5364
1417.6471,1363.133
1452.9412,1364.1732
1391.1765,1368.1986
1420.5883,1369.5122
1329.4119,1380.9249
1323.5294,1396.7671
1397.0588,1427.4552
1473.5293,1452.8082
1500.0,1465.4667
1467.6471,1461.5248
1505.8823,1436.1202
1420.5883,1398.5587
1350.0,1360.9185
1244.1177,1331.771
1726.4706,1310.304
1489.7059,1297.4591
1252.9412,1293.0065
1191.1764,1287.4641
1217.6471,1289.1045
1279.4119,1303.9753
1297.0588,1327.4883
1367.6471,1350.5415
1441.1765,1364.4816
1476.4706,1369.4417
1502.9412,1369.4954
1420.5883,1368.941
1344.1177,1369.3647
1388.2352,1370.607
1341.1765,1382.026
1358.8235,1399.1234
1432.3529,1436.1505
1541.1765,1465.4415
1517.6471,1479.9818
1544.1177,1472.4445
1485.2941,1453.138
1517.6471,1414.1261
1455.8823,1377.739
1308.8235,1346.6333
1291.1765,1321.9685
1258.8235,1299.6001
1326.4706,1283.4924
1258.8235,1278.2026
1323.5294,1282.6659
1250.0,1303.9802
1355.8823,1332.3293
1376.4707,1355.991
1497.0587,1369.4216
1455.8823,1375.8984
1435.2941,1376.5436
1426.4707,1372.6648
1405.8823,1372.0275
1282.3529,1373.9877
1282.3529,1377.8035
1326.4706,1392.183
1402.9412,1426.7228
1511.7648,1455.0172
1517.6471,1467.7295
1532.3529,1459.6782
1538.2354,1429.4972
1473.5293,1394.7596
1405.8823,1363.4829
1285.2941,1338.4878
1211.7646,1319.5365
1205.8824,1297.8772
1247.0588,1279.7346
1223.5294,1268.4326
1264.7058,1271.4587
1229.4117,1293.7203
1308.8235,1322.81
1300.0,1347.6285
1435.2941,1360.8037
1497.0587,1367.9629
1520.5881,1370.5474
1485.2941,1372.0721
1429.4117,1375.7506
1382.3529,1379.3241
1347.0588,1385.9606
1314.7058,1400.529
1405.8823,1431.6898
1502.9412,1461.6698
1541.1765,1481.9578
1538.2354,1483.5028
1479.4117,1463.341
1523.5294,1418.7354
1385.2941,1380.1451
1444.1177,1349.9443
1376.4707,1328.3997
1308.8235,1309.6807
1329.4119,1297.5156
1367.6471,1289.4562
1323.5294,1298.4669
1305.8824,1324.4313
1355.8823,1354.7142
1541.1765,1381.9763
1591.1765,1402.5625
1608.8236,1411.1783
1505.8823,1413.2096
1447.0588,1414.7327
1420.5883,1416.1572
1402.9412,1415.6993
1408.8235,1429.1377
1402.9412,1453.7598
1529.4117,1500.1499
1617.647,1538.1884
1597.0588,1564.2926
1652.9412,1565.8248
1541.1765,1551.3481
1514.7059,1507.8899
1505.8823,1449.9685
1417.6471,1400.9364
1423.5294,1369.4907
1417.6471,1342.4635
1470.5883,1322.1667
1429.4117,1317.8452
1332.3529,1328.1139
1326.4706,1361.5621
1405.8823,1395.3203
1476.4706,1422.1865
1550.0,1437.8416
1558.8235,1445.2863
1367.6471,1443.3193
1279.4119,1431.5374
1276.4706,1419.5499
1350.0,1412.7578
1326.4706,1423.4713
1311.7646,1446.2446
1473.5293,1489.0654
1508.8235,1523.4121
1582.3529,1545.1205
1541.1765,1546.1785
1511.7648,1517.3268
