test_y,predicted_values
33496.797,37526.523
30831.232,34933.957
28795.705,32208.715
26839.72,29613.307
24589.508,27264.271
22605.424,25110.953
20787.361,23315.287
19522.219,22052.838
19156.303,21374.867
19125.457,21282.322
19608.275,21640.932
20945.178,22438.822
22463.346,23572.406
23000.248,25143.734
23017.816,27268.824
24302.008,30053.172
25710.635,32910.496
27176.902,34873.867
30389.26,36017.85
32643.24,36693.4
35331.34,37220.676
34568.105,37480.586
33804.87,37203.043
33041.64,36187.277
32278.41,34505.715
31515.178,32286.24
28459.686,29894.58
26636.021,27532.465
23556.797,25339.703
22724.402,23465.037
20749.191,21971.102
19614.824,20743.521
18633.03,20031.623
18054.79,19861.367
18234.438,20167.256
19144.473,20811.57
20638.275,21702.348
21522.29,22873.043
23937.71,24671.166
27107.713,27064.863
29529.58,29697.729
31664.332,31572.342
32711.303,32678.654
33732.996,33228.46
34833.91,33651.63
35950.703,33931.555
35888.91,33748.164
34945.11,33020.477
32664.049,31610.674
31228.98,29693.38
29284.367,27646.8
27264.543,25638.191
25098.943,23843.164
22864.895,22281.973
21756.762,20938.049
20469.508,19898.564
19756.936,19343.105
19051.162,19242.59
19375.352,19548.81
20227.643,20110.826
21456.973,20843.922
21574.4,21828.254
22661.41,23205.477
25574.438,25285.06
28928.416,27725.963
29808.7,29674.645
31530.953,30866.807
32855.918,31549.13
32723.627,32046.26
32907.254,32287.293
33439.93,32151.049
32386.303,31503.992
29756.691,30264.2
27970.143,28453.254
26509.508,26424.803
25129.543,24588.426
23070.81,22972.543
22076.268,21536.744
20454.578,20263.629
19223.84,19242.205
18935.88,18655.992
18400.105,18534.598
18668.24,18809.457
18780.846,19331.574
20530.0,20014.406
22161.129,20893.3
21904.86,22077.818
23124.19,23965.123
24678.7,26469.645
27303.875,28510.838
29207.783,29738.95
28792.219,30406.688
29972.113,30970.084
29647.553,31277.895
29322.992,31177.283
28998.434,30543.488
28673.875,29200.38
26679.93,27362.465
25420.988,25342.777
24006.69,23612.023
22398.662,22107.467
20883.875,20720.834
19923.275,19483.887
19118.908,18500.633
17874.578,17929.482
17342.395,17762.979
17983.205,18032.922
19462.254,18533.12
19301.867,19160.092
20618.592,20005.395
23199.12,21124.986
25686.621,22900.2
27243.943,25166.738
29402.184,27073.42
30547.607,28323.691
31658.17,29210.629
32144.861,29863.395
32550.67,30261.592
32524.72,30261.66
31828.062,29652.736
30289.473,28431.672
27572.994,26637.795
26353.734,24677.777
25079.05,22926.824
23639.33,21390.234
22164.402,20015.285
21255.6,18861.926
20664.297,17934.195
20123.064,17425.725
19363.662,17357.996
19947.254,17739.338
21831.727,18296.613
22786.762,19065.588
23363.135,19964.982
25805.389,21220.492
28676.516,23402.75
30542.643,25874.773
32568.379,27584.094
34072.29,28739.768
35836.445,29502.158
36563.207,29985.57
37567.36,30345.21
37173.207,30367.967
36779.05,29829.371
34755.637,28620.287
32546.902,26949.586
31059.084,25139.605
27791.338,23388.586
25586.092,21755.611
23249.965,20347.309
21858.38,19039.115
20731.797,18131.95
20103.488,17592.867
19525.178,17569.271
19933.31,17951.857
21484.367,18574.713
23554.402,19399.318
24418.275,20371.352
25957.57,21813.008
29042.643,24045.344
32533.418,26380.955
34709.086,28107.887
35958.1,29254.11
37103.273,29974.373
39256.516,30489.248
39169.613,30820.633
39428.17,30869.102
38696.76,30239.756
35575.387,28993.174
32995.6,27240.94
30222.078,25136.379
28035.354,23144.37
26391.373,21374.045
25586.338,19970.287
22777.924,18805.244
21774.648,17930.357
20648.734,17508.457
20139.295,17553.023
20369.93,17964.195
21356.34,18665.559
23359.932,19452.377
23725.986,20467.807
26195.775,21936.979
28667.818,24121.4
31635.951,26521.686
33951.094,28296.924
35844.86,29561.822
37594.65,30410.256
38997.89,31074.105
39337.324,31454.848
39350.355,31411.738
37485.918,30853.342
35555.457,29606.553
33035.883,27669.377
31397.078,25536.754
29089.156,23607.84
26799.824,21768.94
24787.254,20132.271
22772.746,18859.988
21538.346,17920.33
20353.908,17453.576
19737.078,17548.217
20005.281,18021.502
21972.184,18694.498
23625.951,19547.959
23311.514,20727.18
24373.451,22377.785
28490.6,24790.014
32611.023,27135.758
34368.49,29042.139
35154.613,30172.379
36464.367,30995.207
37295.25,31658.56
38334.156,31976.723
38159.93,31957.385
38110.496,31395.809
35677.71,30150.025
33321.62,28247.55
31100.035,26117.555
28479.191,24023.705
25797.889,22088.27
23387.502,20443.777
22671.725,19031.936
21313.31,17988.592
20659.613,17470.992
19979.72,17491.436
20045.562,17956.61
21044.121,18679.191
22079.156,19451.244
22703.346,20453.07
24855.6,22008.994
27542.572,24358.459
30168.451,26905.465
32298.627,28821.154
33808.7,30038.76
34799.79,30888.674
35692.36,31546.863
36350.35,31949.693
36230.105,31874.855
35203.027,31184.988
32993.418,29729.107
29868.31,27718.492
27487.816,25485.418
25506.094,23458.72
23675.107,21689.363
21569.016,20151.654
20353.275,18787.352
19790.387,17677.285
19214.648,17185.338
18277.5,17237.238
17816.797,17697.252
18772.254,18323.715
19402.5,19085.59
20744.014,20065.719
22974.965,21366.0
25610.037,23586.324
27436.797,26250.754
28837.008,28311.824
30273.38,29716.729
31280.496,30608.107
31995.457,31312.412
31261.451,31802.062
30527.45,31848.62
29793.443,31222.596
29059.438,29878.482
27082.361,27811.324
24928.17,25568.053
23757.607,23485.713
22057.184,21626.896
20538.346,20040.607
19763.697,18695.049
18635.21,17637.16
17681.902,17063.205
17494.684,17071.734
16842.113,17606.527
18179.648,18253.191
18295.0,18961.738
18932.113,19790.428
20503.346,21145.002
23363.488,23387.732
25099.824,26107.248
26974.754,28098.098
27715.281,29394.057
28012.605,30391.787
27431.445,31040.709
26850.283,31390.182
26269.12,31224.453
25687.959,30433.82
23909.438,28930.28
21942.395,26837.873
20664.791,24610.832
19742.078,22645.64
18504.578,20778.746
17424.684,19201.965
16745.635,17822.617
16611.338,16713.678
