test_y,predicted_values
20357.1,20700.414
19521.75,20309.81
18563.45,20025.379
18368.6,19799.139
21209.781,19630.791
20292.85,19495.041
19414.398,19355.21
18557.8,19266.943
18152.38,19187.127
17830.166,19160.914
17507.951,19114.305
17995.549,19132.37
18752.9,19223.88
18158.59,19463.643
17564.28,19837.357
18392.03,20414.607
19313.4,20994.918
18340.898,21316.262
19133.1,21371.049
19860.068,21289.26
20600.8,21144.467
20740.8,20916.178
20362.5,20579.895
19976.63,20154.957
19145.33,19744.936
18516.078,19444.66
17654.0,19213.412
18368.469,19019.348
18957.262,18879.799
19546.057,18795.988
20134.85,18726.592
19229.85,18634.53
18616.4,18563.164
18071.451,18530.223
17876.818,18490.65
18142.5,18483.793
17669.52,18553.893
17837.41,18708.582
18005.299,19024.963
19693.28,19514.424
20858.1,20053.627
20149.719,20332.373
20278.748,20408.465
20394.568,20354.104
20616.67,20230.133
20735.38,20038.324
20494.979,19771.623
19902.049,19453.375
19301.85,19119.514
18726.918,18856.064
18032.25,18683.152
18226.42,18574.012
19572.15,18521.512
20917.879,18475.207
20459.03,18415.383
19697.95,18350.832
18931.049,18315.838
17710.72,18292.066
17866.18,18271.01
18497.78,18256.607
19071.83,18290.87
18291.773,18413.52
17511.719,18647.771
18857.2,19030.016
20029.98,19488.459
19255.22,19838.223
19596.17,19947.377
19983.38,19924.746
19528.719,19826.52
19743.35,19648.633
19324.201,19403.857
19058.53,19093.574
18092.67,18775.541
17662.08,18521.145
17345.469,18353.635
17107.35,18286.748
19826.95,18241.613
19630.67,18212.213
19162.719,18160.426
18683.52,18104.184
18201.28,18064.623
18097.8,18039.625
17966.049,18013.393
18745.365,17987.498
19524.682,18014.352
20303.998,18108.871
21083.312,18303.078
21862.629,18698.545
21037.8,19200.463
20212.97,19572.422
20877.92,19734.543
20652.049,19742.94
20820.78,19668.975
21024.25,19534.014
21058.02,19317.064
20741.5,19022.773
20413.951,18692.053
19847.33,18450.336
19029.92,18299.863
18386.13,18237.979
17844.379,18201.68
17040.379,18156.926
16450.549,18091.51
15999.2705,18031.951
15050.63,17989.766
15359.687,17955.582
15668.743,17942.385
15977.799,17918.76
16045.5,17938.168
16359.25,18025.969
17182.72,18194.176
18339.92,18562.1
19767.42,19030.014
20743.33,19349.135
21091.95,19479.305
21477.95,19506.846
21573.82,19467.203
21559.078,19348.604
21507.55,19145.084
21215.28,18848.838
20942.5,18545.477
19726.47,18318.678
19603.15,18191.291
18735.55,18139.865
18191.9,18108.244
17434.13,18063.234
17007.4,18001.68
16594.7,17934.877
16835.416,17894.639
17076.13,17879.293
17316.848,17874.264
17557.564,17875.482
17798.28,17935.219
18442.469,18052.158
20004.77,18296.559
20921.25,18751.479
21064.129,19248.883
19702.5,19540.885
20327.049,19631.004
19613.0,19610.0
19039.031,19519.648
20745.85,19370.434
20596.33,19158.56
19968.781,18894.209
19525.85,18610.254
19166.7,18400.715
19450.2,18281.355
19448.25,18228.166
20033.14,18184.982
20618.03,18141.719
19863.45,18073.979
19506.568,18028.475
19036.43,17990.174
18734.25,17982.879
18710.42,17975.129
19114.8,17987.758
19328.879,18059.602
19250.016,18200.428
19171.15,18473.406
20532.0,18900.518
22280.35,19306.506
21364.67,19573.807
21721.4,19666.9
22004.0,19653.822
22447.219,19588.574
22328.398,19467.713
21823.83,19266.82
21248.8,18977.469
20417.08,18684.1
19935.28,18477.193
18044.951,18330.81
18504.93,18219.967
22006.38,18163.414
21101.33,18122.002
19900.1,18062.977
19720.15,18009.56
18955.92,17996.871
18679.379,17999.377
18529.0,18004.732
18834.9,18057.623
19709.668,18142.184
19056.186,18300.363
18402.7,18550.395
19793.479,18951.188
21037.15,19383.436
20425.68,19652.574
20512.299,19749.23
20980.35,19750.215
21115.75,19678.418
21262.701,19524.28
21082.168,19297.645
20810.469,19022.307
19987.58,18754.322
19415.969,18545.09
18609.38,18400.525
18961.1,18342.549
19503.266,18305.488
20045.434,18251.95
20587.6,18202.184
19793.78,18150.752
19130.9,18129.076
18867.17,18129.783
18803.88,18138.443
19401.0,18167.033
20264.58,18248.893
20096.164,18452.754
19927.746,18730.05
19759.33,19172.082
19885.215,19566.113
20011.1,19796.29
20682.549,19842.54
20944.25,19836.549
21279.42,19756.918
21411.6,19598.35
21216.398,19384.207
20706.65,19122.283
20106.299,18857.459
19393.02,18651.898
18470.57,18526.916
19277.549,18447.984
20024.79,18401.496
20772.03,18358.035
20317.201,18295.31
19454.47,18240.816
19229.15,18216.973
18887.98,18206.932
19003.7,18215.809
19221.2,18248.447
18814.65,18313.904
19002.916,18436.033
19191.184,18666.578
19379.45,19090.324
20824.1,19510.715
20157.48,19772.0
20109.75,19854.676
20317.53,19830.41
20364.75,19738.648
20196.18,19605.45
19908.75,19368.543
19483.83,19084.264
18784.03,18780.38
17956.25,18563.137
17180.451,18436.1
17233.15,18378.914
20310.97,18362.41
19528.22,18342.797
18995.9,18299.254
18736.78,18241.9
18378.68,18219.904
17896.55,18209.23
17530.1,18206.932
16815.58,18193.771
16895.0,18207.307
16980.693,18271.414
17066.387,18432.293
17152.08,18795.516
18008.13,19208.066
19004.469,19509.273
19815.92,19627.99
20176.45,19615.395
20419.129,19541.725
20225.104,19402.541
20031.076,19189.38
19837.05,18893.709
18696.18,18589.195
18231.33,18346.164
17472.6,18214.541
16841.35,18147.535
16455.129,18115.602
15751.72,18063.867
15230.15,17991.61
14241.6,17909.096
13923.42,17836.94
13807.351,17792.877
13556.38,17739.45
14126.85,17676.137
14484.579,17670.883
15109.199,17730.605
15735.75,17922.959
17664.85,18350.574
18468.57,18901.938
19874.969,19256.377
20064.8,19371.322
20466.23,19389.209
20393.068,19307.01
20234.9,19147.615
19898.35,18873.559
19304.3,18520.703
18541.95,18170.234
17425.88,17915.479
16634.75,17766.31
15391.55,17697.924
15123.569,17637.035
14556.6,17567.414
14289.25,17463.666
13910.63,17349.38
14012.31,17250.264
14113.989,17194.188
14215.67,17131.83
14317.35,17077.887
15189.92,17076.97
15781.73,17157.436
17135.55,17358.355
18565.648,17841.531
19181.38,18430.996
18859.47,18824.965
18971.53,18973.947
18953.75,18992.725
18967.15,18898.766
18914.4,18708.854
18962.75,18404.965
18353.4,18020.451
17652.1,17641.861
16946.73,17410.018
16426.316,17263.812
15905.899,17203.79
