test_y,predicted_values
29756.691,31422.717
27970.143,29087.98
26509.508,26703.555
25129.543,24537.582
23070.81,22681.46
22076.268,21310.057
20454.578,20243.117
19223.84,19399.91
18935.88,18802.275
18400.105,18731.19
18668.24,18953.805
18780.846,19634.361
20530.0,20329.855
22161.129,21729.979
21904.86,23752.252
23124.19,25165.82
24678.7,26458.531
27303.875,27524.156
29207.783,29186.963
28792.219,30706.64
29972.113,31092.977
29647.553,31392.3
29322.992,30895.1
28998.434,30073.3
28673.875,29181.506
26679.93,27977.906
25420.988,26075.643
24006.69,24242.732
22398.662,22576.656
20883.875,21164.332
19923.275,19925.896
19118.908,18881.736
17874.578,18281.219
17342.395,17632.463
17983.205,17509.873
19462.254,18016.34
19301.867,19259.15
20618.592,20210.94
23199.12,21614.322
25686.621,23886.744
27243.943,26325.58
29402.184,28624.922
30547.607,30708.814
31658.17,32252.559
32144.861,33339.48
32550.67,33511.46
32524.72,33241.742
31828.062,32521.91
30289.473,31240.691
27572.994,29517.127
26353.734,27375.545
25079.05,25474.676
23639.33,23753.254
22164.402,22261.793
21255.6,20985.84
20664.297,20149.31
20123.064,19722.123
19363.662,19718.98
19947.254,20062.05
21831.727,20892.863
22786.762,22368.645
23363.135,24039.818
25805.389,25784.791
28676.516,27889.31
30542.643,30229.244
32568.379,32244.393
34072.29,33990.414
35836.445,35486.742
36563.207,36630.49
37567.36,36967.34
37173.207,36843.355
36779.05,35979.4
34755.637,34760.844
32546.902,32947.35
31059.084,30867.883
27791.338,28960.45
25586.092,26635.781
23249.965,24620.96
21858.38,22752.2
20731.797,21437.383
20103.488,20651.977
19525.178,20465.707
19933.31,20765.531
21484.367,21525.332
23554.402,22699.723
24418.275,24402.834
25957.57,26283.666
29042.643,27995.469
32533.418,30067.146
34709.086,32636.977
35958.1,35131.85
37103.273,36569.59
39256.516,37528.426
39169.613,38388.08
39428.17,38232.504
38696.76,37725.234
35575.387,36411.785
32995.6,34152.215
30222.078,31543.104
28035.354,28586.6
26391.373,26097.555
25586.338,24210.92
22777.924,23024.705
21774.648,21898.75
20648.734,21531.678
20139.295,21388.947
20369.93,21622.125
21356.34,22314.545
23359.932,23145.684
23725.986,24521.762
26195.775,25781.844
28667.818,27871.707
31635.951,30116.227
33951.094,32641.172
35844.86,34875.215
37594.65,36879.4
38997.89,38502.777
39337.324,39138.156
39350.355,39040.06
37485.918,38193.31
35555.457,36417.04
33035.883,34092.848
31397.078,31437.352
29089.156,28991.035
26799.824,26817.898
