test_y,predicted_values
18092.67,18665.42
17662.08,18191.143
17345.469,17871.021
17107.35,17913.938
19826.95,17799.668
19630.67,18475.443
19162.719,18620.8
18683.52,18693.855
18201.28,18532.793
18097.8,18180.842
17966.049,17938.832
18745.365,17757.23
19524.682,17861.08
20303.998,18151.04
21083.312,18938.676
21862.629,20057.445
21037.8,21208.928
20212.97,21538.797
20877.92,21626.223
20652.049,21795.803
20820.78,21603.773
21024.25,21474.564
21058.02,21218.38
20741.5,21084.465
20413.951,20942.307
19847.33,20626.523
19029.92,20102.594
18386.13,19539.143
17844.379,18903.441
17040.379,17939.615
16450.549,17107.938
15999.2705,16393.57
15050.63,15854.96
15359.687,15381.911
15668.743,15448.912
15977.799,15834.735
16045.5,16387.068
16359.25,16938.066
17182.72,17501.379
18339.92,18239.547
19767.42,18952.828
20743.33,19812.336
21091.95,20722.467
21477.95,21382.96
21573.82,21778.23
21559.078,21880.518
21507.55,21678.637
21215.28,21284.24
20942.5,20769.027
19726.47,20188.627
19603.15,19388.057
18735.55,18881.025
18191.9,18292.295
17434.13,17686.766
17007.4,17184.387
16594.7,16878.62
16835.416,16734.562
17076.13,16952.764
17316.848,17316.31
17557.564,17809.596
17798.28,18417.906
18442.469,18969.072
20004.77,19686.504
20921.25,20704.023
21064.129,21576.184
19702.5,21820.758
20327.049,21356.99
19613.0,21119.314
19039.031,20456.756
20745.85,19759.03
20596.33,19760.19
19968.781,19707.264
19525.85,19687.781
19166.7,19781.43
19450.2,19711.947
19448.25,19860.715
20033.14,19767.213
20618.03,19537.223
19863.45,19599.32
19506.568,19415.686
19036.43,19268.652
18734.25,19140.41
18710.42,18973.91
19114.8,18958.988
19328.879,19074.105
19250.016,19290.867
19171.15,19521.389
20532.0,19703.037
22280.35,20166.96
21364.67,20938.873
21721.4,21311.152
22004.0,21374.764
22447.219,21514.531
22328.398,21727.81
21823.83,21659.84
21248.8,21399.39
20417.08,21130.812
19935.28,20832.182
18044.951,20474.117
18504.93,19703.92
22006.38,19397.174
21101.33,19943.04
19900.1,20056.342
19720.15,19974.781
18955.92,19941.83
18679.379,19594.217
18529.0,19241.643
18834.9,18968.795
19709.668,18822.576
19056.186,18999.281
18402.7,19024.78
19793.479,19278.664
21037.15,20011.658
20425.68,20632.36
20512.299,20918.807
20980.35,20989.672
21115.75,20913.713
21262.701,20607.52
21082.168,20326.408
20810.469,20069.375
19987.58,19975.574
19415.969,19694.898
18609.38,19447.879
18961.1,19328.355
19503.266,19346.492
20045.434,19144.668
20587.6,19181.324
19793.78,19438.057
19130.9,19401.02
18867.17,19264.787
18803.88,19060.857
19401.0,18999.688
20264.58,19134.91
20096.164,19416.191
19927.746,19649.592
19759.33,20074.219
19885.215,20302.957
20011.1,20350.74
20682.549,20497.78
20944.25,20550.875
21279.42,20458.0
21411.6,20378.36
21216.398,20326.934
20706.65,20292.137
20106.299,20276.734
19393.02,20109.643
18470.57,19876.76
19277.549,19617.65
20024.79,19568.104
20772.03,19595.033
20317.201,19774.48
19454.47,19797.084
19229.15,19632.246
18887.98,19560.723
19003.7,19464.158
19221.2,19459.213
18814.65,19424.805
19002.916,19153.375
19191.184,19133.123
19379.45,19489.314
20824.1,19842.82
20157.48,20418.473
20109.75,20486.227
20317.53,20333.127
20364.75,20092.074
20196.18,19746.65
19908.75,19317.71
19483.83,18895.025
18784.03,18603.086
17956.25,18357.266
17180.451,17958.23
17233.15,17590.354
20310.97,17370.373
19528.22,18068.008
18995.9,18261.494
18736.78,18336.793
18378.68,18384.006
17896.55,18262.86
17530.1,18138.844
16815.58,17925.684
16895.0,17610.92
16980.693,17477.705
17066.387,17549.92
17152.08,17892.115
18008.13,18316.334
19004.469,18747.121
19815.92,19445.43
20176.45,20144.111
20419.129,20645.094
20225.104,20868.516
20031.076,20674.467
19837.05,20278.346
18696.18,19754.398
18231.33,18943.637
17472.6,18175.027
16841.35,17435.848
16455.129,16761.035
15751.72,16020.452
15230.15,15396.904
14241.6,15003.078
13923.42,14621.661
13807.351,14530.104
13556.38,14547.709
14126.85,14639.957
14484.579,15010.478
15109.199,15476.929
15735.75,16151.22
17664.85,16888.51
18468.57,18002.24
19874.969,18934.77
20064.8,19922.95
20466.23,20370.43
20393.068,20556.756
20234.9,20411.525
19898.35,19964.045
19304.3,19442.453
18541.95,18676.912
17425.88,17859.244
16634.75,16945.318
15391.55,16221.497
15123.569,15375.133
14556.6,14882.931
14289.25,14520.53
13910.63,14331.827
14012.31,14380.355
14113.989,14567.806
14215.67,14827.44
14317.35,15207.965
15189.92,15638.714
15781.73,16242.094
17135.55,16856.482
18565.648,17672.266
19181.38,18464.309
18859.47,19052.514
18971.53,19283.303
18953.75,19202.035
18967.15,18993.564
18914.4,18752.342
18962.75,18276.191
18353.4,17968.178
17652.1,17640.207
16946.73,17326.824
16426.316,17062.246
15905.899,16834.777
18295.28,16587.996
17884.15,17072.012
17242.55,17256.688
17065.25,17363.695
16510.969,17444.979
16194.449,17311.588
16038.8,17181.318
16697.67,17028.674
17018.0,17199.73
16584.914,17348.947
16151.83,17474.697
17632.03,17658.879
17655.889,18204.703
17679.75,18205.172
17791.9,18161.693
18009.08,18165.586
18001.68,18039.088
17856.28,17848.803
17562.8,17560.393
17055.129,17249.275
16399.7,16958.508
15878.529,16639.867
16072.98,16307.836
16267.43,16527.098
18729.201,16787.422
18166.5,17330.295
17483.65,17559.404
16993.82,17628.56
16760.719,17489.611
16180.199,17265.777
16257.4,16917.682
16712.229,16694.807
