test_y,predicted_values
1350.0,1342.2001
1464.7059,1383.9684
1505.8823,1420.3357
1523.5294,1447.3691
1482.3529,1452.8284
1450.0001,1441.6062
1373.5294,1425.6699
1341.1765,1404.4645
1320.5883,1400.6344
1305.8824,1411.0126
1420.5883,1423.3214
1458.8235,1452.3547
1511.7648,1474.0537
1529.4117,1484.0347
1488.2354,1480.5829
1497.0587,1449.1039
1473.5293,1406.8341
1364.7059,1357.6895
1385.2941,1315.3303
1338.2352,1286.5906
1311.7646,1279.4835
1332.3529,1293.1693
1338.2352,1323.7244
1361.7646,1358.6871
1355.8823,1409.188
1364.7059,1437.2169
1382.3529,1451.8225
1385.2941,1455.1804
1435.2941,1432.8452
1379.4117,1421.0186
1364.7059,1408.4108
1402.9412,1396.87
1326.4706,1404.6947
1382.3529,1414.1228
1411.7646,1436.4844
1470.5883,1457.8956
1454.4117,1476.719
1438.2354,1477.9852
1461.7646,1462.5577
1420.5883,1441.9023
1467.6471,1397.2354
1473.5293,1359.9437
1388.2352,1343.4996
1341.1765,1321.862
1400.0,1308.0897
1332.3529,1318.7888
1364.7059,1336.0143
1335.2941,1363.5193
1408.8235,1391.6531
1438.2354,1430.7538
1452.9412,1451.7649
1438.2354,1460.5425
1367.6471,1460.5906
1391.1765,1421.4713
1311.7646,1404.6575
1291.1765,1386.3364
1311.7646,1379.2406
1320.5883,1386.643
1444.1177,1405.059
1464.7059,1438.6274
1526.4706,1460.0624
1482.3529,1481.6772
1502.9412,1476.2838
1473.5293,1455.9653
1455.8823,1425.456
1402.9412,1388.4534
1447.0588,1350.3153
1458.8235,1334.9338
1314.7058,1344.0499
1347.0588,1342.6245
1297.0588,1361.6664
1300.0,1366.3757
1350.0,1391.5974
1400.0,1404.498
1426.4707,1424.5735
1382.3529,1434.5251
1361.7646,1413.4065
1305.8824,1396.3108
1314.7058,1369.5675
1294.1177,1347.0782
1308.8235,1343.7687
1285.2941,1364.7952
1341.1765,1384.6455
1432.3529,1409.9508
1417.6471,1437.889
1411.7646,1447.2888
1317.6471,1446.9854
1341.1765,1408.4688
1264.7058,1367.6616
1276.4706,1313.8376
1208.8236,1278.6793
1191.1764,1244.9039
1238.2352,1222.187
1261.7646,1227.5149
1270.5883,1250.498
1241.1764,1282.2886
1264.7058,1309.4983
1320.5883,1329.9683
1402.9412,1337.368
1373.5294,1349.3894
1400.0,1348.8999
1347.0588,1345.0804
1291.1765,1330.4227
1297.0588,1316.3458
1273.5294,1316.1577
1267.6471,1325.0197
1352.9413,1350.4901
1388.2352,1375.2441
1432.3529,1401.5507
1414.7059,1420.9869
1405.8823,1418.777
1376.4707,1407.7898
1379.4117,1380.158
1300.0,1342.9484
1238.2352,1309.167
1276.4706,1274.4824
1294.1177,1258.5624
1226.4706,1264.5171
1276.4706,1277.3822
1214.7058,1297.2491
1270.5883,1317.4763
1355.8823,1336.5558
1476.4706,1350.4568
1488.2354,1371.359
1417.6471,1386.0323
1452.9412,1369.5259
1391.1765,1365.1378
1420.5883,1354.9344
1329.4119,1359.1187
1323.5294,1371.7927
1397.0588,1396.7075
1473.5293,1417.6498
1500.0,1444.7655
1467.6471,1463.7537
1505.8823,1462.0359
1420.5883,1446.0773
1350.0,1409.3066
1244.1177,1364.9456
1726.4706,1307.8506
1489.7059,1333.7808
1252.9412,1341.5162
1191.1764,1340.7817
1217.6471,1324.5271
1279.4119,1301.7732
1297.0588,1328.8403
1367.6471,1348.9446
1441.1765,1406.7921
1476.4706,1407.5632
1502.9412,1395.769
1420.5883,1417.9695
1344.1177,1414.6083
1388.2352,1367.3938
1341.1765,1361.9513
1358.8235,1373.0538
1432.3529,1403.8665
1541.1765,1438.3002
1517.6471,1468.161
1544.1177,1493.6991
1485.2941,1501.4252
1517.6471,1483.4164
1455.8823,1451.8912
1308.8235,1412.7119
1291.1765,1376.9148
1258.8235,1314.1362
1326.4706,1264.8248
1258.8235,1281.5349
1323.5294,1303.3427
1250.0,1336.519
1355.8823,1359.3506
1376.4707,1385.5747
1497.0587,1408.602
1455.8823,1427.0249
1435.2941,1425.7965
1426.4707,1406.6406
1405.8823,1403.8724
1282.3529,1390.5385
1282.3529,1389.9878
1326.4706,1389.133
1402.9412,1412.6577
1511.7648,1437.1631
1517.6471,1469.4221
1532.3529,1493.5784
1538.2354,1502.6176
1473.5293,1481.1053
1405.8823,1443.6384
1285.2941,1400.5985
1211.7646,1346.6614
1205.8824,1297.1187
1247.0588,1264.6445
1223.5294,1267.9917
1264.7058,1297.399
1229.4117,1321.5405
1308.8235,1347.6277
1300.0,1371.6187
1435.2941,1380.7203
