test_y,predicted_values
29756.691,31041.361
27970.143,28099.133
26509.508,26282.31
25129.543,24797.145
23070.81,23229.656
22076.268,21393.012
20454.578,20716.184
19223.84,19522.45
18935.88,18520.295
18400.105,18512.906
18668.24,18618.13
18780.846,19474.127
20530.0,19871.1
22161.129,21579.773
21904.86,23759.95
23124.19,24330.451
24678.7,25567.451
27303.875,26558.598
29207.783,28950.027
28792.219,30609.225
29972.113,29719.652
29647.553,30382.238
29322.992,29746.287
28998.434,28872.537
28673.875,27631.238
26679.93,27093.805
25420.988,25049.262
24006.69,23804.164
22398.662,22428.035
20883.875,21018.213
19923.275,19715.598
19118.908,18962.656
17874.578,18518.197
17342.395,17533.965
17983.205,17578.72
19462.254,18788.086
19301.867,20542.477
20618.592,20316.031
23199.12,21901.256
25686.621,25119.742
27243.943,27709.867
29402.184,29085.664
30547.607,30903.33
31658.17,31591.73
32144.861,32377.797
32550.67,32426.686
32524.72,32463.148
31828.062,31863.994
30289.473,30513.219
27572.994,28592.082
26353.734,25829.35
25079.05,24619.525
23639.33,23317.98
22164.402,22069.219
21255.6,20849.982
20664.297,20145.473
20123.064,19798.438
19363.662,19641.062
19947.254,19755.838
21831.727,20811.346
22786.762,22827.707
23363.135,23999.594
25805.389,25082.338
28676.516,28023.816
30542.643,30761.463
32568.379,32303.986
34072.29,34051.598
35836.445,35184.023
36563.207,36430.246
37567.36,36607.4
37173.207,37305.61
36779.05,36241.625
34755.637,35069.125
32546.902,32660.324
31059.084,30541.926
27791.338,29212.88
25586.092,25861.973
23249.965,23914.0
21858.38,21901.691
20731.797,20939.615
20103.488,20026.766
19525.178,19755.027
19933.31,20001.084
21484.367,20989.342
23554.402,22618.105
24418.275,24704.785
25957.57,26077.387
29042.643,28198.629
32533.418,31138.346
34709.086,34328.77
35958.1,36460.246
37103.273,37431.54
39256.516,38012.742
39169.613,39488.32
39428.17,38870.11
38696.76,38483.152
35575.387,37010.766
32995.6,33459.402
30222.078,30812.186
28035.354,28017.236
26391.373,25848.074
25586.338,24376.836
22777.924,23860.336
21774.648,21609.793
20648.734,20952.406
20139.295,20259.982
20369.93,20530.996
21356.34,21588.3
23359.932,22800.783
23725.986,24706.76
26195.775,25576.514
28667.818,28675.99
31635.951,31208.148
33951.094,33745.434
35844.86,35585.59
37594.65,37191.867
38997.89,38516.26
39337.324,39369.54
39350.355,39195.1
37485.918,38410.36
35555.457,35629.508
33035.883,33260.66
31397.078,30799.05
29089.156,29209.064
26799.824,27141.451
24787.254,24924.916
22772.746,23065.254
21538.346,21367.426
20353.908,20647.04
19737.078,19913.738
20005.281,20046.092
21972.184,20932.129
23625.951,23160.383
23311.514,24912.262
24373.451,25182.197
28490.6,26976.018
32611.023,31082.822
34368.49,34856.86
