test_y,predicted_values
1408.8235,1367.7869
1438.2354,1433.3676
1452.9412,1454.1448
1438.2354,1475.4493
1367.6471,1432.2477
1391.1765,1347.947
1311.7646,1375.4436
1291.1765,1294.3153
1311.7646,1292.9153
1320.5883,1332.2755
1444.1177,1367.9586
1464.7059,1478.9172
1526.4706,1474.4645
1482.3529,1522.4663
1502.9412,1468.3151
1473.5293,1483.2673
1455.8823,1457.4487
1402.9412,1429.5337
1447.0588,1369.6573
1458.8235,1416.9406
1314.7058,1452.5148
1347.0588,1309.8087
1297.0588,1339.7306
1300.0,1303.2927
1350.0,1330.2543
1400.0,1386.8873
1426.4707,1419.8302
1382.3529,1431.1787
1361.7646,1364.8417
1305.8824,1346.621
1314.7058,1286.3074
1294.1177,1297.3767
1308.8235,1299.1067
1285.2941,1333.6044
1341.1765,1344.1719
1432.3529,1391.919
1417.6471,1460.3638
1411.7646,1424.685
1317.6471,1407.5944
1341.1765,1307.5398
1264.7058,1319.0527
1276.4706,1234.5691
1208.8236,1256.629
1191.1764,1188.8787
1238.2352,1170.5872
1261.7646,1228.275
1270.5883,1260.9047
1241.1764,1282.6797
1264.7058,1283.8995
1320.5883,1315.6749
1402.9412,1351.787
1373.5294,1404.4429
1400.0,1356.9736
1347.0588,1370.0092
1291.1765,1315.2473
1297.0588,1276.2844
1273.5294,1293.793
1267.6471,1290.728
1352.9413,1326.1636
1388.2352,1396.2697
1432.3529,1397.5028
1414.7059,1411.585
1405.8823,1397.4802
1376.4707,1373.1234
1379.4117,1340.7041
1300.0,1346.2921
1238.2352,1279.1005
1276.4706,1223.554
1294.1177,1282.4486
1226.4706,1304.3341
1276.4706,1229.3723
1214.7058,1282.9476
1270.5883,1253.9717
1355.8823,1314.6462
1476.4706,1390.5818
1488.2354,1486.7623
1417.6471,1475.0365
1452.9412,1386.272
1391.1765,1418.7328
1420.5883,1366.9285
1329.4119,1413.1313
1323.5294,1349.802
1397.0588,1377.562
1473.5293,1434.5555
1500.0,1492.5469
1467.6471,1494.9658
1505.8823,1452.3062
1420.5883,1482.6116
1350.0,1381.0048
1244.1177,1309.7345
1726.4706,1206.2704
1489.7059,1698.0823
1252.9412,1462.9191
1191.1764,1243.5359
1217.6471,1195.7083
1279.4119,1235.2616
1297.0588,1323.5192
1367.6471,1362.7601
1441.1765,1430.451
1476.4706,1440.7748
1502.9412,1456.9694
1420.5883,1482.622
1344.1177,1398.1041
1388.2352,1330.3812
1341.1765,1366.9546
1358.8235,1355.4292
1432.3529,1416.6294
1541.1765,1487.5115
1517.6471,1555.6482
1544.1177,1507.402
1485.2941,1536.7983
1517.6471,1464.8087
1455.8823,1473.1559
1308.8235,1435.764
1291.1765,1341.2124
1258.8235,1261.0626
1326.4706,1189.718
1258.8235,1289.328
1323.5294,1260.937
1250.0,1339.6536
1355.8823,1278.594
1376.4707,1400.6443
1497.0587,1430.4132
1455.8823,1521.5287
1435.2941,1452.7247
1426.4707,1406.6891
1405.8823,1401.0413
1282.3529,1404.3691
1282.3529,1271.7075
1326.4706,1290.8907
1402.9412,1382.5931
1511.7648,1459.6187
1517.6471,1522.8661
1532.3529,1504.0958
1538.2354,1523.9379
1473.5293,1512.8358
1405.8823,1433.8374
1285.2941,1364.4231
1211.7646,1280.6552
1205.8824,1198.3053
