test_y,predicted_values
20357.1,20606.543
19521.75,19803.432
18563.45,19230.861
18368.6,18876.71
21209.781,19234.566
20292.85,21236.473
19414.398,19714.357
18557.8,18985.043
18152.38,18270.922
17830.166,17874.9
17507.951,17824.967
17995.549,17964.014
18752.9,18258.77
18158.59,18639.768
17564.28,18676.605
18392.03,18700.535
19313.4,19305.508
18340.898,19584.104
19133.1,18667.545
19860.068,19418.873
20600.8,20015.951
20740.8,20539.424
20362.5,20468.982
19976.63,19973.957
19145.33,19422.643
18516.078,18506.844
17654.0,17999.941
18368.469,17862.064
18957.262,19229.982
19546.057,18874.38
20134.85,18890.25
19229.85,19639.652
18616.4,18948.746
18071.451,18295.238
17876.818,17994.492
18142.5,18328.053
17669.52,18381.182
17837.41,17658.387
18005.299,18068.773
19693.28,18788.467
20858.1,20240.422
20149.719,20980.705
20278.748,20424.475
20394.568,20649.396
20616.67,20685.96
20735.38,20659.082
20494.979,20500.926
19902.049,20101.727
19301.85,19268.363
18726.918,18551.104
18032.25,18168.225
18226.42,18242.604
19572.15,18969.797
20917.879,19699.207
20459.03,20616.807
19697.95,20121.344
18931.049,19348.588
17710.72,18530.064
17866.18,17581.662
18497.78,18116.158
19071.83,18640.887
18291.773,19022.943
17511.719,18547.936
18857.2,18411.37
20029.98,19547.834
19255.22,20177.883
19596.17,19481.777
19983.38,19886.143
19528.719,20235.709
19743.35,19552.54
19324.201,19580.396
19058.53,19092.594
18092.67,18574.574
17662.08,17482.584
17345.469,17310.08
17107.35,17561.943
19826.95,17771.383
19630.67,20019.998
19162.719,19291.879
18683.52,18719.432
18201.28,18208.635
18097.8,17707.713
17966.049,17909.834
18745.365,18203.926
19524.682,18879.652
20303.998,19281.148
21083.312,20330.74
21862.629,21784.182
21037.8,22499.322
20212.97,21047.086
20877.92,20308.361
20652.049,21089.965
20820.78,20745.213
21024.25,20772.002
21058.02,20764.045
20741.5,20673.707
20413.951,20168.744
19847.33,19808.486
19029.92,19322.86
18386.13,19076.344
17844.379,19083.309
17040.379,18044.602
16450.549,16711.645
15999.2705,16040.115
15050.63,15737.422
15359.687,14850.095
15668.743,15425.613
15977.799,16266.125
16045.5,16581.477
16359.25,16500.23
17182.72,17042.838
18339.92,18119.414
19767.42,18926.93
20743.33,19757.43
21091.95,20866.395
21477.95,21224.59
21573.82,21534.049
21559.078,21578.572
21507.55,21355.469
21215.28,21153.363
20942.5,20572.428
19726.47,20132.904
19603.15,18954.34
18735.55,19283.436
18191.9,18943.092
17434.13,17939.455
17007.4,16874.338
16594.7,16373.293
16835.416,16104.193
17076.13,16458.523
17316.848,17058.314
17557.564,17709.338
17798.28,17905.186
18442.469,18157.307
20004.77,19072.086
20921.25,21111.738
21064.129,21800.121
19702.5,21250.047
20327.049,19973.812
19613.0,20595.645
19039.031,19776.348
20745.85,19086.953
20596.33,20638.414
19968.781,20248.55
19525.85,19311.453
19166.7,18748.348
19450.2,18663.594
19448.25,19330.984
20033.14,19608.64
20618.03,19864.2
19863.45,20128.375
19506.568,19366.549
19036.43,19134.115
18734.25,18735.258
18710.42,18699.562
19114.8,18956.873
19328.879,19317.246
19250.016,19470.43
19171.15,19696.547
20532.0,19904.742
22280.35,20728.371
21364.67,21967.908
21721.4,21382.8
22004.0,21736.957
22447.219,22039.57
22328.398,22634.836
21823.83,22277.627
21248.8,21480.799
20417.08,20714.488
19935.28,19929.342
18044.951,19682.504
18504.93,18230.758
22006.38,18919.479
21101.33,22046.717
19900.1,20635.123
19720.15,19376.912
18955.92,19275.746
18679.379,18640.006
18529.0,18667.725
18834.9,18910.355
19709.668,19063.848
19056.186,19705.635
18402.7,19494.639
19793.479,19317.969
21037.15,20478.55
20425.68,21143.883
20512.299,20521.725
20980.35,20664.91
21115.75,21122.326
21262.701,21162.307
21082.168,21030.31
20810.469,20702.932
19987.58,20264.963
19415.969,19256.611
18609.38,18850.547
18961.1,18755.182
19503.266,19830.312
20045.434,19686.793
20587.6,19500.924
19793.78,20011.693
19130.9,19375.57
18867.17,18724.477
18803.88,18644.424
19401.0,19052.072
20264.58,19601.385
20096.164,20135.32
19927.746,20187.467
19759.33,20526.25
19885.215,20337.191
20011.1,19910.012
20682.549,20158.693
20944.25,20852.594
21279.42,21016.174
21411.6,21299.982
21216.398,21170.898
20706.65,20880.676
20106.299,20217.537
19393.02,19529.527
18470.57,18957.742
19277.549,18635.5
20024.79,19956.488
20772.03,20258.068
20317.201,20540.818
19454.47,19883.99
19229.15,19101.578
18887.98,18982.19
19003.7,18953.805
19221.2,19473.893
18814.65,19607.45
19002.916,18955.635
19191.184,19172.09
19379.45,19549.062
20824.1,19586.242
20157.48,20765.87
20109.75,20303.78
20317.53,20253.3
20364.75,20446.318
20196.18,20530.791
19908.75,20119.637
19483.83,19570.672
18784.03,18985.209
17956.25,18171.4
17180.451,17535.21
17233.15,17323.473
20310.97,17686.662
19528.22,20403.885
18995.9,19235.666
18736.78,18638.445
18378.68,18362.71
17896.55,18153.143
17530.1,17912.557
16815.58,17793.018
16895.0,17079.08
16980.693,17024.36
17066.387,17357.826
17152.08,17689.654
18008.13,17785.42
19004.469,18233.61
19815.92,19205.688
20176.45,20071.135
20419.129,20448.088
20225.104,20564.52
20031.076,20086.398
19837.05,19684.412
18696.18,19315.21
18231.33,18087.23
17472.6,17741.518
16841.35,17531.99
16455.129,17455.78
15751.72,16505.986
15230.15,15405.479
14241.6,14792.639
13923.42,14014.519
13807.351,13799.921
13556.38,13720.18
14126.85,13768.3545
14484.579,14453.159
15109.199,14795.389
15735.75,15591.6875
17664.85,16430.727
18468.57,18433.71
19874.969,18865.504
20064.8,20224.336
20466.23,20269.674
20393.068,20674.531
20234.9,20501.764
19898.35,19991.986
19304.3,19445.236
18541.95,18564.748
17425.88,17839.195
16634.75,16676.258
15391.55,16366.577
15123.569,15615.325
14556.6,15017.837
14289.25,14127.046
13910.63,13831.856
14012.31,13689.719
14113.989,13891.09
14215.67,14152.321
14317.35,14640.333
15189.92,14810.931
15781.73,15718.979
17135.55,16462.164
18565.648,18096.607
19181.38,19463.541
18859.47,19645.098
18971.53,19163.324
18953.75,19239.232
18967.15,19127.06
18914.4,18812.951
18962.75,18607.43
18353.4,18422.635
17652.1,17547.86
16946.73,16793.88
16426.316,16152.722
15905.899,16262.432
18295.28,16254.849
17884.15,18105.848
17242.55,17420.787
17065.25,16846.723
16510.969,16748.387
16194.449,16246.59
16038.8,16146.657
16697.67,16319.036
17018.0,17107.385
16584.914,17247.744
16151.83,17057.566
17632.03,17010.908
17655.889,18238.312
17679.75,17942.195
17791.9,17929.182
18009.08,18039.947
18001.68,18208.033
17856.28,18012.465
17562.8,17753.041
17055.129,17297.217
16399.7,16595.896
15878.529,15792.16
16072.98,15498.634
16267.43,16325.723
18729.201,16883.133
18166.5,18804.469
17483.65,17821.826
16993.82,17071.59
16760.719,16679.35
16180.199,16512.395
16257.4,16059.539
16712.229,16492.797
15544.83,16894.586
15810.25,15480.6455
16075.669,16021.488
18102.35,16640.357
19233.3,18536.22
18454.05,19435.355
18844.83,18651.287
19212.4,18967.098
19149.15,19334.94
19296.13,19134.244
19042.92,19048.572
18639.328,18705.07
17930.22,18059.102
17376.4,17284.531
17101.328,17045.99
16889.88,17298.729
19110.13,17643.246
18562.2,19162.502
17863.03,18041.562
17275.719,17403.217
17204.22,16940.52
16832.5,16895.336
16984.33,16694.03
17361.7,17134.652
17365.03,17403.744
17603.229,17385.86
17841.43,17984.6
18079.629,18673.887
18629.588,18812.81
19179.549,18841.574
18945.42,19346.02
18777.5,19065.771
19036.469,18853.797
19210.6,18929.217
19077.25,18948.637
18342.469,18675.91
18105.65,17742.857
17880.969,17491.453
17186.6,17538.014
17663.85,17435.295
18344.676,18522.66
19025.498,18417.34
18586.7,18600.643
18001.55,18207.75
17500.3,17773.111
16739.6,17236.256
17199.6,16611.842
17848.549,17324.115
18523.398,17925.986
18351.6,18552.836
18179.8,18458.21
18008.0,18762.45
19219.6,18482.697
19247.879,19483.496
19827.52,19419.85
20040.0,19834.506
20207.68,20066.498
20048.92,20165.92
19811.7,19784.725
19312.45,19387.314
18594.701,18842.605
17902.92,18101.943
18673.996,17559.047
19445.072,18737.232
20216.15,19828.016
19689.95,20236.89
