test_y,predicted_values
29756.691,30880.205
27970.143,28000.111
26509.508,26095.695
25129.543,24671.674
23070.81,23268.297
22076.268,21413.889
20454.578,20655.605
19223.84,19404.559
18935.88,18543.957
18400.105,18699.875
18668.24,18773.262
18780.846,19492.098
20530.0,19693.004
22161.129,21489.799
21904.86,23589.473
23124.19,23940.797
24678.7,25175.365
27303.875,26325.006
29207.783,28889.791
28792.219,30469.492
29972.113,29544.15
29647.553,30268.027
29322.992,29461.338
28998.434,28567.498
28673.875,27597.285
26679.93,27165.078
25420.988,25031.217
24006.69,23756.123
22398.662,22442.154
20883.875,21016.39
19923.275,19647.912
19118.908,18936.953
17874.578,18516.941
17342.395,17573.637
17983.205,17522.455
19462.254,18605.877
19301.867,20381.025
20618.592,20170.256
23199.12,21646.846
25686.621,24695.885
27243.943,27412.791
29402.184,28888.828
30547.607,30664.521
31658.17,31258.555
32144.861,31975.988
32550.67,32145.945
32524.72,32252.363
31828.062,31754.78
30289.473,30543.31
27572.994,28648.555
26353.734,25896.314
25079.05,24698.451
23639.33,23381.385
22164.402,22117.623
21255.6,20918.668
20664.297,20177.312
20123.064,19819.951
19363.662,19732.092
19947.254,19689.584
21831.727,20568.414
22786.762,22590.75
23363.135,23887.941
25805.389,24864.104
28676.516,27569.955
30542.643,30316.578
32568.379,31939.076
34072.29,33690.527
35836.445,34747.805
36563.207,36013.324
37567.36,36319.35
37173.207,37015.11
36779.05,36016.844
34755.637,35002.098
32546.902,32599.86
31059.084,30679.992
27791.338,29390.697
25586.092,26003.46
23249.965,23985.283
21858.38,21966.66
20731.797,20966.088
20103.488,19954.959
19525.178,19763.61
19933.31,19920.242
21484.367,20848.31
23554.402,22465.348
24418.275,24727.143
25957.57,26140.684
29042.643,27950.006
32533.418,30829.95
34709.086,34121.016
35958.1,36005.844
37103.273,36832.973
39256.516,37492.684
39169.613,39187.33
39428.17,38541.426
38696.76,38282.965
35575.387,36848.305
32995.6,33234.555
30222.078,30688.867
28035.354,27937.248
26391.373,25920.805
25586.338,24366.97
22777.924,24000.523
21774.648,21608.773
20648.734,20976.762
20139.295,20316.084
20369.93,20538.3
21356.34,21473.44
23359.932,22574.09
23725.986,24591.19
26195.775,25435.598
28667.818,28470.215
31635.951,30828.152
33951.094,33343.707
35844.86,35153.14
37594.65,36845.992
38997.89,38190.023
39337.324,39007.15
39350.355,38807.07
37485.918,38053.11
35555.457,35314.55
33035.883,33009.547
31397.078,30562.31
29089.156,29149.219
26799.824,27116.936
24787.254,24948.406
22772.746,23040.004
21538.346,21425.322
20353.908,20672.244
19737.078,19936.656
20005.281,19983.26
21972.184,20838.646
23625.951,23151.23
23311.514,24853.926
24373.451,25020.84
28490.6,26642.176
32611.023,30778.19
34368.49,34495.742
35154.613,35867.13
36464.367,36348.117
37295.25,37200.797
38334.156,37391.098
38159.93,37843.74
38110.496,36837.29
35677.71,36025.996
33321.62,33181.48
31100.035,30914.668
28479.191,28811.465
25797.889,26384.55
23387.502,23829.516
22671.725,21550.096
21313.31,21385.172
20659.613,20352.924
19979.72,20233.625
20045.562,20288.906
21044.121,21021.715
22079.156,22217.621
