test_y,predicted_values
19145.33,19436.023
18516.078,18431.895
17654.0,18093.281
18368.469,17924.941
18957.262,19161.486
19546.057,18866.875
20134.85,18970.736
19229.85,19634.258
18616.4,19019.848
18071.451,18406.633
17876.818,18041.08
18142.5,18309.53
17669.52,18496.941
17837.41,17712.729
18005.299,18095.303
19693.28,18798.291
20858.1,20170.562
20149.719,20867.428
20278.748,20393.338
20394.568,20606.57
20616.67,20692.336
20735.38,20570.012
20494.979,20554.113
19902.049,20218.215
19301.85,19186.422
18726.918,18596.85
18032.25,18294.781
18226.42,18204.379
19572.15,18879.55
20917.879,19771.838
20459.03,20660.371
19697.95,20003.686
18931.049,19416.766
17710.72,18586.39
17866.18,17599.078
18497.78,18115.414
19071.83,18715.416
18291.773,19198.389
17511.719,18597.562
18857.2,18481.04
20029.98,19495.941
19255.22,20067.252
19596.17,19456.229
19983.38,19895.523
19528.719,20218.334
19743.35,19405.873
19324.201,19720.758
19058.53,19187.488
18092.67,18524.148
17662.08,17608.406
17345.469,17383.031
17107.35,17578.834
19826.95,17652.584
19630.67,20055.25
19162.719,19297.16
18683.52,18681.195
18201.28,18274.557
18097.8,17793.81
17966.049,18015.793
18745.365,18125.322
19524.682,18922.03
20303.998,19378.773
21083.312,20365.764
21862.629,21861.98
21037.8,22457.145
20212.97,21053.871
20877.92,20246.281
20652.049,21063.256
20820.78,20717.172
21024.25,20743.572
21058.02,20842.203
20741.5,20691.725
20413.951,20237.203
19847.33,19742.82
19029.92,19355.143
18386.13,19127.957
17844.379,18970.936
17040.379,18103.232
16450.549,16703.95
15999.2705,16016.406
15050.63,15726.202
15359.687,14889.479
15668.743,15523.823
15977.799,16271.283
16045.5,16652.818
16359.25,16554.236
17182.72,17105.867
18339.92,18210.736
19767.42,18895.998
20743.33,19747.21
21091.95,20860.758
21477.95,21215.482
21573.82,21525.613
21559.078,21592.979
21507.55,21449.396
21215.28,21249.139
20942.5,20526.293
19726.47,20111.766
19603.15,19051.834
18735.55,19252.4
18191.9,18744.166
17434.13,18004.264
17007.4,16886.643
16594.7,16376.169
16835.416,16159.692
17076.13,16445.414
17316.848,17028.145
17557.564,17585.04
17798.28,17882.277
18442.469,18236.355
20004.77,19134.574
20921.25,21175.832
21064.129,21710.688
19702.5,21335.21
