test_y,predicted_values
1350.0,1251.1156
1464.7059,1377.8545
1505.8823,1487.6532
1523.5294,1526.221
1482.3529,1515.232
1450.0001,1462.9457
1373.5294,1425.9684
1341.1765,1344.2228
1320.5883,1337.9496
1305.8824,1333.7488
1420.5883,1352.5172
1458.8235,1447.3737
1511.7648,1462.0967
1529.4117,1499.2031
1488.2354,1510.9829
1497.0587,1449.5242
1473.5293,1447.2855
1364.7059,1417.0547
1385.2941,1307.5192
1338.2352,1343.9639
1311.7646,1318.691
1332.3529,1309.9546
1338.2352,1334.7218
1361.7646,1346.8594
1355.8823,1407.9897
1364.7059,1396.854
1382.3529,1388.2563
1385.2941,1394.0217
1435.2941,1373.0394
1379.4117,1411.4908
1364.7059,1340.3806
1402.9412,1333.9312
1326.4706,1386.369
1382.3529,1327.8344
1411.7646,1435.0107
1470.5883,1450.9834
1454.4117,1484.5786
1438.2354,1445.7754
1461.7646,1426.9888
1420.5883,1434.4595
1467.6471,1377.2931
1473.5293,1418.3967
1388.2352,1435.3933
1341.1765,1359.8127
1400.0,1320.7786
1332.3529,1398.7861
1364.7059,1323.3862
1335.2941,1362.2935
1408.8235,1358.9872
1438.2354,1424.9204
1452.9412,1444.0995
1438.2354,1455.3221
1367.6471,1428.9554
1391.1765,1348.189
1311.7646,1364.8115
1291.1765,1289.2024
1311.7646,1290.8425
1320.5883,1328.7185
1444.1177,1355.1141
1464.7059,1474.252
1526.4706,1465.0833
1482.3529,1508.7062
1502.9412,1462.8212
1473.5293,1473.7191
1455.8823,1449.1774
1402.9412,1418.96
1447.0588,1366.366
1458.8235,1418.756
1314.7058,1447.1838
1347.0588,1310.2032
1297.0588,1342.5281
1300.0,1296.0444
1350.0,1321.7383
1400.0,1377.6533
1426.4707,1412.9594
1382.3529,1415.7839
1361.7646,1359.1199
1305.8824,1340.1782
1314.7058,1277.4916
1294.1177,1296.6759
1308.8235,1292.4467
1285.2941,1330.8179
1341.1765,1342.8293
1432.3529,1381.5847
1417.6471,1448.5068
1411.7646,1417.3494
1317.6471,1397.6125
1341.1765,1299.484
1264.7058,1308.8562
1276.4706,1229.814
1208.8236,1258.8145
1191.1764,1183.1132
1238.2352,1169.0482
1261.7646,1226.5825
1270.5883,1252.6196
1241.1764,1276.9646
1264.7058,1276.0284
1320.5883,1307.2699
1402.9412,1344.5154
1373.5294,1400.4252
1400.0,1352.9368
1347.0588,1363.5538
1291.1765,1312.6844
1297.0588,1271.0198
1273.5294,1283.0088
1267.6471,1292.0598
1352.9413,1311.7495
1388.2352,1396.9596
1432.3529,1389.8716
1414.7059,1402.1663
1405.8823,1389.2292
1376.4707,1360.188
1379.4117,1333.8073
1300.0,1339.6737
1238.2352,1272.9514
1276.4706,1228.3604
1294.1177,1276.6122
1226.4706,1301.7684
1276.4706,1223.0018
1214.7058,1281.7561
1270.5883,1239.2045
1355.8823,1311.1053
1476.4706,1383.3987
1488.2354,1473.9043
1417.6471,1473.9518
1452.9412,1388.3323
1391.1765,1415.6206
1420.5883,1357.8435
1329.4119,1415.9828
1323.5294,1343.7438
1397.0588,1372.6407
1473.5293,1430.5905
1500.0,1483.8403
1467.6471,1490.1588
1505.8823,1441.0065
1420.5883,1484.1725
1350.0,1373.7411
1244.1177,1295.7826
1726.4706,1209.6682
1489.7059,1699.7493
1252.9412,1457.7721
1191.1764,1246.47
1217.6471,1195.59
1279.4119,1221.6206
1297.0588,1317.1178
1367.6471,1356.094
1441.1765,1425.5957
1476.4706,1434.1036
1502.9412,1449.2191
1420.5883,1480.0665
1344.1177,1398.0681
1388.2352,1328.2035
1341.1765,1364.1698
1358.8235,1354.6915
1432.3529,1412.133
1541.1765,1480.3623
1517.6471,1555.3832
1544.1177,1493.7622
1485.2941,1535.6588
1517.6471,1454.3716
1455.8823,1466.9001
1308.8235,1434.8309
1291.1765,1341.2085
1258.8235,1259.3812
1326.4706,1189.7574
1258.8235,1292.6792
1323.5294,1256.5955
1250.0,1342.2661
1355.8823,1265.126
1376.4707,1389.4712
1497.0587,1430.536
1455.8823,1506.1852
1435.2941,1443.6476
1426.4707,1408.5715
1405.8823,1400.706
1282.3529,1396.083
1282.3529,1269.2183
1326.4706,1288.683
1402.9412,1372.4193
1511.7648,1464.3047
1517.6471,1521.2886
1532.3529,1500.4368
1538.2354,1503.2665
1473.5293,1494.899
1405.8823,1432.4283
1285.2941,1359.2766
1211.7646,1288.7043
1205.8824,1189.9362
1247.0588,1189.357
1223.5294,1237.3915
1264.7058,1234.1853
1229.4117,1262.4822
1308.8235,1244.9264
1300.0,1362.0288
1435.2941,1344.282
1497.0587,1441.6903
1520.5881,1476.536
1485.2941,1502.4685
1429.4117,1431.3634
1382.3529,1380.935
1347.0588,1383.9126
1314.7058,1363.1411
1405.8823,1374.2705
1502.9412,1445.1178
1541.1765,1520.0405
1538.2354,1535.2605
1479.4117,1506.425
1523.5294,1449.3197
1385.2941,1450.587
1444.1177,1316.6681
1376.4707,1435.9937
1308.8235,1355.797
1329.4119,1286.8623
1367.6471,1309.9667
1323.5294,1373.3417
1305.8824,1320.8544
1355.8823,1324.3167
1541.1765,1393.1237
1591.1765,1585.9225
1608.8236,1604.7563
1505.8823,1599.7899
1447.0588,1474.467
1420.5883,1401.9484
1402.9412,1383.9668
1408.8235,1381.9062
1402.9412,1419.249
1529.4117,1444.7069
1617.647,1569.4994
1597.0588,1624.1794
1652.9412,1589.2312
1541.1765,1624.3108
1514.7059,1503.3641
1505.8823,1464.7635
1417.6471,1465.6532
1423.5294,1394.7335
1417.6471,1399.5604
1470.5883,1402.1006
1429.4117,1458.9375
1332.3529,1418.1755
1326.4706,1332.2317
1405.8823,1362.2886
1476.4706,1459.3892
1550.0,1522.3582
1558.8235,1555.0103
1367.6471,1524.674
1279.4119,1331.3633
1276.4706,1250.5651
1350.0,1255.5272
1326.4706,1339.0394
1311.7646,1349.438
1473.5293,1379.8717
1508.8235,1529.3563
1582.3529,1515.6439
1541.1765,1580.2954
1511.7648,1519.9009
1476.4706,1471.7384
1452.9412,1412.5177
1447.0588,1406.3071
1473.5293,1436.7632
1488.2354,1462.5878
1502.9412,1464.4857
1494.1177,1471.5651
1494.1177,1460.4025
1520.5881,1482.9436
1561.7648,1551.3412
1552.9412,1603.62
1558.8235,1584.6138
1547.0587,1544.9778
1558.8235,1484.9971
1482.3529,1500.4631
1423.5294,1442.0187
1447.0588,1404.3118
1429.4117,1424.9926
1464.7059,1433.3397
1535.2941,1524.8239
1566.6667,1587.9694
1598.0392,1591.4703
1629.4117,1585.0884
1626.4706,1604.9199
1585.2942,1585.1012
1564.7059,1523.4349
1511.7648,1540.5872
1547.0587,1514.1632
1488.2354,1547.359
1491.1765,1474.6884
1414.7059,1462.4329
1502.9412,1393.2351
1520.5881,1499.7122
1552.9412,1548.3846
1564.7059,1577.5603
1652.9412,1589.4998
1629.4117,1652.5505
1582.3529,1588.9243
1470.5883,1538.8457
1414.7059,1432.3295
1400.0,1398.2982
1379.4117,1379.1951
1464.7059,1390.3285
1573.5294,1532.9235
1632.3529,1624.979
1720.5883,1652.1254
1714.7058,1704.6492
1664.7059,1679.6045
1652.9412,1623.5255
1658.8236,1620.0183
1570.5881,1621.9928
1664.7059,1533.183
1467.6471,1628.5807
1450.0001,1452.4669
1508.8235,1447.5659
1558.8235,1496.464
1570.5881,1558.0356
1617.647,1586.9188
1655.8823,1640.053
1579.4117,1686.7213
1644.1176,1566.3647
1552.9412,1601.4099
