test_y,predicted_values
1355.8823,1409.5647
1364.7059,1410.8549
1382.3529,1401.488
1385.2941,1400.3829
1435.2941,1387.1112
1379.4117,1403.652
1364.7059,1347.2152
1402.9412,1331.7107
1326.4706,1387.1436
1382.3529,1329.2051
1411.7646,1436.006
1470.5883,1461.3225
1454.4117,1498.1074
1438.2354,1454.8303
1461.7646,1435.256
1420.5883,1441.8544
1467.6471,1386.7971
1473.5293,1419.4971
1388.2352,1431.87
1341.1765,1353.6345
1400.0,1324.5687
1332.3529,1393.8771
1364.7059,1327.6041
1335.2941,1373.3634
1408.8235,1363.6263
1438.2354,1432.8933
1452.9412,1453.8854
1438.2354,1472.0818
1367.6471,1427.2927
1391.1765,1347.5947
1311.7646,1373.3224
1291.1765,1292.2667
1311.7646,1285.7074
1320.5883,1334.8279
1444.1177,1360.8531
1464.7059,1478.0162
1526.4706,1472.4794
1482.3529,1520.5833
1502.9412,1465.8882
1473.5293,1480.9403
1455.8823,1459.3191
1402.9412,1428.2589
1447.0588,1366.2307
1458.8235,1419.0774
1314.7058,1445.8026
1347.0588,1311.173
1297.0588,1338.896
1300.0,1295.4979
1350.0,1330.8085
1400.0,1388.2147
1426.4707,1411.0345
1382.3529,1437.5966
1361.7646,1355.5887
1305.8824,1348.4171
1314.7058,1278.9586
1294.1177,1296.1436
1308.8235,1296.2546
1285.2941,1330.9692
1341.1765,1337.59
1432.3529,1395.3186
1417.6471,1454.9882
1411.7646,1422.4349
1317.6471,1408.8513
1341.1765,1304.2719
1264.7058,1316.624
1276.4706,1231.9862
1208.8236,1257.853
1191.1764,1184.6322
1238.2352,1169.5645
1261.7646,1226.0594
1270.5883,1260.8763
1241.1764,1279.8876
1264.7058,1281.1406
1320.5883,1315.6938
1402.9412,1351.2275
1373.5294,1399.5415
1400.0,1355.4294
1347.0588,1367.7306
1291.1765,1311.2505
1297.0588,1273.8734
1273.5294,1290.8202
1267.6471,1286.3185
1352.9413,1327.9142
1388.2352,1391.2056
1432.3529,1395.8529
1414.7059,1410.6589
1405.8823,1393.4995
1376.4707,1373.5656
1379.4117,1339.8851
1300.0,1343.4135
1238.2352,1278.2194
1276.4706,1220.839
1294.1177,1283.5939
1226.4706,1300.3239
1276.4706,1226.0103
1214.7058,1283.4241
1270.5883,1252.8844
1355.8823,1309.2026
1476.4706,1389.539
1488.2354,1486.6997
1417.6471,1471.861
1452.9412,1382.345
1391.1765,1419.08
1420.5883,1356.8177
1329.4119,1413.8605
1323.5294,1349.3007
1397.0588,1372.5662
1473.5293,1433.8141
1500.0,1489.4932
1467.6471,1496.0308
1505.8823,1448.9508
1420.5883,1484.042
1350.0,1373.6127
1244.1177,1310.8872
1726.4706,1202.0676
1489.7059,1704.4386
1252.9412,1452.0507
1191.1764,1241.7953
1217.6471,1197.6987
1279.4119,1229.6389
1297.0588,1323.1984
1367.6471,1359.94
1441.1765,1428.9878
1476.4706,1438.7842
1502.9412,1455.7518
1420.5883,1476.9204
1344.1177,1394.4172
1388.2352,1331.6658
1341.1765,1366.8569
1358.8235,1340.3707
1432.3529,1421.6957
1541.1765,1488.6138
1517.6471,1548.2024
1544.1177,1507.0117
1485.2941,1535.8937
1517.6471,1462.4116
1455.8823,1473.5519
1308.8235,1432.3958
1291.1765,1341.0448
1258.8235,1258.3616
1326.4706,1186.6146
1258.8235,1288.8351
1323.5294,1255.9325
1250.0,1340.0636
1355.8823,1273.6448
1376.4707,1401.3423
1497.0587,1427.8345
1455.8823,1516.8938
1435.2941,1451.8389
1426.4707,1405.5079
1405.8823,1399.3256
1282.3529,1399.4233
1282.3529,1266.0244
1326.4706,1294.1313
1402.9412,1378.1448
1511.7648,1454.8071
1517.6471,1525.6993
1532.3529,1498.1823
1538.2354,1525.2864
1473.5293,1507.5741
1405.8823,1435.0477
1285.2941,1359.5426
1211.7646,1282.0328
1205.8824,1192.8232
1247.0588,1193.4342
1223.5294,1225.588
1264.7058,1228.4095
1229.4117,1272.1257
1308.8235,1261.241
1300.0,1361.4092
1435.2941,1351.5101
1497.0587,1455.9446
1520.5881,1470.8241
1485.2941,1501.1721
1429.4117,1439.4429
1382.3529,1386.6825
1347.0588,1373.2029
1314.7058,1375.4708
1405.8823,1370.8483
1502.9412,1460.75
1541.1765,1527.1611
1538.2354,1535.456
1479.4117,1516.9723
1523.5294,1441.8369
1385.2941,1473.1847
1444.1177,1322.5326
1376.4707,1437.6066
1308.8235,1355.3145
1329.4119,1272.4165
1367.6471,1324.9935
1323.5294,1364.6965
1305.8824,1322.603
1355.8823,1333.793
1541.1765,1404.769
1591.1765,1597.6411
1608.8236,1607.0499
1505.8823,1601.931
1447.0588,1477.2502
1420.5883,1396.3315
1402.9412,1394.0107
1408.8235,1376.6527
1402.9412,1415.1661
1529.4117,1449.2855
1617.647,1590.9348
1597.0588,1620.2201
1652.9412,1598.8092
1541.1765,1629.7148
1514.7059,1515.4438
1505.8823,1461.6407
1417.6471,1472.7811
1423.5294,1402.1329
1417.6471,1389.6825
1470.5883,1404.1047
1429.4117,1450.0493
1332.3529,1423.5887
1326.4706,1329.7284
1405.8823,1374.091
1476.4706,1465.4409
1550.0,1537.8733
1558.8235,1558.943
1367.6471,1536.1809
1279.4119,1329.8564
1276.4706,1241.9291
1350.0,1253.9868
1326.4706,1350.111
1311.7646,1349.4614
1473.5293,1377.058
1508.8235,1534.9064
1582.3529,1524.2529
1541.1765,1598.7919
1511.7648,1519.5945
1476.4706,1483.6011
1452.9412,1420.1777
1447.0588,1406.056
1473.5293,1435.4448
1488.2354,1462.9567
1502.9412,1459.6508
1494.1177,1464.8866
1494.1177,1476.2544
1520.5881,1488.2512
1561.7648,1552.1091
1552.9412,1612.0187
1558.8235,1597.8622
1547.0587,1556.3639
1558.8235,1490.2161
1482.3529,1490.3618
1423.5294,1456.6128
1447.0588,1408.3243
1429.4117,1427.1666
1464.7059,1433.9672
1535.2941,1529.8317
1566.6667,1604.9742
