test_y,predicted_values
32278.41,31581.559
31515.178,30292.86
28459.686,29607.97
26636.021,26608.393
23556.797,24699.514
22724.402,21652.29
20749.191,21424.607
19614.824,20027.715
18633.03,19283.17
18054.79,18573.322
18234.438,18615.314
19144.473,19451.672
20638.275,20559.023
21522.29,22029.22
23937.71,23188.42
27107.713,26059.855
29529.58,29173.934
31664.332,31317.791
32711.303,33383.44
33732.996,34276.22
34833.91,34665.574
35950.703,34883.266
35888.91,35669.496
34945.11,35151.98
32664.049,33506.45
31228.98,30838.902
29284.367,29228.727
27264.543,27163.01
25098.943,25081.695
22864.895,23259.717
21756.762,21377.752
20469.508,20673.023
19756.936,19814.734
19051.162,19398.139
19375.352,19365.514
20227.643,20356.191
21456.973,21478.041
21574.4,22972.895
22661.41,23642.395
25574.438,25199.021
28928.416,27799.016
29808.7,30815.867
31530.953,31343.502
32855.918,32892.965
32723.627,33872.734
32907.254,33143.71
33439.93,32892.473
32386.303,32766.885
29756.691,31031.166
27970.143,28129.248
26509.508,26289.01
25129.543,24870.883
23070.81,23286.232
22076.268,21407.318
20454.578,20762.54
19223.84,19525.908
18935.88,18532.48
18400.105,18488.287
18668.24,18621.15
18780.846,19451.154
20530.0,19781.645
22161.129,21480.686
21904.86,23681.275
23124.19,24191.277
24678.7,25450.697
27303.875,26414.549
29207.783,28850.219
28792.219,30547.12
29972.113,29594.03
29647.553,30390.588
29322.992,29695.57
28998.434,28836.553
28673.875,27639.984
26679.93,27158.896
25420.988,25042.639
24006.69,23858.53
22398.662,22424.168
20883.875,21146.484
19923.275,19702.223
19118.908,19004.059
17874.578,18521.537
17342.395,17557.15
17983.205,17513.154
19462.254,18712.445
19301.867,20552.758
20618.592,20153.197
23199.12,21853.61
25686.621,24972.297
27243.943,27670.527
29402.184,28946.945
30547.607,30795.652
31658.17,31528.746
32144.861,32297.71
32550.67,32352.824
32524.72,32447.668
31828.062,31886.688
30289.473,30461.799
27572.994,28610.053
26353.734,25872.363
25079.05,24681.47
23639.33,23322.273
22164.402,22085.547
21255.6,20910.9
20664.297,20169.074
20123.064,19833.34
19363.662,19632.127
19947.254,19700.365
21831.727,20797.309
22786.762,22761.754
23363.135,23951.422
25805.389,24925.855
28676.516,27969.234
30542.643,30624.312
32568.379,32227.547
34072.29,33930.188
35836.445,35128.973
36563.207,36375.79
37567.36,36516.895
37173.207,37293.426
36779.05,36203.027
34755.637,35099.645
32546.902,32634.615
31059.084,30572.23
27791.338,29243.344
25586.092,25949.25
23249.965,23866.092
21858.38,21971.295
20731.797,20974.344
20103.488,20039.78
19525.178,19742.469
19933.31,19970.1
21484.367,20921.752
23554.402,22540.668
24418.275,24661.738
25957.57,25980.887
29042.643,28072.648
32533.418,30997.998
34709.086,34298.55
35958.1,36309.387
37103.273,37330.45
39256.516,37934.594
39169.613,39483.98
39428.17,38793.934
38696.76,38456.168
35575.387,37060.277
32995.6,33453.324
30222.078,30861.91
28035.354,27995.402
26391.373,25949.586
25586.338,24456.527
22777.924,23849.61
21774.648,21645.105
20648.734,20959.12
20139.295,20225.332
20369.93,20519.3
21356.34,21544.125
23359.932,22690.18
23725.986,24605.623
26195.775,25475.527
28667.818,28564.838
31635.951,31066.188
33951.094,33684.06
35844.86,35454.457
37594.65,37101.89
38997.89,38429.484
39337.324,39350.08
39350.355,39169.188
37485.918,38374.977
35555.457,35634.125
33035.883,33311.54
31397.078,30828.133
29089.156,29237.537
26799.824,27193.805
24787.254,24992.871
22772.746,23072.16
21538.346,21440.242
20353.908,20638.883
19737.078,19892.691
20005.281,19988.803
21972.184,20894.621
23625.951,23084.81
23311.514,24831.465
24373.451,25035.12
28490.6,26879.984
32611.023,30995.23
34368.49,34675.383
35154.613,36178.793
36464.367,36526.77
37295.25,37341.53
38334.156,37595.883
38159.93,38198.133
38110.496,37174.34
35677.71,36330.87
33321.62,33395.543
31100.035,31208.379
28479.191,29042.506
25797.889,26485.316
23387.502,24029.547
22671.725,21779.314
21313.31,21437.553
20659.613,20399.303
19979.72,20162.166
20045.562,20279.607
21044.121,21082.291
22079.156,22274.355
22703.346,23078.795
24855.6,24365.455
27542.572,27436.895
30168.451,30049.686
32298.627,32167.738
33808.7,33721.043
34799.79,35051.258
35692.36,35707.633
36350.35,36172.902
36230.105,36337.113
35203.027,35541.426
32993.418,33612.285
29868.31,30915.08
27487.816,27900.332
25506.094,25495.732
23675.107,23562.602
21569.016,21992.24
20353.275,20181.191
19790.387,19349.291
19214.648,18940.156
18277.5,18767.71
17816.797,18641.91
18772.254,18849.37
19402.5,19991.344
20744.014,20433.3
22974.965,22632.025
25610.037,25385.512
27436.797,28141.354
