test_y,predicted_values
20357.1,20622.525
19521.75,19773.555
18563.45,19267.768
18368.6,18872.17
21209.781,19219.94
20292.85,21296.664
19414.398,19650.354
18557.8,19023.371
18152.38,18270.99
17830.166,17876.928
17507.951,17820.748
17995.549,17962.453
18752.9,18277.123
18158.59,18662.25
17564.28,18655.543
18392.03,18734.809
19313.4,19250.314
18340.898,19602.266
19133.1,18703.402
19860.068,19434.344
20600.8,19976.74
20740.8,20537.371
20362.5,20490.78
19976.63,19971.137
19145.33,19433.143
18516.078,18466.537
17654.0,18063.393
18368.469,17866.326
18957.262,19199.998
19546.057,18903.627
20134.85,18885.822
19229.85,19657.004
18616.4,18958.938
18071.451,18326.578
17876.818,17979.988
18142.5,18349.352
17669.52,18386.936
17837.41,17651.88
18005.299,18072.14
19693.28,18817.676
20858.1,20276.5
20149.719,20952.701
20278.748,20435.854
20394.568,20699.139
20616.67,20629.406
20735.38,20706.91
20494.979,20466.365
19902.049,20126.445
19301.85,19266.764
18726.918,18558.307
18032.25,18180.256
18226.42,18284.186
19572.15,18920.318
20917.879,19734.22
20459.03,20633.266
19697.95,20135.176
18931.049,19361.531
17710.72,18528.898
17866.18,17591.99
18497.78,18137.969
19071.83,18661.66
18291.773,18958.523
17511.719,18641.598
18857.2,18325.754
20029.98,19615.717
19255.22,20194.635
19596.17,19455.902
19983.38,19859.646
19528.719,20288.904
19743.35,19547.043
19324.201,19558.527
19058.53,19110.762
18092.67,18572.418
17662.08,17524.14
17345.469,17290.832
17107.35,17535.285
19826.95,17796.092
19630.67,20040.686
19162.719,19272.846
18683.52,18755.713
18201.28,18238.629
18097.8,17693.666
17966.049,17925.738
18745.365,18190.514
19524.682,18883.47
20303.998,19317.63
21083.312,20316.283
21862.629,21802.99
21037.8,22536.84
20212.97,21014.285
20877.92,20329.195
20652.049,21124.61
20820.78,20755.404
21024.25,20757.123
21058.02,20794.225
20741.5,20651.328
20413.951,20234.69
19847.33,19788.748
19029.92,19321.572
18386.13,19091.355
17844.379,19103.475
17040.379,17986.066
16450.549,16724.387
15999.2705,16065.231
15050.63,15733.453
15359.687,14852.6455
15668.743,15436.96
15977.799,16277.507
16045.5,16553.094
16359.25,16591.893
17182.72,16908.803
18339.92,18190.77
19767.42,18929.332
20743.33,19690.512
21091.95,20936.846
21477.95,21216.314
21573.82,21516.16
21559.078,21600.309
21507.55,21358.969
21215.28,21181.018
20942.5,20580.932
19726.47,20104.154
19603.15,18965.023
18735.55,19323.348
18191.9,18934.22
17434.13,17944.16
17007.4,16894.643
16594.7,16376.377
16835.416,16104.165
17076.13,16515.076
17316.848,17024.973
17557.564,17707.652
17798.28,17941.66
18442.469,18134.059
20004.77,19093.752
20921.25,21107.605
21064.129,21851.82
19702.5,21215.172
20327.049,19993.982
19613.0,20604.389
19039.031,19758.377
20745.85,19145.957
20596.33,20572.52
19968.781,20272.951
19525.85,19332.291
19166.7,18753.305
19450.2,18639.041
19448.25,19356.893
20033.14,19666.74
20618.03,19813.48
19863.45,20144.168
19506.568,19401.932
19036.43,19135.506
18734.25,18741.428
18710.42,18688.57
19114.8,18996.309
19328.879,19305.38
19250.016,19468.777
19171.15,19712.611
20532.0,19863.738
22280.35,20796.57
21364.67,21968.578
21721.4,21403.354
22004.0,21745.25
22447.219,22050.312
22328.398,22663.354
21823.83,22232.957
21248.8,21514.596
20417.08,20691.537
19935.28,19966.752
18044.951,19654.953
18504.93,18236.805
22006.38,18920.703
21101.33,22096.691
19900.1,20655.998
19720.15,19291.236
18955.92,19343.01
18679.379,18624.5
18529.0,18661.799
18834.9,18913.05
19709.668,19086.602
19056.186,19727.83
18402.7,19498.111
19793.479,19334.395
21037.15,20424.74
20425.68,21206.61
20512.299,20509.625
20980.35,20654.494
21115.75,21113.18
21262.701,21136.684
21082.168,21069.44
20810.469,20704.807
19987.58,20249.158
19415.969,19258.398
18609.38,18873.768
18961.1,18810.92
19503.266,19778.244
20045.434,19675.484
20587.6,19536.97
19793.78,20035.13
19130.9,19330.258
18867.17,18764.926
18803.88,18656.658
19401.0,19007.62
20264.58,19652.088
20096.164,20141.7
19927.746,20144.441
19759.33,20594.455
19885.215,20338.824
20011.1,19798.988
20682.549,20322.56
20944.25,20846.482
21279.42,20945.41
21411.6,21343.783
21216.398,21175.271
20706.65,20869.863
20106.299,20249.383
19393.02,19493.371
18470.57,19007.492
19277.549,18613.875
20024.79,19984.559
20772.03,20208.8
20317.201,20602.824
19454.47,19884.344
19229.15,19084.271
18887.98,19043.377
19003.7,18924.332
19221.2,19514.566
18814.65,19578.303
19002.916,18940.023
19191.184,19236.426
19379.45,19499.195
20824.1,19601.912
20157.48,20829.047
20109.75,20241.285
20317.53,20227.611
20364.75,20471.643
20196.18,20566.283
19908.75,20064.227
19483.83,19632.39
18784.03,18965.703
17956.25,18173.754
17180.451,17553.838
17233.15,17322.947
20310.97,17677.621
19528.22,20442.434
18995.9,19211.188
18736.78,18642.25
18378.68,18424.854
17896.55,18124.17
17530.1,17899.438
16815.58,17828.549
16895.0,17055.195
16980.693,17028.012
17066.387,17396.803
17152.08,17654.48
18008.13,17797.783
19004.469,18269.494
19815.92,19168.215
20176.45,20120.984
20419.129,20484.97
20225.104,20504.059
20031.076,20129.137
19837.05,19684.469
18696.18,19325.777
18231.33,18122.457
17472.6,17682.545
16841.35,17550.297
16455.129,17489.424
15751.72,16463.686
15230.15,15425.251
14241.6,14820.229
13923.42,13983.822
13807.351,13854.168
13556.38,13703.482
14126.85,13741.195
14484.579,14494.356
15109.199,14834.597
15735.75,15510.181
17664.85,16497.654
18468.57,18445.018
19874.969,18802.492
20064.8,20274.357
20466.23,20309.287
20393.068,20606.139
20234.9,20545.328
19898.35,20010.031
19304.3,19440.352
18541.95,18621.1
17425.88,17795.576
16634.75,16714.012
15391.55,16378.928
15123.569,15654.538
14556.6,14955.009
14289.25,14178.047
13910.63,13826.107
14012.31,13695.224
14113.989,13912.975
14215.67,14137.275
14317.35,14677.678
15189.92,14793.9375
15781.73,15723.792
17135.55,16488.135
18565.648,18087.992
19181.38,19480.848
18859.47,19615.3
18971.53,19186.248
18953.75,19263.785
18967.15,19105.57
18914.4,18869.38
18962.75,18570.186
18353.4,18452.547
17652.1,17556.312
16946.73,16775.75
16426.316,16199.463
15905.899,16254.189
18295.28,16274.531
17884.15,18098.082
17242.55,17451.34
17065.25,16827.867
16510.969,16760.404
16194.449,16292.867
16038.8,16089.905
16697.67,16378.873
17018.0,17119.0
16584.914,17224.824
16151.83,17094.602
17632.03,16966.732
17655.889,18285.928
17679.75,17949.965
17791.9,17961.32
18009.08,17996.807
18001.68,18240.611
17856.28,18045.305
17562.8,17702.492
17055.129,17302.861
16399.7,16614.14
15878.529,15798.452
16072.98,15464.415
16267.43,16331.938
18729.201,16894.736
18166.5,18838.643
17483.65,17801.72
16993.82,17059.39
16760.719,16724.535
16180.199,16513.326
16257.4,16070.686
16712.229,16470.594
15544.83,16914.818
15810.25,15506.585
16075.669,15975.227
18102.35,16704.078
19233.3,18496.705
18454.05,19450.32
18844.83,18688.664
19212.4,18954.068
19149.15,19341.383
19296.13,19132.08
19042.92,19076.705
18639.328,18695.566
17930.22,18042.61
17376.4,17312.709
17101.328,17043.094
16889.88,17333.418
19110.13,17590.5
18562.2,19211.33
17863.03,18022.4
17275.719,17434.297
17204.22,16918.465
16832.5,16909.15
16984.33,16698.36
17361.7,17159.906
17365.03,17412.084
17603.229,17384.729
17841.43,17988.025
18079.629,18686.55
18629.588,18801.11
19179.549,18844.043
18945.42,19379.293
18777.5,19052.479
19036.469,18830.385
19210.6,18926.652
19077.25,18981.627
18342.469,18625.111
18105.65,17780.287
17880.969,17508.918
17186.6,17526.531
17663.85,17440.303
18344.676,18549.053
19025.498,18337.838
18586.7,18724.123
18001.55,18175.617
17500.3,17749.217
16739.6,17285.918
17199.6,16591.404
17848.549,17324.984
18523.398,17941.984
18351.6,18528.285
18179.8,18482.697
18008.0,18725.04
19219.6,18566.324
19247.879,19427.434
19827.52,19434.803
20040.0,19843.104
20207.68,20058.084
20048.92,20216.367
19811.7,19712.87
19312.45,19477.047
18594.701,18782.314
17902.92,18149.373
18673.996,17538.137
19445.072,18753.484
20216.15,19831.479
19689.95,20259.879
19205.25,19214.664
18746.32,18755.387
18479.85,18304.777
18421.129,18133.166
18361.4,18341.455
18779.28,18567.295
19066.248,18938.156
19009.969,19058.275
18472.44,19179.916
17934.91,18996.234
17397.38,18568.031
18016.031,17757.262
18322.17,18386.271
18393.65,18641.064
18721.049,18590.697
18663.629,18705.07
18452.4,18465.734
20057.049,18134.322
21557.55,19601.291
21313.35,21094.387
21069.148,21077.4
20824.95,21087.34
20580.75,21135.094
19661.2,20366.617
18963.25,19083.195
18387.78,18456.762
17683.67,17959.477
17687.062,17223.66
17690.455,17512.338
17693.848,17838.82
17697.242,17818.871
17700.633,17732.988
17704.027,17859.453
17707.42,18013.793
18684.22,18188.76
19424.33,18888.977
20394.48,19733.842
20209.6,20612.361
20413.67,20378.783
20436.3,20496.186
20096.129,20523.479
19961.65,20216.902
19475.5,20094.64
18433.201,19184.324
17539.53,18132.947
16824.95,17524.62
16511.85,17071.277
15775.05,16263.795
15793.9,15161.342
15404.449,15378.536
15603.505,15081.197
15802.56,15345.165
16001.614,15862.444
16200.67,16432.656
17304.5,16422.605
17414.45,17570.037
17747.58,17634.916
18667.7,18197.705
18834.865,19135.473
19002.03,19155.213
18880.629,19238.389
19136.92,18993.416
19211.4,19166.854
19142.969,19108.74
18842.6,18826.596
18455.9,18514.107
17767.469,17979.795
17141.53,17184.248
16478.049,16733.576
16569.5,16518.736
19039.102,16868.256
18611.328,18743.521
18187.83,18233.652
17696.65,17788.264
17393.898,17513.055
17078.17,17310.994
17021.72,17182.387
17645.1,17384.576
17738.72,17876.014
17311.549,17779.99
16884.38,17532.895
18488.799,17272.883
19103.879,18915.346
18471.398,19274.943
18878.129,18678.936
19074.03,18968.822
19007.629,19126.994
19017.52,19015.14
19011.549,18786.457
18480.719,18762.95
17782.42,18117.928
17118.03,17318.232
17145.314,16850.496
17172.6,17521.555
19366.8,17812.678
19000.219,19269.338
18346.08,18458.73
18116.879,17925.242
17626.281,17795.078
17262.65,17371.63
17100.35,17277.932
17530.67,17348.139
18302.95,17734.135
17929.25,18163.887
17555.549,17898.635
18819.3,18016.422
19721.75,19166.996
18920.95,19899.64
