test_y,predicted_values
19301.85,19253.768
18726.918,18583.043
18032.25,18051.918
18226.42,18497.2
19572.15,19326.684
20917.879,19563.102
20459.03,19627.45
19697.95,19142.945
18931.049,18750.785
17710.72,18356.191
17866.18,18164.225
18497.78,18276.771
19071.83,18183.826
18291.773,18283.764
17511.719,18616.844
18857.2,19726.314
20029.98,20740.105
19255.22,20811.953
19596.17,20874.459
19983.38,20940.65
19528.719,20969.527
19743.35,20829.377
19324.201,20629.016
19058.53,20294.645
18092.67,19780.775
17662.08,19117.676
17345.469,18437.172
17107.35,18588.092
19826.95,19622.795
19630.67,20007.287
19162.719,19697.238
18683.52,19168.42
18201.28,18551.197
18097.8,17903.262
17966.049,17679.115
18745.365,17999.455
19524.682,18284.693
20303.998,17979.604
21083.312,17797.475
21862.629,18611.46
21037.8,19652.777
20212.97,19462.732
20877.92,19703.25
20652.049,19933.617
20820.78,19888.496
21024.25,19861.877
21058.02,19559.072
20741.5,19343.717
20413.951,18669.803
19847.33,18350.953
19029.92,18154.031
18386.13,18192.895
17844.379,19225.58
17040.379,19228.785
16450.549,18979.793
15999.2705,18574.324
15050.63,18300.025
15359.687,18223.127
15668.743,18187.682
15977.799,18768.219
16045.5,19469.488
16359.25,19975.32
17182.72,20612.23
18339.92,21197.72
19767.42,21117.713
20743.33,20691.89
21091.95,20764.06
21477.95,20710.715
21573.82,20628.172
21559.078,20703.385
21507.55,20643.66
21215.28,20322.535
20942.5,19707.324
19726.47,19062.31
19603.15,18343.176
18735.55,17976.912
18191.9,18059.447
17434.13,17680.875
17007.4,17209.295
16594.7,16763.959
16835.416,16234.973
17076.13,16163.574
17316.848,16290.228
17557.564,16557.89
17798.28,16762.877
18442.469,16950.176
20004.77,17631.021
20921.25,18639.34
21064.129,19878.654
19702.5,20489.877
20327.049,20805.99
19613.0,21094.195
19039.031,21223.79
20745.85,21232.803
20596.33,21064.133
19968.781,20830.162
19525.85,20371.742
19166.7,19660.832
19450.2,19325.86
19448.25,18974.076
20033.14,18952.281
20618.03,18286.299
19863.45,17899.88
19506.568,17434.13
19036.43,17278.258
18734.25,17483.033
18710.42,17534.752
19114.8,17796.818
19328.879,18159.23
19250.016,18591.342
19171.15,19449.094
20532.0,20272.688
22280.35,20653.922
21364.67,20161.664
21721.4,20297.475
22004.0,20089.004
22447.219,19884.844
22328.398,20461.678
21823.83,20470.21
21248.8,20152.568
20417.08,19621.834
19935.28,19230.451
18044.951,19125.543
18504.93,19251.736
22006.38,20134.771
21101.33,20308.43
19900.1,19987.938
19720.15,19690.082
18955.92,19374.06
18679.379,19101.055
18529.0,18993.91
18834.9,19220.158
19709.668,19416.66
19056.186,19512.307
18402.7,19487.857
19793.479,20526.908
21037.15,21872.277
20425.68,21666.031
20512.299,21782.287
20980.35,21979.863
21115.75,22155.535
21262.701,22075.172
21082.168,21664.355
20810.469,21221.992
19987.58,20568.406
19415.969,19812.023
18609.38,18818.271
18961.1,19072.57
19503.266,20605.77
20045.434,20446.861
20587.6,19803.02
19793.78,19342.639
19130.9,18849.98
18867.17,18549.975
18803.88,18312.766
19401.0,18686.258
20264.58,19031.75
20096.164,18781.791
19927.746,18804.875
19759.33,19602.861
