test_y,predicted_values
33496.797,35510.164
30831.232,33089.047
28795.705,30997.408
26839.72,28844.033
24589.508,26936.088
22605.424,25436.994
20787.361,24260.793
19522.219,23190.852
19156.303,22838.404
19125.457,22423.773
19608.275,22792.904
20945.178,23786.432
22463.346,24971.49
23000.248,25812.627
23017.816,27641.686
24302.008,30041.574
25710.635,32146.03
27176.902,33891.848
30389.26,34769.887
32643.24,35530.746
35331.34,35876.48
34568.105,35895.598
33804.87,35781.918
33041.64,34955.68
32278.41,33254.848
31515.178,30773.025
28459.686,28570.234
26636.021,26589.852
23556.797,24542.893
22724.402,22725.992
20749.191,21471.87
19614.824,20728.662
18633.03,20539.186
18054.79,20533.277
18234.438,20998.055
19144.473,22206.906
20638.275,23590.316
21522.29,24562.148
23937.71,25230.07
27107.713,26651.156
29529.58,28047.705
31664.332,29670.688
32711.303,31663.371
33732.996,33284.74
34833.91,34574.516
35950.703,34160.38
35888.91,33558.25
34945.11,32664.436
32664.049,31500.607
31228.98,30028.787
29284.367,28033.836
27264.543,26549.516
25098.943,24312.74
22864.895,23144.77
21756.762,21440.766
20469.508,20538.738
19756.936,19798.973
19051.162,19641.494
19375.352,19958.176
20227.643,20809.168
21456.973,22035.357
21574.4,23225.244
22661.41,25539.922
25574.438,28081.701
28928.416,30280.068
29808.7,31947.574
31530.953,33150.582
32855.918,34123.438
32723.627,34853.367
32907.254,35292.004
33439.93,35138.63
32386.303,34327.9
29756.691,32603.648
27970.143,30736.066
26509.508,28782.885
25129.543,26962.6
23070.81,25179.44
22076.268,23220.482
20454.578,22051.28
19223.84,21059.783
18935.88,20414.014
18400.105,19848.283
18668.24,20178.494
18780.846,20816.984
20530.0,21682.795
22161.129,22268.258
21904.86,23595.152
23124.19,25930.072
24678.7,28283.137
27303.875,29745.395
29207.783,31124.326
28792.219,32296.818
29972.113,32662.486
29647.553,32620.482
29322.992,32585.463
28998.434,31672.277
28673.875,29860.63
26679.93,28184.47
25420.988,26394.48
24006.69,24851.182
22398.662,22931.78
20883.875,21954.12
19923.275,20629.63
19118.908,19448.361
17874.578,19050.674
17342.395,18700.305
17983.205,18901.607
19462.254,19424.95
19301.867,20886.102
20618.592,21993.074
23199.12,22724.953
25686.621,24122.057
27243.943,25736.562
29402.184,27661.447
30547.607,29100.414
31658.17,29633.486
32144.861,30356.666
32550.67,30202.957
32524.72,29940.387
31828.062,29476.596
30289.473,28563.094
27572.994,26839.088
26353.734,25549.188
25079.05,24268.328
23639.33,22738.494
22164.402,21401.771
21255.6,20261.633
20664.297,19626.627
20123.064,18789.717
19363.662,18528.887
19947.254,19025.38
21831.727,20157.05
22786.762,20649.697
23363.135,21746.504
25805.389,23872.629
28676.516,26277.982
30542.643,28131.719
32568.379,29918.281
34072.29,31108.508
35836.445,32090.096
36563.207,32647.547
37567.36,32887.574
37173.207,32822.785
36779.05,32133.205
34755.637,30661.672
32546.902,28422.385
31059.084,26905.498
27791.338,25505.568
25586.092,24137.785
23249.965,22791.469
21858.38,21930.252
20731.797,21352.832
20103.488,21032.18
19525.178,20832.537
19933.31,21353.266
21484.367,22754.725
23554.402,23869.082
24418.275,24854.977
25957.57,26583.354
29042.643,28651.723
32533.418,30412.256
34709.086,32117.3
35958.1,33685.44
37103.273,35065.43
39256.516,35835.285
39169.613,36206.344
39428.17,35914.914
38696.76,35274.98
35575.387,33764.223
32995.6,31855.92
30222.078,29993.586
28035.354,27700.37
26391.373,25824.787
25586.338,24035.535
22777.924,22661.635
21774.648,21547.547
20648.734,21230.238
20139.295,20930.625
20369.93,21462.9
21356.34,22617.357
23359.932,24019.592
23725.986,25156.9
26195.775,26642.365
28667.818,29141.434
31635.951,31770.455
33951.094,33923.01
35844.86,35182.336
37594.65,36343.05
38997.89,37591.285
39337.324,37692.27
39350.355,37542.727
37485.918,36678.816
35555.457,34567.8
33035.883,32157.953
31397.078,29907.027
29089.156,28048.299
26799.824,26383.275
24787.254,25217.025
22772.746,23461.875
21538.346,22540.398
20353.908,21664.33
19737.078,21346.88
20005.281,21661.562
21972.184,22459.145
23625.951,23899.256
23311.514,24707.047
24373.451,26902.959
28490.6,29155.094
32611.023,31623.393
34368.49,33432.37
35154.613,35169.797
36464.367,36589.785
37295.25,37456.293
38334.156,37716.4
38159.93,37457.86
38110.496,36297.05
35677.71,34452.977
33321.62,32142.844
31100.035,30213.094
28479.191,28422.367
25797.889,26688.598
23387.502,24901.072
22671.725,23167.447
21313.31,21971.158
20659.613,21149.82
19979.72,20920.73
20045.562,21224.84
21044.121,22668.21
22079.156,23906.047
22703.346,24511.344
24855.6,25742.348
27542.572,28550.002
30168.451,31421.162
32298.627,33176.598
33808.7,34461.234
34799.79,35516.816
35692.36,36235.062
36350.35,36615.625
36230.105,36435.992
35203.027,35980.504
32993.418,34089.066
29868.31,31924.738
27487.816,29922.521
25506.094,27677.188
23675.107,25439.63
21569.016,23558.877
