test_y,predicted_values
1379.4117,1273.5842
1417.6471,1366.2845
1450.0001,1412.4753
1497.0587,1443.4045
1479.4117,1422.2881
1444.1177,1382.0154
1455.8823,1357.5372
1352.9413,1317.346
1364.7059,1332.1283
1329.4119,1336.337
1464.7059,1422.5002
1508.8235,1455.5677
1523.5294,1464.2738
1479.4117,1451.2875
1570.5881,1431.8436
1520.5881,1377.9388
1488.2354,1345.0973
1414.7059,1287.809
1308.8235,1279.553
1238.2352,1251.4315
1167.647,1279.8389
1205.8824,1306.6843
1229.4117,1315.2609
1220.5883,1322.0226
1350.0,1378.0466
1464.7059,1408.7131
1505.8823,1449.837
1523.5294,1488.6444
1482.3529,1476.9104
1450.0001,1450.2333
1373.5294,1427.3744
1341.1765,1372.7446
1320.5883,1362.0304
1305.8824,1359.491
1420.5883,1428.133
1458.8235,1461.9813
1511.7648,1494.1891
1529.4117,1492.9175
1488.2354,1520.8798
1497.0587,1488.8737
1473.5293,1442.7722
1364.7059,1383.471
1385.2941,1299.9858
1338.2352,1252.5085
1311.7646,1202.7554
1332.3529,1221.3737
1338.2352,1239.0104
1361.7646,1264.9116
1355.8823,1341.7538
1364.7059,1432.3289
1382.3529,1459.0712
1385.2941,1481.5183
1435.2941,1469.7461
1379.4117,1423.5587
1364.7059,1383.038
1402.9412,1354.7875
1326.4706,1345.8867
1382.3529,1350.3383
1411.7646,1415.2891
1470.5883,1462.3593
1454.4117,1495.0261
1438.2354,1493.4344
1461.7646,1469.4076
1420.5883,1455.5549
1467.6471,1433.8086
1473.5293,1363.3097
1388.2352,1347.5808
1341.1765,1328.0575
1400.0,1304.6392
1332.3529,1319.9996
1364.7059,1325.7661
1335.2941,1347.104
1408.8235,1353.8099
1438.2354,1370.0049
1452.9412,1390.8865
1438.2354,1398.0527
1367.6471,1422.5907
1391.1765,1397.7346
1311.7646,1376.5693
1291.1765,1373.365
1311.7646,1359.2029
1320.5883,1378.2098
1444.1177,1415.7606
1464.7059,1449.7123
1526.4706,1455.3193
1482.3529,1451.8717
1502.9412,1458.2935
1473.5293,1424.5295
1455.8823,1422.5845
1402.9412,1409.1204
1447.0588,1360.176
1458.8235,1312.9438
1314.7058,1335.8003
1347.0588,1311.3623
1297.0588,1333.4814
1300.0,1330.9229
1350.0,1393.4917
1400.0,1418.4558
1426.4707,1436.1069
1382.3529,1439.6195
1361.7646,1399.7653
1305.8824,1385.774
1314.7058,1346.2092
1294.1177,1333.1005
1308.8235,1317.127
1285.2941,1346.5731
1341.1765,1410.385
1432.3529,1444.8102
1417.6471,1491.046
1411.7646,1479.8618
1317.6471,1485.4059
1341.1765,1456.1523
1264.7058,1433.008
1276.4706,1384.6587
1208.8236,1387.3324
1191.1764,1379.0779
1238.2352,1305.4651
1261.7646,1306.2621
1270.5883,1281.2509
1241.1764,1304.4076
1264.7058,1326.7302
1320.5883,1383.0619
1402.9412,1391.2765
1373.5294,1382.8344
1400.0,1356.775
1347.0588,1318.5217
1291.1765,1293.5985
1297.0588,1264.5752
1273.5294,1286.2947
1267.6471,1286.5002
1352.9413,1338.3086
1388.2352,1387.1744
1432.3529,1389.6735
1414.7059,1387.3917
1405.8823,1343.5272
1376.4707,1332.0726
1379.4117,1285.5503
1300.0,1264.4784
1238.2352,1217.93
1276.4706,1205.5901
1294.1177,1225.5684
1226.4706,1240.0295
1276.4706,1261.4889
1214.7058,1252.8109
1270.5883,1291.3491
1355.8823,1327.7169
1476.4706,1386.928
1488.2354,1382.5641
1417.6471,1396.8962
1452.9412,1352.632
1391.1765,1311.3027
1420.5883,1298.9039
1329.4119,1287.7114
1323.5294,1284.8997
1397.0588,1351.6477
1473.5293,1383.5232
1500.0,1419.2739
1467.6471,1420.2479
1505.8823,1432.1606
1420.5883,1403.0203
1350.0,1379.6907
1244.1177,1331.2781
1726.4706,1286.8925
1489.7059,1287.1433
1252.9412,1271.8492
1191.1764,1247.9497
1217.6471,1269.6626
1279.4119,1270.0942
1297.0588,1321.8483
1367.6471,1383.9128
1441.1765,1463.0667
1476.4706,1473.9431
1502.9412,1432.5153
1420.5883,1420.9106
1344.1177,1443.6577
1388.2352,1410.9631
1341.1765,1338.1886
1358.8235,1337.5935
1432.3529,1400.7916
1541.1765,1466.9944
1517.6471,1494.9163
1544.1177,1475.0883
1485.2941,1487.6018
1517.6471,1440.8298
1455.8823,1409.8524
1308.8235,1342.8442
1291.1765,1518.6903
1258.8235,1422.2964
1326.4706,1301.7693
1258.8235,1251.4679
1323.5294,1269.8956
1250.0,1304.45
1355.8823,1319.2499
1376.4707,1400.7988
1497.0587,1433.5571
1455.8823,1473.7715
1435.2941,1469.4012
1426.4707,1421.7957
1405.8823,1336.6405
1282.3529,1348.522
1282.3529,1354.926
1326.4706,1366.1249
1402.9412,1427.5989
1511.7648,1483.9353
1517.6471,1500.9469
1532.3529,1508.3699
1538.2354,1490.8079
1473.5293,1476.7227
1405.8823,1427.3542
1285.2941,1347.9315
1211.7646,1316.977
1205.8824,1272.8177
1247.0588,1306.4658
1223.5294,1275.791
1264.7058,1321.9602
1229.4117,1300.009
1308.8235,1366.3501
1300.0,1390.841
1435.2941,1471.4489
1497.0587,1453.0175
1520.5881,1432.55
1485.2941,1409.9298
1429.4117,1372.5565
1382.3529,1318.4906
1347.0588,1297.7494
1314.7058,1333.2548
1405.8823,1392.2565
1502.9412,1462.3578
1541.1765,1491.0657
1538.2354,1496.233
1479.4117,1501.198
1523.5294,1459.9375
1385.2941,1411.5663
1444.1177,1327.717
1376.4707,1292.0355
1308.8235,1273.137
1329.4119,1268.1821
1367.6471,1245.1709
1323.5294,1271.9631
1305.8824,1275.1029
1355.8823,1327.1116
1541.1765,1353.3724
1591.1765,1425.7089
1608.8236,1476.6897
1505.8823,1474.3868
1447.0588,1464.4575
1420.5883,1420.8645
1402.9412,1385.0477
1408.8235,1354.528
1402.9412,1359.6028
1529.4117,1410.9316
1617.647,1484.6735
1597.0588,1514.0599
1652.9412,1538.1262
1541.1765,1506.2814
1514.7059,1504.7429
1505.8823,1411.876
1417.6471,1407.0787
1423.5294,1385.5773
1417.6471,1348.0398
1470.5883,1333.7383
1429.4117,1344.4309
1332.3529,1348.3408
1326.4706,1350.5731
1405.8823,1399.5884
1476.4706,1508.1428
1550.0,1555.3004
1558.8235,1558.0199
1367.6471,1520.9175
1279.4119,1460.5349
1276.4706,1421.3594
1350.0,1409.8715
