test_y,predicted_values
1408.8235,1381.4015
1438.2354,1434.3707
1452.9412,1460.7687
1438.2354,1470.9973
1367.6471,1426.296
1391.1765,1365.5878
1311.7646,1366.3031
1291.1765,1312.2798
1311.7646,1307.1893
1320.5883,1341.8478
1444.1177,1370.0588
1464.7059,1464.5153
1526.4706,1481.0836
1482.3529,1508.3035
1502.9412,1467.7354
1473.5293,1465.8739
1455.8823,1433.8086
1402.9412,1407.7015
1447.0588,1377.491
1458.8235,1410.5315
1314.7058,1422.4816
1347.0588,1332.6586
1297.0588,1348.8759
1300.0,1328.5453
1350.0,1340.481
1400.0,1389.299
1426.4707,1420.8235
1382.3529,1427.9282
1361.7646,1389.737
1305.8824,1347.5186
1314.7058,1301.4912
1294.1177,1305.4569
1308.8235,1306.3889
1285.2941,1333.1198
1341.1765,1340.7684
1432.3529,1380.8473
1417.6471,1437.6144
1411.7646,1425.8079
1317.6471,1409.2168
1341.1765,1324.2251
1264.7058,1319.3914
1276.4706,1266.3776
1208.8236,1264.0732
1191.1764,1230.0596
1238.2352,1213.2312
1261.7646,1239.102
1270.5883,1254.2468
1241.1764,1281.8475
1264.7058,1283.3721
1320.5883,1308.6586
1402.9412,1340.5768
1373.5294,1386.8293
1400.0,1359.8495
1347.0588,1358.8153
1291.1765,1319.6648
1297.0588,1282.4795
1273.5294,1293.6051
1267.6471,1303.648
1352.9413,1327.1595
1388.2352,1384.1411
1432.3529,1403.7247
1414.7059,1416.2119
1405.8823,1393.9565
1376.4707,1357.3981
1379.4117,1327.1519
1300.0,1322.1857
1238.2352,1285.7185
1276.4706,1249.0536
1294.1177,1269.7266
1226.4706,1283.939
1276.4706,1238.1678
1214.7058,1281.2374
1270.5883,1270.0089
1355.8823,1312.2919
1476.4706,1363.1244
1488.2354,1439.1631
1417.6471,1428.8167
1452.9412,1380.7877
1391.1765,1385.8679
1420.5883,1348.0543
1329.4119,1375.8398
1323.5294,1351.9536
1397.0588,1370.07
1473.5293,1436.205
1500.0,1504.7921
1467.6471,1511.701
1505.8823,1467.4617
1420.5883,1450.1287
1350.0,1371.0177
1244.1177,1318.5948
1726.4706,1255.885
1489.7059,1483.139
1252.9412,1435.2455
1191.1764,1289.0171
1217.6471,1233.3774
1279.4119,1261.2737
1297.0588,1333.9287
1367.6471,1360.2043
1441.1765,1387.6914
1476.4706,1420.8146
1502.9412,1443.5402
1420.5883,1442.6215
1344.1177,1378.649
1388.2352,1330.8242
1341.1765,1356.6747
1358.8235,1360.3147
1432.3529,1404.3405
1541.1765,1477.52
1517.6471,1537.5931
1544.1177,1504.3391
1485.2941,1512.4326
1517.6471,1448.4374
1455.8823,1447.9167
1308.8235,1420.7302
1291.1765,1303.4259
1258.8235,1280.5049
1326.4706,1262.0979
1258.8235,1294.4454
1323.5294,1259.8639
1250.0,1313.2013
1355.8823,1302.7174
1376.4707,1390.4171
1497.0587,1413.0675
1455.8823,1478.9479
1435.2941,1436.7108
1426.4707,1407.3519
1405.8823,1397.625
1282.3529,1376.4937
1282.3529,1304.9338
1326.4706,1316.9054
1402.9412,1370.8873
1511.7648,1447.2534
1517.6471,1517.4879
1532.3529,1501.822
1538.2354,1496.872
1473.5293,1474.6936
1405.8823,1412.5641
1285.2941,1368.5378
1211.7646,1302.2411
1205.8824,1238.3317
1247.0588,1213.2385
1223.5294,1233.1377
1264.7058,1227.3254
1229.4117,1271.5695
1308.8235,1273.5376
1300.0,1347.9949
1435.2941,1346.0139
1497.0587,1414.7169
1520.5881,1441.931
1485.2941,1450.0326
1429.4117,1421.0062
1382.3529,1392.2354
1347.0588,1359.3955
1314.7058,1371.6554
1405.8823,1379.9929
1502.9412,1455.4531
1541.1765,1537.1775
1538.2354,1538.8501
1479.4117,1511.5428
1523.5294,1442.7444
1385.2941,1435.4211
1444.1177,1357.6727
1376.4707,1390.7344
1308.8235,1354.2347
1329.4119,1311.1241
1367.6471,1312.783
1323.5294,1351.4592
1305.8824,1341.1229
1355.8823,1350.4753
1541.1765,1413.1279
1591.1765,1537.0184
1608.8236,1562.2852
1505.8823,1558.8058
1447.0588,1465.4226
1420.5883,1411.8237
1402.9412,1386.649
1408.8235,1386.8536
1402.9412,1423.0208
1529.4117,1467.7556
1617.647,1589.0052
1597.0588,1631.6812
1652.9412,1597.8429
1541.1765,1608.452
1514.7059,1498.3339
1505.8823,1458.6309
1417.6471,1449.2787
1423.5294,1407.1678
1417.6471,1402.9225
1470.5883,1400.5919
1429.4117,1419.7704
1332.3529,1421.8031
1326.4706,1376.0076
1405.8823,1402.0441
1476.4706,1474.5361
1550.0,1535.966
1558.8235,1558.1775
1367.6471,1534.3324
1279.4119,1378.4718
1276.4706,1300.7097
1350.0,1290.2303
1326.4706,1351.4218
1311.7646,1372.7655
1473.5293,1393.5173
1508.8235,1519.3452
1582.3529,1534.9655
1541.1765,1555.6116
1511.7648,1529.8348
1476.4706,1477.5522
1452.9412,1419.7888
1447.0588,1401.897
1473.5293,1410.6423
1488.2354,1446.2706
1502.9412,1446.02
1494.1177,1443.7782
1494.1177,1447.7266
1520.5881,1459.7655
1561.7648,1515.6279
1552.9412,1588.8964
1558.8235,1583.946
