test_y,predicted_values
32664.049,32566.404
31228.98,30452.904
29284.367,29036.271
27264.543,27279.658
25098.943,25482.408
22864.895,23654.236
21756.762,22068.9
20469.508,21276.76
19756.936,20682.66
19051.162,20300.217
19375.352,20205.75
20227.643,20895.475
21456.973,22019.332
21574.4,23484.422
22661.41,24196.836
25574.438,25207.312
28928.416,27637.818
29808.7,30707.787
31530.953,31501.197
32855.918,32590.822
32723.627,33164.973
32907.254,32529.143
33439.93,32252.967
32386.303,32170.92
29756.691,30939.146
27970.143,28424.81
26509.508,26503.963
25129.543,24862.814
23070.81,23347.559
22076.268,21715.125
20454.578,20881.932
19223.84,20002.375
18935.88,19099.154
18400.105,18948.762
18668.24,18952.17
18780.846,19541.602
20530.0,20086.42
22161.129,21787.621
21904.86,23853.916
23124.19,24130.688
24678.7,24685.875
27303.875,26028.896
29207.783,28216.756
28792.219,29884.984
29972.113,29408.36
29647.553,29803.459
29322.992,29313.639
28998.434,28753.434
28673.875,28058.56
26679.93,27275.516
25420.988,25298.24
24006.69,23891.53
22398.662,22668.58
20883.875,21432.51
19923.275,20277.17
19118.908,19684.92
17874.578,19297.42
17342.395,18678.826
17983.205,18433.365
19462.254,19166.818
19301.867,20588.111
20618.592,20983.13
23199.12,22513.965
25686.621,25124.102
27243.943,27621.156
29402.184,28892.59
30547.607,30414.936
31658.17,31339.057
32144.861,31797.094
32550.67,31939.115
32524.72,31963.396
31828.062,31375.17
30289.473,30105.68
27572.994,28514.604
26353.734,26180.94
25079.05,24714.8
23639.33,23550.908
22164.402,22563.729
21255.6,21516.166
20664.297,20846.906
20123.064,20608.135
19363.662,20486.592
19947.254,20481.031
21831.727,21111.598
22786.762,22717.732
23363.135,24001.451
25805.389,25095.428
28676.516,27483.611
30542.643,30350.389
32568.379,32077.44
34072.29,33578.04
35836.445,34443.418
36563.207,35456.766
37567.36,35549.94
37173.207,35795.0
36779.05,34915.836
34755.637,33792.742
32546.902,31801.95
31059.084,29691.543
27791.338,28151.662
25586.092,25809.363
23249.965,24013.787
21858.38,22357.39
20731.797,21355.857
20103.488,20699.209
19525.178,20495.79
19933.31,20575.21
21484.367,21112.234
23554.402,22397.902
24418.275,24406.598
25957.57,25913.879
29042.643,27808.47
32533.418,30597.895
34709.086,33525.914
35958.1,35268.09
37103.273,35773.38
39256.516,36242.605
39169.613,37021.48
39428.17,36900.66
38696.76,36424.48
35575.387,35369.816
32995.6,32611.46
30222.078,30086.254
28035.354,27919.76
26391.373,25882.25
25586.338,24473.48
22777.924,23729.021
21774.648,22223.617
20648.734,21614.633
20139.295,21277.055
20369.93,21517.893
21356.34,22185.848
23359.932,23167.389
23725.986,24928.953
26195.775,26040.678
28667.818,28152.332
31635.951,30510.598
33951.094,32896.12
35844.86,34486.49
37594.65,35564.16
38997.89,36473.902
39337.324,37161.605
39350.355,37175.34
37485.918,36813.05
35555.457,35030.58
33035.883,32772.055
31397.078,30429.395
29089.156,28681.86
26799.824,26726.83
24787.254,24797.303
22772.746,23173.482
21538.346,21646.322
20353.908,20905.182
19737.078,20438.268
20005.281,20483.76
21972.184,21091.283
23625.951,22761.926
23311.514,24836.53
24373.451,25712.965
28490.6,27173.848
32611.023,30610.44
34368.49,34145.742
35154.613,35453.07
36464.367,35656.05
37295.25,36157.266
38334.156,36289.66
38159.93,36594.73
38110.496,36191.15
35677.71,35453.566
33321.62,33194.664
31100.035,30899.771
28479.191,28953.959
25797.889,26775.355
23387.502,24549.994
22671.725,22639.688
21313.31,21976.135
20659.613,21138.432
19979.72,20810.557
20045.562,20868.78
21044.121,21367.186
22079.156,22387.506
22703.346,23715.764
24855.6,25045.48
27542.572,27249.953
30168.451,29589.818
32298.627,31774.314
33808.7,33347.477
34799.79,34356.42
35692.36,34798.543
36350.35,35042.953
36230.105,35281.55
35203.027,34688.016
32993.418,33295.152
29868.31,31054.162
27487.816,28363.596
25506.094,25939.584
23675.107,23948.56
21569.016,22414.523
20353.275,20836.396
19790.387,19992.256
19214.648,19591.387
18277.5,19420.607
17816.797,19236.959
18772.254,19247.477
19402.5,19996.666
20744.014,21076.977
22974.965,22922.889
25610.037,25469.322
27436.797,27901.223
28837.008,29332.97
30273.38,30257.18
31280.496,31130.434
31995.457,31604.885
31261.451,31811.016
30527.45,31020.875
29793.443,29878.09
29059.438,28490.836
27082.361,27311.346
24928.17,25566.18
23757.607,23549.494
22057.184,22236.64
20538.346,21042.266
19763.697,20005.355
18635.21,19545.871
17681.902,18806.352
17494.684,18339.586
16842.113,18630.758
18179.648,18693.553
18295.0,19751.844
18932.113,20448.936
20503.346,21730.676
23363.488,23594.787
25099.824,26041.098
26974.754,27382.828
27715.281,28518.19
28012.605,28916.66
27431.445,28813.957
26850.283,27945.752
26269.12,27004.482
25687.959,26018.988
23909.438,24784.893
21942.395,22840.621
20664.791,20921.66
19742.078,19485.307
18504.578,18645.074
17424.684,17786.262
16745.635,16980.262
16611.338,16500.508
15577.889,16433.812
15478.697,15984.739
16506.057,16294.587
17407.994,17427.96
18338.416,18491.031
18817.678,19639.406
20989.402,20843.004
23475.74,22942.824
25903.488,25232.475
27863.98,27264.277
27790.389,28788.676
28202.29,28495.83
28654.438,28402.031
28733.17,28450.16
28929.402,28375.395
27913.945,28093.037
25995.035,26725.715
