test_y,predicted_values
20357.1,20183.06
19521.75,19836.668
18563.45,19641.578
18368.6,19451.174
21209.781,19377.5
20292.85,20482.344
19414.398,20092.791
18557.8,19370.506
18152.38,18932.121
17830.166,18658.967
17507.951,18489.11
17995.549,18307.73
18752.9,18481.396
18158.59,18933.188
17564.28,18975.393
18392.03,18695.982
19313.4,19061.592
18340.898,19494.922
19133.1,18900.508
19860.068,19129.734
20600.8,19589.143
20740.8,20030.363
20362.5,20263.518
19976.63,19882.998
19145.33,19457.557
18516.078,19023.928
17654.0,18822.7
18368.469,18684.324
18957.262,19037.596
19546.057,19072.4
20134.85,19134.363
19229.85,19451.246
18616.4,19066.324
18071.451,18687.77
17876.818,18413.838
18142.5,18199.754
17669.52,18429.557
17837.41,18231.14
18005.299,18411.111
19693.28,18890.2
20858.1,19876.873
20149.719,20836.23
20278.748,20677.506
20394.568,20542.086
20616.67,20407.969
20735.38,20450.182
20494.979,20434.576
19902.049,20069.46
19301.85,19441.709
18726.918,18968.316
18032.25,18788.838
18226.42,18856.068
19572.15,19169.72
20917.879,19465.531
20459.03,20024.758
19697.95,19911.22
18931.049,19414.03
17710.72,18950.88
17866.18,18275.633
18497.78,18264.875
19071.83,18747.092
18291.773,19117.195
17511.719,19004.611
18857.2,18609.668
20029.98,19290.725
19255.22,20143.549
19596.17,19817.361
19983.38,19779.016
19528.719,19851.39
19743.35,19654.945
19324.201,19662.252
19058.53,19295.479
18092.67,18817.734
17662.08,18202.383
17345.469,17851.543
17107.35,17844.488
19826.95,17935.877
19630.67,19259.172
19162.719,19331.742
18683.52,18818.732
18201.28,18416.537
18097.8,18097.11
17966.049,17965.895
18745.365,17952.324
19524.682,18331.537
20303.998,18871.41
21083.312,19705.482
21862.629,20619.201
21037.8,21501.197
20212.97,21352.266
20877.92,20741.264
20652.049,21028.621
20820.78,20973.27
21024.25,20892.852
21058.02,20860.799
20741.5,20576.361
20413.951,20247.975
19847.33,19957.467
19029.92,19502.77
18386.13,18972.027
17844.379,18515.361
17040.379,18029.396
16450.549,17180.172
15999.2705,16269.793
15050.63,15720.766
15359.687,15298.044
15668.743,15604.367
15977.799,16150.531
16045.5,16545.566
16359.25,16739.607
17182.72,17160.576
18339.92,17991.348
19767.42,19085.525
20743.33,19958.195
21091.95,20645.65
21477.95,21022.828
21573.82,21165.81
21559.078,21322.219
21507.55,21236.035
21215.28,20946.7
20942.5,20404.42
19726.47,19864.088
19603.15,19007.672
18735.55,18957.344
18191.9,18820.768
17434.13,18413.215
17007.4,17682.455
16594.7,16978.4
16835.416,16471.135
17076.13,16685.078
17316.848,17287.367
17557.564,17939.586
17798.28,18432.953
18442.469,18729.21
20004.77,19205.748
20921.25,20411.523
21064.129,21154.207
19702.5,21159.16
20327.049,20144.814
19613.0,20278.229
19039.031,19946.455
20745.85,19555.537
20596.33,20081.021
19968.781,20015.715
19525.85,19464.744
19166.7,19099.047
19450.2,18999.504
19448.25,19534.236
20033.14,19841.312
20618.03,19891.135
19863.45,19919.867
19506.568,19355.877
19036.43,18834.787
18734.25,18707.541
18710.42,18748.238
19114.8,18904.904
19328.879,19224.047
19250.016,19420.732
19171.15,19605.256
20532.0,19866.7
22280.35,20555.764
21364.67,21466.771
21721.4,21274.508
22004.0,21344.402
22447.219,21437.715
22328.398,21725.424
21823.83,21426.494
21248.8,20824.908
20417.08,20138.453
19935.28,19642.307
18044.951,19476.875
18504.93,18791.273
22006.38,18990.95
21101.33,20777.29
19900.1,20583.271
19720.15,19571.326
18955.92,19193.469
18679.379,18920.467
18529.0,18897.986
18834.9,18959.895
19709.668,19081.205
19056.186,19695.479
18402.7,19666.814
19793.479,19322.418
21037.15,19988.64
20425.68,20778.523
20512.299,20586.814
20980.35,20326.205
21115.75,20509.527
21262.701,20771.18
21082.168,20769.656
20810.469,20383.592
19987.58,20022.91
19415.969,19520.092
18609.38,19243.59
18961.1,19162.408
19503.266,19583.377
20045.434,19866.861
20587.6,19889.705
19793.78,19989.531
19130.9,19503.535
18867.17,19016.959
18803.88,18869.56
19401.0,19001.844
20264.58,19409.633
20096.164,19937.5
19927.746,20168.875
19759.33,20402.105
19885.215,20284.38
20011.1,20123.496
20682.549,20187.182
20944.25,20472.182
21279.42,20538.887
21411.6,20782.889
21216.398,20746.64
20706.65,20528.43
20106.299,20222.383
19393.02,19739.883
18470.57,19402.44
19277.549,19090.334
20024.79,19822.969
20772.03,20078.17
20317.201,20335.014
19454.47,20061.41
19229.15,19447.578
18887.98,19303.748
19003.7,19290.955
19221.2,19479.48
18814.65,19581.842
19002.916,19216.46
19191.184,19310.498
19379.45,19644.076
20824.1,19711.117
20157.48,20331.646
20109.75,20217.74
20317.53,20049.207
20364.75,20196.844
20196.18,20340.422
19908.75,20113.951
19483.83,19731.568
18784.03,19156.965
17956.25,18548.242
17180.451,18183.887
17233.15,17809.285
20310.97,17844.127
19528.22,19468.568
18995.9,19295.441
18736.78,18821.393
18378.68,18508.361
17896.55,18321.63
17530.1,18137.322
16815.58,17966.2
16895.0,17531.445
16980.693,17408.908
17066.387,17459.363
17152.08,17567.076
18008.13,17754.936
19004.469,18383.012
19815.92,19279.602
20176.45,19892.656
20419.129,20273.633
20225.104,20514.924
20031.076,20197.963
19837.05,19506.316
18696.18,18937.33
18231.33,18140.398
17472.6,17577.799
16841.35,17220.95
16455.129,16927.111
15751.72,16431.277
15230.15,15709.146
14241.6,15247.403
13923.42,14745.67
13807.351,14664.762
13556.38,14793.465
14126.85,14948.49
14484.579,15411.763
15109.199,15683.374
15735.75,16201.276
17664.85,16963.062
18468.57,18235.373
19874.969,18990.508
20064.8,20175.93
20466.23,20494.496
20393.068,20703.973
20234.9,20740.588
19898.35,20259.709
19304.3,19559.525
18541.95,18757.926
17425.88,17916.133
16634.75,17142.215
15391.55,16838.3
15123.569,16205.091
14556.6,15781.255
14289.25,15138.283
13910.63,14803.235
14012.31,14457.551
14113.989,14634.485
14215.67,14944.251
14317.35,15356.397
15189.92,15720.87
15781.73,16354.04
17135.55,16897.492
18565.648,17786.973
19181.38,18895.293
18859.47,19366.773
18971.53,19184.25
18953.75,19130.41
18967.15,19028.05
18914.4,19028.94
18962.75,18793.914
18353.4,18484.504
17652.1,17919.418
16946.73,17308.023
16426.316,16819.154
15905.899,16721.424
18295.28,16449.225
17884.15,17664.537
17242.55,17535.633
17065.25,16867.242
16510.969,16680.547
16194.449,16564.143
16038.8,16480.639
16697.67,16561.598
17018.0,16866.736
16584.914,17062.055
16151.83,17003.645
17632.03,16813.912
17655.889,17764.295
17679.75,17956.201
17791.9,17959.959
18009.08,17942.193
18001.68,17904.367
17856.28,17862.361
17562.8,17716.74
17055.129,17376.36
16399.7,16934.355
15878.529,16504.896
16072.98,16212.705
16267.43,16637.213
18729.201,17019.51
18166.5,18249.293
17483.65,17909.229
16993.82,17204.268
16760.719,16791.785
16180.199,16550.305
16257.4,16233.677
16712.229,16340.195
15544.83,16620.988
15810.25,16070.463
16075.669,16209.532
18102.35,16498.516
19233.3,17778.531
18454.05,18842.334
18844.83,18522.209
19212.4,18506.564
