test_y,predicted_values
32664.049,33867.09
31228.98,31424.387
29284.367,29134.78
27264.543,26904.168
25098.943,24572.094
22864.895,22653.818
21756.762,20709.83
20469.508,19888.623
19756.936,19539.238
19051.162,19470.521
19375.352,19819.164
20227.643,20346.729
21456.973,21426.107
21574.4,22890.908
22661.41,23949.898
25574.438,24970.69
28928.416,27235.055
29808.7,30281.16
31530.953,31149.094
32855.918,32474.525
32723.627,33367.56
32907.254,32977.45
33439.93,32661.28
32386.303,32386.418
29756.691,30977.521
27970.143,28092.45
26509.508,25703.43
25129.543,23678.91
23070.81,22234.164
22076.268,20744.164
20454.578,19809.514
19223.84,18585.83
18935.88,17592.543
18400.105,17848.559
18668.24,18306.482
18780.846,18975.775
20530.0,19669.32
22161.129,21190.566
21904.86,23246.256
23124.19,24597.736
24678.7,25721.318
27303.875,26588.121
29207.783,28406.074
28792.219,30190.254
29972.113,30019.898
29647.553,30578.21
29322.992,30139.854
28998.434,29307.979
28673.875,28220.24
26679.93,27237.924
25420.988,25202.621
24006.69,23617.83
22398.662,22194.686
20883.875,20919.82
19923.275,19803.291
19118.908,19006.646
17874.578,18576.484
17342.395,18321.496
17983.205,18390.254
19462.254,19167.477
19301.867,20089.66
20618.592,20525.783
23199.12,21838.395
25686.621,24497.63
27243.943,27060.91
29402.184,28605.523
30547.607,30304.818
31658.17,31257.475
32144.861,32048.082
32550.67,32214.215
32524.72,32249.416
31828.062,31653.58
30289.473,30485.396
27572.994,28379.713
26353.734,25998.977
25079.05,24286.871
23639.33,22529.957
22164.402,21353.2
21255.6,20124.508
20664.297,19561.137
20123.064,19464.203
19363.662,19760.713
19947.254,20035.91
21831.727,20825.27
22786.762,22498.332
23363.135,23915.748
25805.389,25213.53
28676.516,27584.041
30542.643,30225.531
32568.379,32103.96
34072.29,33636.547
35836.445,34673.465
36563.207,35624.4
37567.36,35899.395
37173.207,36438.67
36779.05,35552.082
34755.637,34494.35
32546.902,32401.04
31059.084,30405.21
27791.338,28876.584
25586.092,26090.25
23249.965,23865.422
21858.38,21699.424
20731.797,20301.236
20103.488,19480.88
19525.178,19341.336
19933.31,19849.035
21484.367,20818.777
23554.402,22301.998
24418.275,24355.283
25957.57,25958.766
29042.643,27873.357
32533.418,30667.02
34709.086,33812.945
35958.1,36278.61
37103.273,37112.64
39256.516,37634.676
39169.613,38613.715
39428.17,38363.156
38696.76,37973.195
35575.387,36307.766
32995.6,33403.72
30222.078,30659.879
28035.354,28054.64
26391.373,25991.857
25586.338,24126.242
22777.924,23229.826
21774.648,21588.703
20648.734,21001.566
20139.295,20230.496
20369.93,20732.607
21356.34,21505.945
23359.932,22364.408
23725.986,23900.016
26195.775,25444.297
28667.818,28377.77
31635.951,31135.479
33951.094,34193.637
35844.86,36065.746
37594.65,37567.027
38997.89,38637.41
39337.324,39201.156
39350.355,38783.242
37485.918,37945.91
35555.457,35976.566
33035.883,33711.223
31397.078,31076.062
29089.156,28919.117
26799.824,26929.447
24787.254,24606.416
22772.746,22642.27
21538.346,21193.508
20353.908,20162.672
19737.078,19598.566
20005.281,19685.758
21972.184,20545.703
23625.951,22808.424
23311.514,24810.602
24373.451,25938.027
28490.6,27775.887
32611.023,31546.998
34368.49,35413.3
35154.613,37562.26
36464.367,37923.332
37295.25,38356.77
38334.156,38336.336
38159.93,38865.965
38110.496,37946.176
35677.71,36778.4
33321.62,34016.44
31100.035,31606.78
28479.191,29284.201
