test_y,predicted_values
19145.33,18948.205
18516.078,18385.547
17654.0,18217.74
18368.469,18023.123
18957.262,18532.271
19546.057,18614.729
20134.85,18587.89
19229.85,18890.516
18616.4,18473.793
18071.451,18083.83
17876.818,17912.096
18142.5,17974.59
17669.52,18108.707
17837.41,18032.943
18005.299,18332.064
19693.28,18748.014
20858.1,19816.537
20149.719,20870.773
20278.748,20890.934
20394.568,20871.945
20616.67,20754.51
20735.38,20676.05
20494.979,20440.744
19902.049,19937.01
19301.85,19122.38
18726.918,18585.568
18032.25,18544.434
18226.42,18655.902
19572.15,18871.193
20917.879,19326.564
20459.03,19948.65
19697.95,19777.453
18931.049,19220.533
17710.72,18714.79
17866.18,18097.24
18497.78,18061.504
19071.83,18420.977
18291.773,19027.275
17511.719,19136.906
18857.2,18883.705
20029.98,19494.71
19255.22,20108.545
19596.17,19887.264
19983.38,19899.375
19528.719,20241.547
19743.35,19868.307
19324.201,19622.95
19058.53,19226.62
18092.67,18744.27
17662.08,17952.219
17345.469,17850.709
17107.35,17796.979
19826.95,17625.805
19630.67,18654.297
19162.719,18855.496
18683.52,18597.87
18201.28,18080.512
18097.8,17680.514
17966.049,17746.312
18745.365,17748.557
19524.682,18001.254
20303.998,18651.756
21083.312,19779.555
21862.629,21114.73
21037.8,22097.549
20212.97,21645.71
20877.92,21114.23
20652.049,21433.729
20820.78,21328.486
21024.25,21116.248
21058.02,20912.646
20741.5,20448.896
20413.951,19818.87
19847.33,19317.78
19029.92,19038.494
18386.13,18769.244
17844.379,18642.414
17040.379,17931.96
16450.549,16980.326
15999.2705,16315.98
15050.63,15828.012
15359.687,15228.581
15668.743,15289.317
15977.799,15561.804
16045.5,16104.946
16359.25,16707.152
17182.72,17329.459
18339.92,18174.117
19767.42,19000.432
20743.33,19831.057
21091.95,20726.568
21477.95,21174.777
21573.82,21586.477
21559.078,21752.152
21507.55,21475.957
21215.28,20877.268
20942.5,20361.422
19726.47,19844.582
19603.15,19112.482
18735.55,19100.203
