test_y,predicted_values
1350.0,1256.9398
1464.7059,1356.7557
1505.8823,1461.901
1523.5294,1508.2778
1482.3529,1511.5775
1450.0001,1472.7966
1373.5294,1435.613
1341.1765,1381.4556
1320.5883,1348.4232
1305.8824,1353.671
1420.5883,1364.144
1458.8235,1448.3083
1511.7648,1482.1537
1529.4117,1517.0819
1488.2354,1508.8022
1497.0587,1459.0208
1473.5293,1427.4746
1364.7059,1393.9816
1385.2941,1323.4084
1338.2352,1324.3787
1311.7646,1307.5682
1332.3529,1301.4589
1338.2352,1323.4838
1361.7646,1362.693
1355.8823,1425.1018
1364.7059,1437.3612
1382.3529,1427.6592
1385.2941,1408.7616
1435.2941,1391.6792
1379.4117,1394.5236
1364.7059,1352.9086
1402.9412,1332.8412
1326.4706,1381.8479
1382.3529,1379.7694
1411.7646,1449.3138
1470.5883,1491.9062
1454.4117,1528.8835
1438.2354,1490.7367
1461.7646,1445.8297
1420.5883,1418.0988
1467.6471,1366.5607
1473.5293,1373.102
1388.2352,1381.2828
1341.1765,1352.0823
1400.0,1327.4036
1332.3529,1364.2488
1364.7059,1344.1364
1335.2941,1375.4075
1408.8235,1384.7739
1438.2354,1436.5032
1452.9412,1480.9971
1438.2354,1492.6865
1367.6471,1455.5182
1391.1765,1370.7749
1311.7646,1369.6392
1291.1765,1306.8529
1311.7646,1288.8556
1320.5883,1330.5758
1444.1177,1376.246
1464.7059,1457.5208
1526.4706,1497.3519
1482.3529,1528.432
1502.9412,1504.8864
1473.5293,1484.1979
1455.8823,1445.247
1402.9412,1417.314
1447.0588,1366.9498
1458.8235,1377.4641
1314.7058,1399.1248
1347.0588,1328.441
1297.0588,1329.2206
1300.0,1317.401
1350.0,1343.3522
1400.0,1385.8307
1426.4707,1428.7759
1382.3529,1440.8523
1361.7646,1386.6294
1305.8824,1344.2651
1314.7058,1287.3936
1294.1177,1285.7817
1308.8235,1304.1208
1285.2941,1335.2561
1341.1765,1365.4292
1432.3529,1412.5134
1417.6471,1483.3235
1411.7646,1476.2966
1317.6471,1445.4677
1341.1765,1340.3673
1264.7058,1319.6177
1276.4706,1261.9176
1208.8236,1250.2324
1191.1764,1195.541
1238.2352,1162.9238
1261.7646,1175.2188
1270.5883,1218.2648
1241.1764,1266.4937
1264.7058,1281.4408
1320.5883,1320.8354
1402.9412,1361.1917
1373.5294,1406.5693
1400.0,1386.9708
1347.0588,1368.2855
1291.1765,1330.9587
1297.0588,1286.7483
1273.5294,1284.646
1267.6471,1296.8661
1352.9413,1304.6807
1388.2352,1351.9244
1432.3529,1385.473
1414.7059,1405.861
1405.8823,1382.3293
1376.4707,1339.8472
1379.4117,1316.9651
1300.0,1311.1642
1238.2352,1271.6349
1276.4706,1237.3124
1294.1177,1249.5033
1226.4706,1270.4113
1276.4706,1252.9011
1214.7058,1290.1755
1270.5883,1292.7202
1355.8823,1319.3262
1476.4706,1374.7172
1488.2354,1431.6311
1417.6471,1443.4019
1452.9412,1402.9434
1391.1765,1400.5593
1420.5883,1367.1455
1329.4119,1388.7809
1323.5294,1375.282
1397.0588,1384.5789
1473.5293,1434.7831
1500.0,1487.6991
1467.6471,1507.9379
1505.8823,1478.7544
1420.5883,1460.4474
1350.0,1389.6123
1244.1177,1323.2944
1726.4706,1261.627
1489.7059,1499.143
1252.9412,1467.5317
1191.1764,1309.6409
1217.6471,1230.6704
1279.4119,1243.8334
1297.0588,1316.8918
1367.6471,1366.9844
1441.1765,1407.4741
1476.4706,1420.0612
1502.9412,1437.7444
1420.5883,1453.6705
1344.1177,1395.0366
1388.2352,1318.438
1341.1765,1334.1656
1358.8235,1353.8624
1432.3529,1424.9208
1541.1765,1482.0846
1517.6471,1536.3358
1544.1177,1532.4833
1485.2941,1524.7709
1517.6471,1473.9388
1455.8823,1470.7312
1308.8235,1447.6572
1291.1765,1349.77
1258.8235,1270.8219
1326.4706,1213.763
1258.8235,1244.3871
1323.5294,1240.8734
1250.0,1308.0352
1355.8823,1301.5093
1376.4707,1381.118
1497.0587,1431.3284
1455.8823,1499.9297
1435.2941,1481.4862
1426.4707,1413.0947
1405.8823,1396.7351
1282.3529,1389.483
1282.3529,1303.8951
1326.4706,1297.7811
1402.9412,1366.5588
1511.7648,1456.8916
1517.6471,1539.5801
1532.3529,1524.6195
1538.2354,1515.6094
1473.5293,1498.0076
1405.8823,1451.9679
1285.2941,1393.4435
1211.7646,1311.7649
1205.8824,1240.148
1247.0588,1198.0374
1223.5294,1197.8245
1264.7058,1192.2649
1229.4117,1233.3213
1308.8235,1258.7832
1300.0,1348.4381
1435.2941,1349.6561
1497.0587,1433.9917
1520.5881,1471.1885
1485.2941,1481.8561
1429.4117,1451.3544
1382.3529,1388.4583
1347.0588,1377.1439
1314.7058,1382.1299
1405.8823,1387.5255
1502.9412,1445.0593
1541.1765,1543.1875
1538.2354,1579.5408
1479.4117,1550.3564
1523.5294,1446.135
1385.2941,1439.2699
1444.1177,1352.7196
1376.4707,1401.546
1308.8235,1351.6478
1329.4119,1284.4143
1367.6471,1306.9879
1323.5294,1339.7738
1305.8824,1343.3569
1355.8823,1348.2238
1541.1765,1407.8163
1591.1765,1548.3794
1608.8236,1601.7443
1505.8823,1602.086
1447.0588,1512.9934
1420.5883,1432.2593
1402.9412,1391.8422
1408.8235,1382.029
1402.9412,1426.0312
1529.4117,1497.0464
1617.647,1605.6876
1597.0588,1649.5394
1652.9412,1624.0989
1541.1765,1625.1588
1514.7059,1527.2687
1505.8823,1472.4241
1417.6471,1461.6056
1423.5294,1409.0175
1417.6471,1373.4059
1470.5883,1375.1853
1429.4117,1420.4479
1332.3529,1434.4495
1326.4706,1382.8983
1405.8823,1396.851
1476.4706,1477.7605
1550.0,1533.82
1558.8235,1564.5836
1367.6471,1539.2262
1279.4119,1407.0657
1276.4706,1302.1465
1350.0,1260.3528
1326.4706,1308.5287
1311.7646,1343.1951
1473.5293,1410.1907
1508.8235,1540.3037
1582.3529,1568.7168
1541.1765,1598.038
1511.7648,1547.9829
1476.4706,1475.6506
1452.9412,1428.3667
1447.0588,1395.1221
1473.5293,1410.0154
1488.2354,1424.4619
1502.9412,1448.254
1494.1177,1434.6942
1494.1177,1453.7036
1520.5881,1483.418
1561.7648,1536.1266
1552.9412,1599.1727
1558.8235,1604.6995
1547.0587,1572.9095
1558.8235,1516.1499
1482.3529,1522.8848
1423.5294,1473.1045
1447.0588,1427.5143
1429.4117,1436.1853
1464.7059,1479.0056
1535.2941,1545.9941
1566.6667,1618.3656
1598.0392,1640.7584
1629.4117,1654.8342
1626.4706,1629.9194
1585.2942,1575.4596
1564.7059,1539.6652
1511.7648,1527.3197
1547.0587,1510.2728
1488.2354,1508.4181
1491.1765,1470.9355
1414.7059,1460.6903
1502.9412,1407.6992
1520.5881,1479.0284
1552.9412,1556.1134
1564.7059,1596.24
1652.9412,1628.2992
1629.4117,1653.0885
1582.3529,1616.5945
1470.5883,1550.7842
1414.7059,1475.4176
1400.0,1406.0946
1379.4117,1411.5023
1464.7059,1447.2948
1573.5294,1548.5426
1632.3529,1633.8068
1720.5883,1688.9738
1714.7058,1735.2084
1664.7059,1726.8699
1652.9412,1659.3712
1658.8236,1607.5658
1570.5881,1610.9128
1664.7059,1539.1638
1467.6471,1575.471
1450.0001,1486.7722
1508.8235,1450.7035
1558.8235,1487.3958
1570.5881,1561.5135
1617.647,1607.2765
1655.8823,1656.8024
1579.4117,1695.7915
1644.1176,1617.9856
1552.9412,1598.2905
1476.4706,1514.3262
1432.3529,1451.586
1455.8823,1417.5355
1435.2941,1459.1694
1438.2354,1509.573
1564.7059,1550.129
1723.5294,1623.4637
1785.2941,1717.0552
1758.8236,1766.294
1744.1177,1744.2599
1755.8824,1693.7769
1652.9412,1680.7651
1594.1176,1624.3589
1614.7059,1566.4587
1523.5294,1553.6354
1508.8235,1502.782
1488.2354,1494.8052
1532.3529,1499.9896
1497.0587,1545.5836
1573.5294,1544.8645
1579.4117,1589.4387
1602.9412,1605.4602
1608.8236,1600.209
1600.0,1563.7186
1517.6471,1538.6373
1450.0001,1501.4062
1482.3529,1461.5029
1464.7059,1487.0153
1514.7059,1520.6324
1626.4706,1619.8551
1655.8823,1697.0242
1673.5294,1727.0347
1691.1764,1710.6515
1717.647,1680.4291
1711.7648,1641.2905
1623.5294,1612.2347
1605.8823,1559.3986
1485.2941,1550.9386
1420.5883,1483.3011
1441.1765,1434.8306
1400.0,1442.2733
1435.2941,1412.8363
1470.5883,1455.29
1617.647,1508.0557
1694.1176,1631.8398
1570.5881,1708.4921
1620.5881,1635.076
1561.7648,1601.7167
