DATE,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wind_direction,wind_speed,relative_humidity,wet_bulb_temperature,visibility,altimeter,sky_cover_1,sky_cover_baseht_1,KW,CHWTON,HTmmBTU,Combined mmBTU,GHG,KWS,Month,Day,Hour,DOW
2022-01-01T00:51:00,13.9,10,961.9,1000.6,220,4.1,78,11.8,16.093,1001.4,FEW:02,305,14250.45,1978.43,6.99,79.36,7.736,3.54,1,1,0,7
2022-01-01T01:51:00,13.9,10,962.5,1001.1,220,3.6,78,11.8,16.093,1002,FEW:02,305,14250.45,1978.43,6.99,79.36,7.736,3.54,1,1,1,7
2022-01-01T02:51:00,13.3,10.6,962.9,1001.7,240,3.1,84,11.8,16.093,1002.4,SCT:04,884,14040.17,1954.17,6.91,78.26,7.62,3.97,1,1,2,7
2022-01-01T03:51:00,13.3,11.1,963.5,1002.5,250,2.6,87,12.1,16.093,1003,SCT:04,732,14061.8,1898.31,7.11,77.87,7.633,4.58,1,1,3,7
2022-01-01T04:51:00,13.3,10,964.2,1002.9,230,4.6,81,11.5,12.875,1003.7,FEW:02,305,11872.83,1882.15,7.21,70.3,6.443,4.88,1,1,4,7
2022-01-01T05:51:00,13.3,10,964.8,1003.6,210,3.1,81,11.5,16.093,1004.4,FEW:02,305,11590,1811.76,7.65,68.94,6.291,5.05,1,1,5,7
2022-01-01T06:51:00,13.3,9.4,965.5,1004.3,230,5.1,77,11.3,16.093,1005.1,SCT:04,853,11931,1741.15,8.05,69.65,6.475,5.28,1,1,6,7
2022-01-01T07:51:00,13.3,8.9,965.8,1004.6,260,5.7,75,11,16.093,1005.4,SCT:04,853,12885.08,1786.9,9.08,74.49,6.996,4.28,1,1,7,7
2022-01-01T08:51:00,12.8,9.4,966.5,1005.5,230,6.2,80,11,16.093,1006.1,FEW:02,701,13308.33,1829.24,9.62,76.98,7.22,11.07,1,1,8,7
2022-01-01T09:51:00,11.7,9.4,966.8,1005.9,220,5.1,86,10.5,16.093,1006.4,FEW:02,884,12019.3,1722.23,9.59,71.27,6.262,482.63,1,1,9,7
2022-01-01T10:51:00,12.2,8.9,967.1,1006.2,270,8.8,80,10.5,16.093,1006.8,FEW:02,853,12353.52,1824.15,8.5,72.54,4.94,3259.48,1,1,10,7
2022-01-01T11:51:00,11.7,8.3,968.1,1007,260,8.8,80,9.9,16.093,1007.8,FEW:02,884,12396.37,1961.96,8.42,74.27,3.381,6169.94,1,1,11,7
2022-01-01T12:51:00,10,2.2,969.4,1008.5,270,8.2,59,6.4,16.093,1009.1,FEW:02,3048,12209.6,1910.3,8.52,73.11,2.423,7748.59,1,1,12,7
2022-01-01T13:51:00,8.9,2.8,970.7,1009.9,260,7.2,66,6.1,16.093,1010.5,FEW:02,3048,12829,2080.68,8.17,76.91,2.094,8977.25,1,1,13,7
2022-01-01T14:51:00,8.3,2.8,972.4,1011.5,260,5.7,69,5.8,16.093,1012.2,FEW:02,1829,12532.17,2144,8.24,76.73,1.883,9065.92,1,1,14,7
2022-01-01T15:51:00,9.4,1.7,974,1013.3,270,8.2,59,5.9,16.093,1013.9,FEW:02,3048,12635.25,2184.94,8.17,77.51,2.396,8224.35,1,1,15,7
2022-01-01T16:51:00,11.1,-2.2,975.3,1014.8,290,7.7,40,5.4,16.093,1015.2,FEW:02,1829,12486.85,2208.83,8.19,77.31,3.347,6323.56,1,1,16,7
2022-01-01T17:51:00,11.1,-3.9,976.6,1016.1,280,9.8,35,4.9,16.093,1016.6,FEW:02,1829,11915.55,2043.41,8.6,73.78,4.987,2733.2,1,1,17,7
2022-01-01T18:51:00,11.7,-4.4,977.3,1016.7,290,8.2,32,5,16.093,1017.3,FEW:02,1829,12478.05,1929.34,9.26,74.99,6.429,637.36,1,1,18,7
2022-01-01T19:51:00,12.2,-5.6,977,1016.5,270,7.7,29,4.9,16.093,1016.9,FEW:02,2134,12388.53,1888.22,9.42,74.35,6.617,205.27,1,1,19,7
2022-01-01T20:51:00,13.3,-8.9,977.6,1016.8,310,6.2,21,4.7,16.093,1017.6,FEW:02,2134,11906.4,1631.19,9.47,69.67,6.464,2.88,1,1,20,7
2022-01-01T21:51:00,12.8,-7.2,978.3,1017.7,340,4.1,24,4.8,16.093,1018.3,FEW:02,2134,12501.17,1720.59,9.39,72.7,6.787,3.03,1,1,21,7
2022-01-01T22:51:00,12.2,-11.1,979.2,1018.7,10,6.2,19,3.6,16.093,1019.3,FEW:02,2134,11783.77,1594.25,9.25,68.59,6.397,3.23,1,1,22,7
2022-01-01T23:51:00,12.2,-12.2,979.9,1019.5,350,6.2,17,3.4,16.093,1020,FEW:02,2134,11368.58,1439.43,9.12,65.19,6.172,3.45,1,1,23,7
2022-01-02T00:51:00,11.1,-11.1,981.2,1020.9,310,3.6,20,3,16.093,1021.3,FEW:02,2134,11228.7,1383.5,8.87,63.79,6.099,3.35,1,2,0,1
2022-01-02T01:51:00,10,-10,982.2,1022,320,3.6,24,2.7,16.093,1022.4,CLR:00,,11167.08,1382.74,8.81,63.51,6.06,3.31,1,2,1,1
2022-01-02T02:51:00,10,-8.9,983.2,1023,350,2.6,26,2.9,16.093,1023.4,CLR:00,,11131.35,1324.49,8.78,62.66,6.042,3.21,1,2,2,1
2022-01-02T03:51:00,8.9,-7.8,984.2,1024.2,330,2.1,30,2.6,16.093,1024.4,CLR:00,,11149.93,1409.32,9.09,64.05,6.054,3.44,1,2,3,1
2022-01-02T04:51:00,8.3,-7.2,985.2,1025.1,310,1.5,33,2.4,16.093,1025.4,CLR:00,,11230.1,1325.08,9.63,63.85,6.097,3.56,1,2,4,1
2022-01-02T05:51:00,5.6,-3.3,986.1,1026,110,2.1,53,2,16.093,1026.4,CLR:00,,11920.45,1502.4,10.21,68.91,6.472,3.84,1,2,5,1
