Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,GHG,DOW
2021,1,1,0,13641.35,1.21,1729.1,11.37,78.66,7.406,6
2021,1,1,1,13752.42,1.26,1680.99,11.67,78.77,7.466,6
2021,1,1,2,13761.52,1.22,1703.27,11.56,78.96,7.472,6
2021,1,1,3,13713.8,1.23,1647.88,11.75,78.32,7.443,6
2021,1,1,4,13442.95,1.29,1706.91,11.9,78.26,7.3,6
2021,1,1,5,13599.95,1.25,1661.31,12.24,78.58,7.383,6
2021,1,1,6,13218.83,1.15,1840.79,12.17,79.36,7.177,6
2021,1,1,7,13214.5,6.97,1787.99,12.74,79.28,7.171,6
2021,1,1,8,12593.3,318.18,1837.33,12.71,77.73,6.667,6
2021,1,1,9,11845.6,2202.8,1800.61,11.98,74.01,5.234,6
2021,1,1,10,12342.05,4182.93,2100.32,11.34,78.66,4.432,6
2021,1,1,11,12876.98,5538.42,2399.49,10.1,82.83,3.986,6
2021,1,1,12,13038.53,6609.07,2688,9.52,86.27,3.488,6
2021,1,1,13,13120.1,6801.89,2921.63,9.33,89.16,3.429,6
2021,1,1,14,13301.9,6312.78,3031.73,9.17,90.94,3.796,6
2021,1,1,15,14071.13,4980.23,3319.31,9.12,96.96,4.935,6
2021,1,1,16,13782.42,2206.96,3313.99,9.21,96.01,6.284,6
2021,1,1,17,13292.23,674.44,3068.15,9.78,91.95,6.852,6
2021,1,1,18,13204.17,367.07,2743.41,10.15,88.12,6.969,6
2021,1,1,19,12993.15,1.11,2518.3,10.42,84.98,7.054,6
2021,1,1,20,12851.38,1.1,2427.11,10.82,83.8,6.977,6
2021,1,1,21,12581.2,1.11,2197.89,10.83,80.13,6.834,6
2021,1,1,22,12266.25,1.15,2031.45,11.28,77.51,6.663,6
2021,1,1,23,11582.92,1.15,1758.25,11.37,71.99,6.287,6
2021,1,2,0,11138,1.21,1540.83,11.97,68.46,6.048,7
2021,1,2,1,11160.85,1.23,1537.24,12.16,68.69,6.06,7
2021,1,2,2,11802.48,1.25,1581,12.12,71.37,6.407,7
2021,1,2,3,11732.4,1.24,1627.25,12.41,71.97,6.369,7
2021,1,2,4,11395.85,1.22,1561.48,13.15,70.77,6.188,7
2021,1,2,5,11759.15,1.23,1540.61,13.5,72.12,6.386,7
2021,1,2,6,12952.85,1.22,1735.23,13.6,78.62,7.035,7
2021,1,2,7,13019.33,15.25,1730.44,14.17,79.36,7.06,7
2021,1,2,8,12553.23,578.29,1778.76,13.7,77.87,6.504,7
2021,1,2,9,12166.5,2096.38,1720.95,13.05,75.22,5.468,7
2021,1,2,10,13015.22,4249.63,2094.46,12.75,82.3,4.759,7
2021,1,2,11,13051.25,5410.29,2246.5,11.54,83.03,4.151,7
2021,1,2,12,13203.02,6805.63,2504.05,10.15,85.25,3.473,7
2021,1,2,13,13144.95,4872.57,2730.63,9.82,87.44,4.491,7
2021,1,2,14,13331.35,4082.89,2777.91,9.59,88.41,5.019,7
2021,1,2,15,13793.42,4085.82,2922.3,9.62,91.76,5.269,7
2021,1,2,16,13822.03,2061.4,3197.98,9.43,94.96,6.386,7
2021,1,2,17,12811.7,602.15,2830.97,9.82,87.51,6.629,7
2021,1,2,18,12750.58,186.03,2525.48,10.26,84.07,6.822,7
2021,1,2,19,12604.7,1.12,2354.78,10.49,81.75,6.842,7
2021,1,2,20,12386.98,1.12,2181.99,11.08,79.53,6.724,7
2021,1,2,21,11821.52,1.15,1975.82,11.18,75.23,6.419,7
2021,1,2,22,11491.9,1.18,1746.34,11.19,71.35,6.235,7
2021,1,2,23,11822.13,1.14,1770.59,11.42,73.01,6.42,7
2021,1,3,0,11279.3,1.18,1571.73,11.95,69.29,6.125,1
2021,1,3,1,11185.08,1.24,1520.78,12.13,68.54,6.074,1
2021,1,3,2,11246.9,1.22,1446.89,12.33,68.07,6.107,1
2021,1,3,3,11990.4,1.22,1621.09,12.75,73.12,6.51,1
2021,1,3,4,11469.58,1.32,1511.24,13.14,70.41,6.228,1
2021,1,3,5,11870.23,1.23,1540.19,13.44,72.42,6.445,1
2021,1,3,6,12670.95,1.24,1571.37,13.87,75.96,6.878,1
2021,1,3,7,13039.83,7.74,1750.01,14.3,79.8,7.079,1
2021,1,3,8,12917.35,322.97,1712.08,14.21,78.83,6.838,1
2021,1,3,9,12740.8,2442.34,1833.03,13.12,78.59,5.59,1
2021,1,3,10,12694.75,3138.46,1954.61,12.72,79.49,5.189,1
2021,1,3,11,12766.98,3878.49,2085.8,11.6,80.19,4.826,1
2021,1,3,12,12996.3,5889.05,2279.26,10.13,81.82,3.861,1
2021,1,3,13,13112.88,6007.72,2601.61,9.87,85.83,3.858,1
2021,1,3,14,13124.73,4997.52,2830.74,9.48,88.23,4.414,1
2021,1,3,15,13255.15,4606.56,2990.61,9.41,90.53,4.696,1
2021,1,3,16,13356.27,2230.91,3105.58,9.39,92.23,6.04,1
2021,1,3,17,13274.72,722.68,2922.74,9.84,90.21,6.816,1
2021,1,3,18,13165.1,155.74,2627.04,10.13,86.58,7.064,1
2021,1,3,19,12843.63,1.11,2464.66,10.23,83.63,6.975,1
2021,1,3,20,12633.63,1.13,2231.5,10.5,80.39,6.859,1
2021,1,3,21,12381,1.11,2070.11,10.72,77.81,6.721,1
2021,1,3,22,12174.47,1.16,1962.93,10.83,75.93,6.609,1
2021,1,3,23,11906.58,1.17,1765.02,11.21,73.02,6.468,1
2021,1,4,0,12142.2,1.21,1700.43,11.74,73.57,6.593,2
2021,1,4,1,12214.3,1.22,1606.47,12.01,72.97,6.632,2
2021,1,4,2,12322.65,1.28,1617.6,12.47,73.92,6.691,2
2021,1,4,3,12388.63,1.21,1572.64,12.76,73.91,6.726,2
2021,1,4,4,12587.65,1.24,1716.29,12.99,76.54,6.834,2
2021,1,4,5,13157.2,1.34,1700.35,14.39,79.69,7.144,2
2021,1,4,6,13745.8,1.3,1893.53,14.51,84.13,7.464,2
2021,1,4,7,14080.67,7.9,1778.99,15.07,84.46,7.64,2
2021,1,4,8,13831.4,312.19,1915.41,14.68,84.86,7.339,2
2021,1,4,9,13825.32,2265.47,1910.57,13.58,83.68,6.279,2
2021,1,4,10,13953.9,4352.33,2290.75,11.94,87.04,5.215,2
2021,1,4,11,14289.55,7067.46,2641.12,10.79,91.24,3.921,2
2021,1,4,12,14529.97,8421.1,2944.84,10.49,95.41,3.317,2
