DATE,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wind_direction,wind_speed,relative_humidity,wet_bulb_temperature,visibility,altimeter,sky_cover_1,sky_cover_baseht_1
2020-12-31T23:51:00,14.4,-7.8,971.1,1010.3,,0,21,5.5,16.093,1010.8,SCT:04,3658
2021-01-01T00:51:00,13.3,-6.7,971.1,1010.3,250,1.5,24,5.2,16.093,1010.8,FEW:02,3658
2021-01-01T01:51:00,11.7,-5,971.1,1010.5,,0,31,4.8,16.093,1010.8,SCT:04,4267
2021-01-01T02:51:00,11.7,-6.7,971.1,1010.3,270,2.1,27,4.3,16.093,1010.8,FEW:02,3048
2021-01-01T03:51:00,12.2,-6.1,971.1,1010.4,320,2.6,28,4.8,16.093,1010.8,FEW:02,3048
2021-01-01T04:51:00,9.4,-4.4,971.4,1010.7,230,2.6,38,3.8,16.093,1011.2,BKN:07,3962
2021-01-01T05:51:00,11.1,-6.1,971.4,1010.7,270,2.6,30,4.2,16.093,1011.2,SCT:04,3353
2021-01-01T06:51:00,9.4,-5.6,971.4,1010.7,260,2.1,35,3.5,16.093,1011.2,FEW:02,3962
2021-01-01T07:51:00,8.3,-6.1,971.7,1011,260,2.1,36,2.7,12.875,1011.5,FEW:02,3962
2021-01-01T08:51:00,8.9,-6.1,972,1011.5,280,2.6,34,3,12.875,1011.9,SCT:04,3048
2021-01-01T09:51:00,7.8,-5.6,972.4,1011.7,,0,38,2.6,11.265,1012.2,BKN:07,3353
2021-01-01T10:51:00,8.3,-6.1,972.7,1011.8,260,2.1,36,2.7,14.484,1012.5,BKN:07,3658
2021-01-01T11:51:00,6.1,-4.4,973,1012.4,,0,47,2,12.875,1012.9,FEW:02,3658
2021-01-01T12:51:00,6.1,-5.6,973.7,1013,260,1.5,43,1.6,16.093,1013.5,FEW:02,3658
2021-01-01T13:51:00,5.6,-5.6,974.7,1014.2,,0,45,1.3,11.265,1014.6,SCT:04,3658
2021-01-01T14:51:00,5,-5.6,975.6,1015.1,100,1.5,47,1,9.656,1015.6,FEW:02,3658
2021-01-01T15:51:00,7.2,-5,976.6,1016.1,110,1.5,42,2.4,11.265,1016.6,FEW:02,6096
2021-01-01T16:51:00,9.4,-6.1,977.9,1017.5,250,1.5,33,3.3,11.265,1017.9,FEW:02,7620
2021-01-01T17:51:00,11.7,-5.6,978.6,1018,230,2.1,30,4.7,16.093,1018.6,FEW:02,6096
2021-01-01T18:51:00,13.9,-6.1,977.9,1017.6,260,2.6,25,5.6,16.093,1017.9,FEW:02,7620
2021-01-01T19:51:00,15.6,-7.2,977.9,1017.2,290,3.6,20,6.2,16.093,1017.9,FEW:02,7620
2021-01-01T20:51:00,17.2,-7.2,977.6,1017,,0,18,7,16.093,1017.6,FEW:02,7620
2021-01-01T21:51:00,17.8,-7.2,977.6,1017,190,2.6,18,7.3,16.093,1017.6,FEW:02,7620
2021-01-01T22:51:00,17.2,-7.2,977.9,1017.4,300,2.1,18,7,16.093,1017.9,FEW:02,7620
2021-01-01T23:51:00,17.8,-7.2,978.9,1018.2,230,3.1,18,7.3,16.093,1019,CLR:00,
2021-01-02T00:51:00,15.6,-6.1,979.2,1018.7,250,2.1,22,6.5,16.093,1019.3,FEW:02,8839
2021-01-02T01:51:00,13.9,-6.1,979.6,1019.4,230,2.1,25,5.7,16.093,1019.6,CLR:00,
2021-01-02T02:51:00,12.8,-5.6,979.9,1019.8,,0,28,5.2,16.093,1020,CLR:00,
2021-01-02T03:51:00,11.7,-5.6,980.6,1020.2,,0,30,4.7,16.093,1020.7,CLR:00,
2021-01-02T04:51:00,10.6,-5,980.9,1020.6,90,3.1,33,4.2,16.093,1021,CLR:00,
2021-01-02T05:51:00,9.4,-3.9,981.5,1021.3,100,1.5,39,4,16.093,1021.7,CLR:00,
2021-01-02T06:51:00,8.3,-3.9,981.5,1021.2,90,2.6,42,3.4,16.093,1021.7,CLR:00,
2021-01-02T07:51:00,7.2,-5,981.5,1021.2,100,3.1,42,2.4,16.093,1021.7,CLR:00,
2021-01-02T08:51:00,6.7,-4.4,982.2,1021.8,90,3.1,45,2.3,16.093,1022.4,CLR:00,
2021-01-02T09:51:00,6.7,-4.4,982.9,1022.5,100,1.5,45,2.3,16.093,1023,CLR:00,
2021-01-02T10:51:00,6.1,-3.9,982.5,1022.3,100,2.6,49,2.2,16.093,1022.7,CLR:00,
2021-01-02T11:51:00,5,-3.9,982.9,1022.5,90,2.6,53,1.5,16.093,1023,FEW:02,7620
2021-01-02T12:51:00,5,-5,983.5,1023.3,90,2.6,49,1.2,16.093,1023.7,FEW:02,5486
2021-01-02T13:51:00,5.6,-6.1,984.2,1024.1,120,3.1,43,1.2,16.093,1024.4,FEW:02,5486
2021-01-02T14:51:00,5,-6.1,984.5,1024.3,100,3.6,45,0.9,16.093,1024.7,SCT:04,6096
2021-01-02T15:51:00,7.8,-6.1,984.5,1024.5,130,5.1,37,2.4,16.093,1024.7,SCT:04,5486
2021-01-02T16:51:00,9.4,-6.7,985.2,1025,110,3.6,32,3.2,16.093,1025.4,FEW:02,5486
2021-01-02T17:51:00,11.1,-6.1,985.2,1025.1,80,2.6,30,4.2,16.093,1025.4,FEW:02,4572
2021-01-02T18:51:00,12.8,-6.1,984.2,1023.9,,3.1,26,5.1,16.093,1024.4,FEW:02,5486
2021-01-02T19:51:00,15,-6.1,982.9,1022.4,,0,23,6.2,16.093,1023,SCT:04,5486
2021-01-02T20:51:00,15,-6.1,981.9,1021.5,,0,23,6.2,16.093,1022,FEW:02,4877
2021-01-02T21:51:00,15.6,-6.7,981.9,1021.5,270,1.5,21,6.4,16.093,1022,FEW:02,4877
2021-01-02T22:51:00,16.7,-6.7,981.5,1021.2,,0,20,6.9,16.093,1021.7,FEW:02,4877
2021-01-02T23:51:00,16.7,-6.7,981.2,1021,,0,20,6.9,16.093,1021.3,FEW:02,4877
2021-01-03T00:51:00,15,-6.1,981.5,1021.2,240,1.5,23,6.2,16.093,1021.7,FEW:02,4877
2021-01-03T01:51:00,12.8,-5,981.9,1021.7,,0,29,5.4,16.093,1022,FEW:02,5486
2021-01-03T02:51:00,12.2,-5,981.9,1021.6,,0,30,5.1,16.093,1022,CLR:00,
2021-01-03T03:51:00,10.6,-3.3,981.9,1021.7,80,3.1,38,4.7,16.093,1022,CLR:00,
2021-01-03T04:51:00,9.4,-3.3,981.9,1021.8,,0,41,4.2,16.093,1022,CLR:00,
2021-01-03T05:51:00,8.3,-3.3,981.5,1021.2,100,2.6,44,3.6,16.093,1021.7,CLR:00,
2021-01-03T06:51:00,7.8,-3.9,981.5,1021.2,100,2.6,44,3.1,16.093,1021.7,CLR:00,
2021-01-03T07:51:00,7.2,-4.4,981.5,1021.1,150,1.5,44,2.6,16.093,1021.7,CLR:00,
2021-01-03T08:51:00,6.7,-5,981.5,1021.3,80,2.6,43,2.1,16.093,1021.7,CLR:00,
2021-01-03T09:51:00,6.1,-4.4,981.5,1021.1,110,1.5,47,2,16.093,1021.7,CLR:00,
2021-01-03T10:51:00,5.6,-4.4,981.5,1021.1,,0,49,1.7,16.093,1021.7,CLR:00,
2021-01-03T11:51:00,5.6,-5,981.5,1021.1,60,2.1,47,1.5,16.093,1021.7,FEW:02,3962
2021-01-03T12:51:00,4.4,-5,981.9,1021.6,90,2.1,51,0.9,16.093,1022,FEW:02,3962
2021-01-03T13:51:00,4.4,-4.4,982.2,1022.1,100,2.6,53,1,16.093,1022.4,FEW:02,6096
2021-01-03T14:51:00,4.4,-5,982.2,1021.9,100,3.1,51,0.9,16.093,1022.4,FEW:02,6096
2021-01-03T15:51:00,7.2,-5.6,982.5,1022.3,120,3.6,40,2.3,16.093,1022.7,FEW:02,4877
2021-01-03T16:51:00,8.9,-5.6,983.2,1023,90,2.6,36,3.2,16.093,1023.4,FEW:02,4877
2021-01-03T17:51:00,10.6,-5,983.2,1023.1,80,3.1,33,4.3,16.093,1023.4,FEW:02,4877
