DATE,Temperature,Dew Point Temperature,Station Level Pressure,Sea Level Pressure,Wet Bulb Temperature,Altimeter,Day Of Year,Combined mmBTU,KW,CHWTON,HTmmBTU,GHG
2021/1/1 0:00,14.4,-7.8,971.1,1010.3,5.5,1010.8,0.99992592,78.66,13641.35,1729.1,11.37,7.406
2021/1/1 1:00,13.3,-6.7,971.1,1010.3,5.2,1010.8,0.99992592,78.77,13752.42,1680.99,11.67,7.466
2021/1/1 2:00,11.7,-5,971.1,1010.5,4.8,1010.8,0.99992592,78.96,13761.52,1703.27,11.56,7.472
2021/1/1 3:00,11.7,-6.7,971.1,1010.3,4.3,1010.8,0.99992592,78.32,13713.8,1647.88,11.75,7.443
2021/1/1 4:00,12.2,-6.1,971.1,1010.4,4.8,1010.8,0.99992592,78.26,13442.95,1706.91,11.9,7.3
2021/1/1 5:00,9.4,-4.4,971.4,1010.7,3.8,1011.2,0.99992592,78.58,13599.95,1661.31,12.24,7.383
2021/1/1 6:00,11.1,-6.1,971.4,1010.7,4.2,1011.2,0.99992592,79.36,13218.83,1840.79,12.17,7.177
2021/1/1 7:00,9.4,-5.6,971.4,1010.7,3.5,1011.2,0.99992592,79.28,13214.5,1787.99,12.74,7.171
2021/1/1 8:00,8.3,-6.1,971.7,1011,2.7,1011.5,0.99992592,77.73,12593.3,1837.33,12.71,6.667
2021/1/1 9:00,8.9,-6.1,972,1011.5,3,1011.9,0.99992592,74.01,12687.86,1800.61,11.98,5.234
2021/1/1 10:00,7.8,-5.6,972.4,1011.7,2.6,1012.2,0.99992592,78.66,12782.42,2100.32,11.34,4.432
2021/1/1 11:00,8.3,-6.1,972.7,1011.8,2.7,1012.5,0.99992592,82.83,12876.98,2399.49,10.1,4.740666667
2021/1/1 12:00,6.1,-4.4,973,1012.4,2,1012.9,0.99992592,86.27,13038.53,2688,9.52,5.049333333
2021/1/1 13:00,6.1,-5.6,973.7,1013,1.6,1013.5,0.99992592,89.16,13120.1,2921.63,9.33,5.358
2021/1/1 14:00,5.6,-5.6,974.7,1014.2,1.3,1014.6,0.99992592,90.94,13301.9,3031.73,9.17,5.666666667
2021/1/1 15:00,5,-5.6,975.6,1015.1,1,1015.6,0.99992592,96.96,13542.16,2959.65,9.12,5.975333333
2021/1/1 16:00,7.2,-5,976.6,1016.1,2.4,1016.6,0.99992592,96.01,13782.42,2887.57,9.21,6.284
2021/1/1 17:00,9.4,-6.1,977.9,1017.5,3.3,1017.9,0.99992592,91.95,13292.23,2815.49,9.78,6.852
2021/1/1 18:00,11.7,-5.6,978.6,1018,4.7,1018.6,0.99992592,88.12,13204.17,2743.41,10.15,6.969
2021/1/1 19:00,13.9,-6.1,977.9,1017.6,5.6,1017.9,0.99992592,84.98,12993.15,2518.3,10.42,7.054
2021/1/1 20:00,15.6,-7.2,977.9,1017.2,6.2,1017.9,0.99992592,83.8,12851.38,2427.11,10.82,6.977
2021/1/1 21:00,17.2,-7.2,977.6,1017,7,1017.6,0.99992592,80.13,12581.2,2197.89,10.83,6.834
2021/1/1 22:00,17.8,-7.2,977.6,1017,7.3,1017.6,0.99992592,77.51,12266.25,2031.45,11.28,6.663
2021/1/1 23:00,17.2,-7.2,977.9,1017.4,7,1017.9,0.99992592,71.99,11582.92,1758.25,11.37,6.287
2021/1/2 0:00,17.8,-7.2,978.9,1018.2,7.3,1019,0.9997037,68.46,11656.10667,1540.83,11.97,6.048
2021/1/2 1:00,15.6,-6.1,979.2,1018.7,6.5,1019.3,0.9997037,68.69,11729.29333,1537.24,12.16,6.06
2021/1/2 2:00,13.9,-6.1,979.6,1019.4,5.7,1019.6,0.9997037,71.37,11802.48,1581,12.12,6.407
2021/1/2 3:00,12.8,-5.6,979.9,1019.8,5.2,1020,0.9997037,71.97,11732.4,1627.25,12.41,6.369
2021/1/2 4:00,11.7,-5.6,980.6,1020.2,4.7,1020.7,0.9997037,70.77,12139.21667,1561.48,13.15,6.188
2021/1/2 5:00,10.6,-5,980.9,1020.6,4.2,1021,0.9997037,72.12,12546.03333,1540.61,13.5,6.386
2021/1/2 6:00,9.4,-3.9,981.5,1021.3,4,1021.7,0.9997037,78.62,12952.85,1735.23,13.6,7.035
2021/1/2 7:00,8.3,-3.9,981.5,1021.2,3.4,1021.7,0.9997037,79.36,13019.33,1730.44,14.17,7.06
2021/1/2 8:00,7.2,-5,981.5,1021.2,2.4,1021.7,0.9997037,77.87,12553.23,1778.76,13.7,6.504
2021/1/2 9:00,6.7,-4.4,982.2,1021.8,2.3,1022.4,0.9997037,75.22,12166.5,1720.95,13.05,5.468
2021/1/2 10:00,6.7,-4.4,982.9,1022.5,2.3,1023,0.9997037,82.3,13015.22,2094.46,12.75,4.759
2021/1/2 11:00,6.1,-3.9,982.5,1022.3,2.2,1022.7,0.9997037,83.03,13051.25,2246.5,11.54,5.030166667
2021/1/2 12:00,5,-3.9,982.9,1022.5,1.5,1023,0.9997037,85.25,13203.02,2504.05,10.15,5.301333333
