campus,bldgno,bldgname,tstamp,Year,Month,Day,Hour,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,tstamp2
Tempe,, , ,2021,1,1,0,13641.35,1.21,1729.1,11.37,78.66,14.38,3898,974383,372,1737,434246,166,952,237918,91,6587,1646546,15143,7.406,6,2021-01-01T00:00:00.000
Tempe,, , ,2021,1,1,1,13752.42,1.26,1680.99,11.67,78.77,14.4,3929,982316,375,1689,422165,161,977,244236,93,6596,1648718,14769,7.466,6,2021-01-01T01:00:00.000
Tempe,, , ,2021,1,1,2,13761.52,1.22,1703.27,11.56,78.96,14.43,3932,982966,376,1711,427759,164,968,242007,93,6612,1652732,14948,7.4719999999999995,6,2021-01-01T02:00:00.000
Tempe,, , ,2021,1,1,3,13713.8,1.23,1647.88,11.75,78.32,14.32,3918,979558,374,1656,413849,158,984,245947,94,6558,1639353,14501,7.443,6,2021-01-01T03:00:00.000
Tempe,, , ,2021,1,1,4,13442.95,1.29,1706.91,11.9,78.26,14.3,3841,960211,367,1715,428673,164,997,249129,95,6553,1638013,14947,7.3,6,2021-01-01T04:00:00.000
Tempe,, , ,2021,1,1,5,13599.95,1.25,1661.31,12.24,78.58,14.36,3886,971425,371,1669,417220,159,1025,256135,98,6580,1644781,14597,7.383,6,2021-01-01T05:00:00.000
Tempe,, , ,2021,1,1,6,13218.83,1.15,1840.79,12.17,79.36,14.51,3777,944202,361,1850,462297,177,1019,254626,97,6645,1661125,15996,7.177,6,2021-01-01T06:00:00.000
Tempe,, , ,2021,1,1,7,13214.5,6.97,1787.99,12.74,79.28,14.49,3776,943893,361,1797,449037,172,1066,266539,102,6639,1659470,15574,7.171,6,2021-01-01T07:00:00.000
Tempe,, , ,2021,1,1,8,12593.3,318.18,1837.33,12.71,77.73,14.21,3598,899522,344,1846,461428,176,1064,265946,102,6508,1626895,15909,6.667,6,2021-01-01T08:00:00.000
Tempe,, , ,2021,1,1,9,11845.6,2202.8,1800.61,11.98,74.01,13.53,3384,846115,323,1809,452206,173,1003,250808,96,6197,1549128,15543,5.234,6,2021-01-01T09:00:00.000
