,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,sky_cover_baseht_1,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,GHG,DayOfYear_sin,DayOfYear_cos,HourOfDay_sin,HourOfDay_cos
temperature,1.0,0.2525470559547834,-0.44941664267184583,-0.49769251828387256,0.7122989216766948,-0.4496008751307,-0.08172735609851292,0.484516930090359,-0.14257448980812673,0.500869731410188,-0.49668776299551964,0.5094618049733258,0.5723064602354753,-0.1749857041305014,-0.5984978001405163,-0.05671001615922277,0.25385825465650097
dew_point_temperature,0.2525470559547834,1.0,-0.1510480320076072,-0.17710663670763918,0.5490447186323422,-0.15053158041188738,-0.31815016765476234,0.3882717736444433,0.12122570876065576,0.43571687937505676,-0.3259258496478106,0.3934102631862306,0.3202572409151378,-0.3634601932133367,-0.23957549026048955,0.007243934169264112,-0.08692608932695611
station_level_pressure,-0.44941664267184583,-0.1510480320076072,1.0,0.948341290947246,-0.37564726072933563,0.9979006069075222,0.11453420577848879,-0.28367809451325476,0.04635675240526516,-0.2816972417764259,0.2892264120519971,-0.31234416918616303,-0.27397531927629426,0.00958130580985306,0.4338564498056141,-0.09867003034053058,-0.11713768650903433
sea_level_pressure,-0.49769251828387256,-0.17710663670763918,0.948341290947246,1.0,-0.4211345738671208,0.9498190550030476,0.11014134906968925,-0.3251919979389286,0.034236930877019484,-0.32757424877756175,0.3284975095662659,-0.3573617831980218,-0.30841643743537706,0.03210979241675686,0.47687124135587766,-0.09033100472860763,-0.10983649816174747
wet_bulb_temperature,0.7122989216766948,0.5490447186323422,-0.37564726072933563,-0.4211345738671208,1.0,-0.37537070401560757,-0.2106530562037171,0.5599732295038006,-0.040687876985992015,0.6028942294639347,-0.5277684178476129,0.5784824863478951,0.577315266088352,-0.28016271141432314,-0.5357425663270062,-0.03900350624196168,0.13302278521785893
altimeter,-0.4496008751307,-0.15053158041188738,0.9979006069075222,0.9498190550030476,-0.37537070401560757,1.0,0.11423446087547878,-0.2832438578178756,0.04717979992728749,-0.28107869395910545,0.28891331007646537,-0.31181155723875964,-0.273868541607385,0.00891557027959446,0.43390401598594347,-0.09924536322019518,-0.11803930013306733
sky_cover_baseht_1,-0.08172735609851292,-0.31815016765476234,0.11453420577848879,0.11014134906968925,-0.2106530562037171,0.11423446087547878,1.0,-0.13909361582505125,0.03361534159460558,-0.12741161533223205,0.08966046029814512,-0.11808544121727453,-0.15092082927936468,0.12273757802737048,0.0829048536266676,0.06591463129970958,-0.05238026811881838
KW,0.484516930090359,0.3882717736444433,-0.28367809451325476,-0.3251919979389286,0.5599732295038006,-0.2832438578178756,-0.13909361582505125,1.0,0.149770609215118,0.6078550476857905,-0.45825355112958666,0.6784183708680472,0.5800875026230645,-0.2584138224715319,-0.5097109323545508,-0.02799889721933871,-0.08059352458200998
KWS,-0.14257448980812673,0.12122570876065576,0.04635675240526516,0.034236930877019484,-0.040687876985992015,0.04717979992728749,0.03361534159460558,0.149770609215118,1.0,0.23507093144820385,-0.12997488198008234,0.21444730265791273,-0.21186856208567673,-0.028196560904465415,-0.09218647351580002,-0.0373639028940523,-0.7089060040228231
CHWTON,0.500869731410188,0.43571687937505676,-0.2816972417764259,-0.32757424877756175,0.6028942294639347,-0.28107869395910545,-0.12741161533223205,0.6078550476857905,0.23507093144820385,1.0,-0.5259852988522377,0.8557280668469271,0.37901368432897314,-0.20699426158543296,-0.5820644226346466,-0.13394760337264283,-0.16042115723119416
