,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,sky_cover_baseht_1,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,GHG,DayOfYear_sin,DayOfYear_cos,HourOfDay_sin,HourOfDay_cos
temperature,1.0,0.40414023318460285,-0.6195539340587213,-0.6787715354205486,0.8770603986023787,-0.6195937376463178,-0.12346927524530692,0.6641226650771077,-0.228437162411867,0.6925920119329303,-0.6297843636205539,0.6742480215332153,0.759441562551419,-0.273804520995473,-0.8074074135252732,-0.06290433325430503,0.3750426685531482
dew_point_temperature,0.40414023318460285,1.0,-0.2489928341425008,-0.2882388911770467,0.7789826421614281,-0.2483178050184637,-0.445513651626902,0.630269250625955,0.09392062911822346,0.6885787936968719,-0.42525183821619666,0.5619383500691763,0.5172898077670768,-0.5482085695803365,-0.40154036776747043,0.00027252137941859476,-0.12621172187627266
station_level_pressure,-0.6195539340587213,-0.2489928341425008,1.0,0.9952809593419252,-0.5359783674125151,0.9996892123632446,0.1933269612071047,-0.3914929095714257,0.0438917990529431,-0.39628450733822823,0.40233534209082555,-0.4200378522393518,-0.392666170089856,0.01458298501204931,0.6158541210151495,-0.14720554923513185,-0.1643676073598628
sea_level_pressure,-0.6787715354205486,-0.2882388911770467,0.9952809593419252,1.0,-0.5966749094071377,0.9954907257078283,0.19212318014042826,-0.4502036429208628,0.03143194130087633,-0.4621851996671005,0.45237503081961367,-0.4802014112106225,-0.4408176803591376,0.04888765726625667,0.6712232419685593,-0.13570514223570482,-0.1545066868621583
wet_bulb_temperature,0.8770603986023787,0.7789826421614281,-0.5359783674125151,-0.5966749094071377,1.0,-0.535588630081008,-0.30958440655346625,0.7781568723887001,-0.10180420676303129,0.8279100165444327,-0.6457890481757377,0.7504689364501941,0.7806314100685159,-0.4583366723822136,-0.7583274340648861,-0.041928927454187984,0.18625075647339293
altimeter,-0.6195937376463178,-0.2483178050184637,0.9996892123632446,0.9954907257078283,-0.535588630081008,1.0,0.19307261020823563,-0.39099776368917516,0.0445422167694749,-0.39554511809599474,0.40197310517230656,-0.4193832365797585,-0.3924727327523726,0.013922797026777007,0.6158353643211187,-0.14775328467969392,-0.1653567837559427
sky_cover_baseht_1,-0.12346927524530692,-0.445513651626902,0.1933269612071047,0.19212318014042826,-0.30958440655346625,0.19307261020823563,1.0,-0.21780427654993403,0.05955432659989565,-0.21007421134759244,0.11757014942087782,-0.19164720598555418,-0.22705894294724532,0.17526733460984711,0.13651503700295234,0.09056973440868502,-0.06762975676892506
KW,0.6641226650771077,0.630269250625955,-0.3914929095714257,-0.4502036429208628,0.7781568723887001,-0.39099776368917516,-0.21780427654993403,1.0,0.22182867227063885,0.8197711513592023,-0.5547554198522248,0.827726276881544,0.754573597394843,-0.407441346018826,-0.691565684660206,-0.039295576820317694,-0.12829514350139712
KWS,-0.228437162411867,0.09392062911822346,0.0438917990529431,0.03143194130087633,-0.10180420676303129,0.0445422167694749,0.05955432659989565,0.22182867227063885,1.0,0.30814163636639696,-0.1485724399350289,0.2697512342880846,-0.37811964331756664,0.04036419654563754,-0.12582486201925625,-0.10011228876142732,-0.8353857546797772
CHWTON,0.6925920119329303,0.6885787936968719,-0.39628450733822823,-0.4621851996671005,0.8279100165444327,-0.39554511809599474,-0.21007421134759244,0.8197711513592023,0.30814163636639696,1.0,-0.6265450011704337,0.9033708722113135,0.5911070965896656,-0.3602366682189565,-0.7807750404062486,-0.19346717399813235,-0.2373342628430132
HTmmBTU,-0.6297843636205539,-0.42525183821619666,0.40233534209082555,0.45237503081961367,-0.6457890481757377,0.40197310517230656,0.11757014942087782,-0.5547554198522248,-0.1485724399350289,-0.6265450011704337,1.0,-0.590113593014933,-0.4486576921936384,0.3175902114707413,0.612030519523061,0.12559087566944294,0.04054910922943829
Combined mmBTU,0.6742480215332153,0.5619383500691763,-0.4200378522393518,-0.4802014112106225,0.7504689364501941,-0.4193832365797585,-0.19164720598555418,0.827726276881544,0.2697512342880846,0.9033708722113135,-0.590113593014933,1.0,0.6333536468346441,-0.2964612868054133,-0.7847459800165738,-0.13662738833630772,-0.1908516563931222
GHG,0.759441562551419,0.5172898077670768,-0.392666170089856,-0.4408176803591376,0.7806314100685159,-0.3924727327523726,-0.22705894294724532,0.754573597394843,-0.37811964331756664,0.5911070965896656,-0.4486576921936384,0.6333536468346441,1.0,-0.43274716840441263,-0.5641386609275241,0.02167424039127623,0.3678387830850709
DayOfYear_sin,-0.273804520995473,-0.5482085695803365,0.01458298501204931,0.04888765726625667,-0.4583366723822136,0.013922797026777007,0.17526733460984711,-0.407441346018826,0.04036419654563754,-0.3602366682189565,0.3175902114707413,-0.2964612868054133,-0.43274716840441263,1.0,-1.604496818421412e-15,3.4921153444621297e-16,-1.1257391794996957e-15
DayOfYear_cos,-0.8074074135252732,-0.40154036776747043,0.6158541210151495,0.6712232419685593,-0.7583274340648861,0.6158353643211187,0.13651503700295234,-0.691565684660206,-0.12582486201925625,-0.7807750404062486,0.612030519523061,-0.7847459800165738,-0.5641386609275241,-1.604496818421412e-15,1.0,-1.9695486309462156e-05,7.350213355793423e-05
HourOfDay_sin,-0.06290433325430503,0.00027252137941859476,-0.14720554923513185,-0.13570514223570482,-0.041928927454187984,-0.14775328467969392,0.09056973440868502,-0.039295576820317694,-0.10011228876142732,-0.19346717399813235,0.12559087566944294,-0.13662738833630772,0.02167424039127623,3.4921153444621297e-16,-1.9695486309462156e-05,1.0,-1.9024427375117595e-05
HourOfDay_cos,0.3750426685531482,-0.12621172187627266,-0.1643676073598628,-0.1545066868621583,0.18625075647339293,-0.1653567837559427,-0.06762975676892506,-0.12829514350139712,-0.8353857546797772,-0.2373342628430132,0.04054910922943829,-0.1908516563931222,0.3678387830850709,-1.1257391794996957e-15,7.350213355793423e-05,-1.9024427375117595e-05,1.0
