,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,sky_cover_baseht_1,KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,GHG,DayOfYear_sin,DayOfYear_cos,HourOfDay_sin,HourOfDay_cos
temperature,1.0,0.3927763167638537,-0.623508501928249,-0.6866241114262825,0.8912537569820798,-0.6236426233951146,-0.11241155582579841,0.6912551636080062,-0.2074917652788275,0.7189084303410852,-0.6764442263257918,0.7301216169677835,0.7725797366969142,-0.27687375563467065,-0.8086460923869156,-0.0838404418607542,0.3608822375734801
dew_point_temperature,0.3927763167638537,1.0,-0.22452144291518197,-0.26478589892702753,0.7311183373292166,-0.22371692500767137,-0.45431838489795695,0.5568298950390271,0.1788410400203756,0.6123079873705536,-0.46888790538998604,0.5484904037119389,0.47666181380568623,-0.5373110737626985,-0.36043203842630583,0.01037719208084663,-0.12584315480374583
station_level_pressure,-0.623508501928249,-0.22452144291518197,1.0,0.9940488011476437,-0.5439910368054937,0.9995046128771787,0.17139939243500205,-0.426846306053963,0.07028187329903626,-0.43135187288382537,0.42046132399017266,-0.46676113578724127,-0.4033677527824538,0.009079111929789255,0.6159122355284592,-0.14234351387332148,-0.1700448340176573
sea_level_pressure,-0.6866241114262825,-0.26478589892702753,0.9940488011476437,1.0,-0.60759182609002,0.994452110851429,0.16776694162887948,-0.4887859334674197,0.052400436789098094,-0.5005085546427799,0.47781264288241776,-0.5340173212386491,-0.4548425268253107,0.04432413679894909,0.6742972014056642,-0.13132428681892297,-0.16052579298677094
wet_bulb_temperature,0.8912537569820798,0.7311183373292166,-0.5439910368054937,-0.60759182609002,1.0,-0.5436121265596285,-0.293112405936589,0.7621766838082683,-0.06026836500879921,0.8097941219073757,-0.7021992218325954,0.7904646245941225,0.7781087960117942,-0.4390730704934849,-0.7550440259278023,-0.05736935279425443,0.19246334468720536
altimeter,-0.6236426233951146,-0.22371692500767137,0.9995046128771787,0.994452110851429,-0.5436121265596285,1.0,0.17098814735363016,-0.4261921625789553,0.07152950515467246,-0.43046337793449496,0.41999806704338166,-0.4660110685324633,-0.40313636050956025,0.008151938970698186,0.6159371208544704,-0.14314657764651695,-0.17133603773950387
sky_cover_baseht_1,-0.11241155582579841,-0.45431838489795695,0.17139939243500205,0.16776694162887948,-0.293112405936589,0.17098814735363016,1.0,-0.19430724900173266,0.04971246000772601,-0.1783517478275619,0.13021264598746896,-0.1661810619404398,-0.21427169781086003,0.17979889409576516,0.1205586336630213,0.09260902248682219,-0.0765481959047524
KW,0.6912551636080062,0.5568298950390271,-0.426846306053963,-0.4887859334674197,0.7621766838082683,-0.4261921625789553,-0.19430724900173266,1.0,0.22796293791138728,0.7934092322369766,-0.6492011440974291,0.8635010588585451,0.7380959544147392,-0.3912964903639613,-0.7184395236321052,-0.041641174952833516,-0.11727992373212354
KWS,-0.2074917652788275,0.1788410400203756,0.07028187329903626,0.052400436789098094,-0.06026836500879921,0.07152950515467246,0.04971246000772601,0.22796293791138728,1.0,0.35490855472622385,-0.19318074247852174,0.3255277240890098,-0.31215223095483446,-0.039390543520560414,-0.14018534958267528,-0.058024212057745876,-0.8784392061394249
CHWTON,0.7189084303410852,0.6123079873705536,-0.43135187288382537,-0.5005085546427799,0.8097941219073757,-0.43046337793449496,-0.1783517478275619,0.7934092322369766,0.35490855472622385,1.0,-0.7033933145255081,0.9607056874478903,0.5610302323085274,-0.3253985469193282,-0.7985872259952275,-0.1952734690708414,-0.2339655149627573
HTmmBTU,-0.6764442263257918,-0.46888790538998604,0.42046132399017266,0.47781264288241776,-0.7021992218325954,0.41999806704338166,0.13021264598746896,-0.6492011440974291,-0.19318074247852174,-0.7033933145255081,1.0,-0.6944967867158289,-0.5258609320088945,0.3387264957749509,0.6676457069825499,0.10931778710234001,0.05462084817807082
Combined mmBTU,0.7301216169677835,0.5484904037119389,-0.46676113578724127,-0.5340173212386491,0.7904646245941225,-0.4660110685324633,-0.1661810619404398,0.8635010588585451,0.3255277240890098,0.9607056874478903,-0.6944967867158289,1.0,0.614091666387433,-0.30343888898968596,-0.8241646196351957,-0.15580339005613345,-0.20418159455237572
GHG,0.7725797366969142,0.47666181380568623,-0.4033677527824538,-0.4548425268253107,0.7781087960117942,-0.40313636050956025,-0.21427169781086003,0.7380959544147392,-0.31215223095483446,0.5610302323085274,-0.5258609320088945,0.614091666387433,1.0,-0.43243117140210685,-0.5679781446985325,-0.010318922395905426,0.38196091899561846
DayOfYear_sin,-0.27687375563467065,-0.5373110737626985,0.009079111929789255,0.04432413679894909,-0.4390730704934849,0.008151938970698186,0.17979889409576516,-0.3912964903639613,-0.039390543520560414,-0.3253985469193282,0.3387264957749509,-0.30343888898968596,-0.43243117140210685,1.0,0.002082962642068978,0.0,0.0
DayOfYear_cos,-0.8086460923869156,-0.36043203842630583,0.6159122355284592,0.6742972014056642,-0.7550440259278023,0.6159371208544704,0.1205586336630213,-0.7184395236321052,-0.14018534958267528,-0.7985872259952275,0.6676457069825499,-0.8241646196351957,-0.5679781446985325,0.002082962642068978,1.0,-2.3751645063849023e-05,9.502729357762212e-05
HourOfDay_sin,-0.0838404418607542,0.01037719208084663,-0.14234351387332148,-0.13132428681892297,-0.05736935279425443,-0.14314657764651695,0.09260902248682219,-0.041641174952833516,-0.058024212057745876,-0.1952734690708414,0.10931778710234001,-0.15580339005613345,-0.010318922395905426,0.0,-2.3751645063849023e-05,1.0,-0.008730179225028943
HourOfDay_cos,0.3608822375734801,-0.12584315480374583,-0.1700448340176573,-0.16052579298677094,0.19246334468720536,-0.17133603773950387,-0.0765481959047524,-0.11727992373212354,-0.8784392061394249,-0.2339655149627573,0.05462084817807082,-0.20418159455237572,0.38196091899561846,0.0,9.502729357762212e-05,-0.008730179225028943,1.0
