test mae 690.1977 | test mape 6.0193 | test corr 0.9468 | test rmse 1149.1426
test mae 669.1155 | test mape 5.8250 | test corr 0.9480 | test rmse 1121.8109
test mae 670.5686 | test mape 5.9244 | test corr 0.9483 | test rmse 1122.9851
test mae 658.1402 | test mape 5.7239 | test corr 0.9489 | test rmse 1110.9823
test mae 659.1870 | test mape 5.7269 | test corr 0.9493 | test rmse 1105.4052
test mae 650.0073 | test mape 5.6825 | test corr 0.9493 | test rmse 1095.2959
test mae 666.5560 | test mape 5.8099 | test corr 0.9480 | test rmse 1122.0172
test mae 649.4731 | test mape 5.6703 | test corr 0.9495 | test rmse 1095.9994
test mae 643.4421 | test mape 5.6388 | test corr 0.9493 | test rmse 1093.3570
test mae 650.8098 | test mape 5.7796 | test corr 0.9499 | test rmse 1087.7014
test mae 648.8704 | test mape 5.6412 | test corr 0.9499 | test rmse 1090.5241
test mae 637.4489 | test mape 5.5847 | test corr 0.9504 | test rmse 1073.2584
test mae 640.6086 | test mape 5.5975 | test corr 0.9502 | test rmse 1077.7932
test mae 641.9193 | test mape 5.6825 | test corr 0.9499 | test rmse 1080.5717
test mae 642.1333 | test mape 5.6401 | test corr 0.9501 | test rmse 1080.1036
test mae 634.4955 | test mape 5.5919 | test corr 0.9504 | test rmse 1065.1660
test mae 633.7332 | test mape 5.6239 | test corr 0.9505 | test rmse 1064.1871
test mae 632.8976 | test mape 5.6929 | test corr 0.9507 | test rmse 1058.7561
test mae 631.6871 | test mape 5.6045 | test corr 0.9506 | test rmse 1062.5286
test mae 622.7703 | test mape 5.5633 | test corr 0.9513 | test rmse 1050.4849
test mae 620.7573 | test mape 5.5518 | test corr 0.9515 | test rmse 1047.3637
test mae 623.5754 | test mape 5.5804 | test corr 0.9513 | test rmse 1057.8278
test mae 620.8831 | test mape 5.6307 | test corr 0.9517 | test rmse 1047.1558
test mae 612.5678 | test mape 5.5262 | test corr 0.9521 | test rmse 1037.5083
test mae 614.2944 | test mape 5.5454 | test corr 0.9524 | test rmse 1039.7959
test mae 616.4294 | test mape 5.5489 | test corr 0.9522 | test rmse 1037.5420
test mae 611.4807 | test mape 5.5414 | test corr 0.9529 | test rmse 1033.9889
test mae 616.4857 | test mape 5.5739 | test corr 0.9522 | test rmse 1045.2497
test mae 613.1155 | test mape 5.5456 | test corr 0.9524 | test rmse 1039.5381
test mae 617.9927 | test mape 5.5990 | test corr 0.9523 | test rmse 1043.9849
test mae 614.0978 | test mape 5.5365 | test corr 0.9524 | test rmse 1042.1345
test mae 617.1517 | test mape 5.5988 | test corr 0.9524 | test rmse 1046.2898
test mae 690.1977 | test mape 6.0193 | test corr 0.9468 | test rmse 1149.1426
test mae 669.1155 | test mape 5.8250 | test corr 0.9480 | test rmse 1121.8109
test mae 670.5686 | test mape 5.9244 | test corr 0.9483 | test rmse 1122.9851
test mae 658.1402 | test mape 5.7239 | test corr 0.9489 | test rmse 1110.9823
test mae 659.1870 | test mape 5.7269 | test corr 0.9493 | test rmse 1105.4052
test mae 650.0073 | test mape 5.6825 | test corr 0.9493 | test rmse 1095.2959
test mae 666.5560 | test mape 5.8099 | test corr 0.9480 | test rmse 1122.0172
test mae 649.4731 | test mape 5.6703 | test corr 0.9495 | test rmse 1095.9994
test mae 643.4421 | test mape 5.6388 | test corr 0.9493 | test rmse 1093.3570
test mae 650.8098 | test mape 5.7796 | test corr 0.9499 | test rmse 1087.7014
test mae 648.8704 | test mape 5.6412 | test corr 0.9499 | test rmse 1090.5241
test mae 637.4489 | test mape 5.5847 | test corr 0.9504 | test rmse 1073.2584
test mae 640.6086 | test mape 5.5975 | test corr 0.9502 | test rmse 1077.7932
test mae 641.9193 | test mape 5.6825 | test corr 0.9499 | test rmse 1080.5717
test mae 642.1333 | test mape 5.6401 | test corr 0.9501 | test rmse 1080.1036
test mae 634.4955 | test mape 5.5919 | test corr 0.9504 | test rmse 1065.1660
test mae 633.7332 | test mape 5.6239 | test corr 0.9505 | test rmse 1064.1871
test mae 632.8976 | test mape 5.6929 | test corr 0.9507 | test rmse 1058.7561
test mae 631.6871 | test mape 5.6045 | test corr 0.9506 | test rmse 1062.5286
test mae 622.7703 | test mape 5.5633 | test corr 0.9513 | test rmse 1050.4849
test mae 620.7573 | test mape 5.5518 | test corr 0.9515 | test rmse 1047.3637
test mae 623.5754 | test mape 5.5804 | test corr 0.9513 | test rmse 1057.8278
test mae 620.8831 | test mape 5.6307 | test corr 0.9517 | test rmse 1047.1558
test mae 612.5678 | test mape 5.5262 | test corr 0.9521 | test rmse 1037.5083
test mae 614.2944 | test mape 5.5454 | test corr 0.9524 | test rmse 1039.7959
test mae 616.4294 | test mape 5.5489 | test corr 0.9522 | test rmse 1037.5420
test mae 611.4807 | test mape 5.5414 | test corr 0.9529 | test rmse 1033.9889
test mae 616.4857 | test mape 5.5739 | test corr 0.9522 | test rmse 1045.2497
final test mae 616.4857 | test mape 5.5739 | test corr 0.9522 | test rmse 1045.2497
test mae 690.1977 | test mape 6.0193 | test corr 0.9468 | test rmse 1149.1426
test mae 669.1155 | test mape 5.8250 | test corr 0.9480 | test rmse 1121.8109
test mae 670.5686 | test mape 5.9244 | test corr 0.9483 | test rmse 1122.9851
test mae 658.1402 | test mape 5.7239 | test corr 0.9489 | test rmse 1110.9823
test mae 659.1870 | test mape 5.7269 | test corr 0.9493 | test rmse 1105.4052
