test_y,predicted_values
29756.691,30542.377
27970.143,28146.266
26509.508,26223.13
25129.543,24576.887
23070.81,23031.096
22076.268,21578.756
20454.578,20321.248
19223.84,19399.979
18935.88,18573.97
18400.105,18189.344
18668.24,18272.197
18780.846,18890.479
20530.0,19638.531
22161.129,21003.469
21904.86,23173.598
23124.19,24691.867
24678.7,26132.697
27303.875,27164.336
29207.783,28676.506
28792.219,30113.143
29972.113,30087.768
29647.553,30356.117
29322.992,29808.45
28998.434,28880.14
28673.875,27537.924
26679.93,26318.553
25420.988,24745.809
24006.69,23477.23
22398.662,22190.781
20883.875,20784.904
19923.275,19452.71
19118.908,18579.303
17874.578,18018.379
17342.395,17380.7
17983.205,17346.826
19462.254,18087.418
19301.867,19426.123
20618.592,20024.945
23199.12,21314.746
25686.621,23888.863
27243.943,26507.441
29402.184,28447.41
30547.607,30242.305
31658.17,31367.334
32144.861,32096.07
32550.67,32174.031
32524.72,31948.305
31828.062,31285.19
30289.473,29901.12
27572.994,28049.654
26353.734,25746.41
25079.05,24110.121
23639.33,22810.713
22164.402,21435.42
21255.6,20194.36
20664.297,19474.9
20123.064,19028.184
19363.662,18985.68
19947.254,19215.104
21831.727,20057.033
22786.762,21679.26
23363.135,23150.244
25805.389,24616.055
28676.516,27236.19
30542.643,30032.201
32568.379,31977.402
34072.29,33626.88
35836.445,34953.094
36563.207,35749.73
37567.36,35858.516
37173.207,36203.246
36779.05,35295.78
34755.637,34016.473
32546.902,31969.143
31059.084,29912.219
27791.338,28322.504
25586.092,26140.521
23249.965,24139.457
21858.38,22234.39
20731.797,20977.578
20103.488,20077.514
19525.178,19744.22
19933.31,19886.037
21484.367,20655.566
23554.402,21885.256
24418.275,23778.266
25957.57,25483.15
29042.643,27518.596
32533.418,30396.963
34709.086,33472.812
35958.1,35661.355
37103.273,36765.047
39256.516,37730.855
39169.613,38751.316
39428.17,38544.453
38696.76,37772.332
35575.387,36133.64
32995.6,33496.492
30222.078,30943.229
28035.354,28307.354
26391.373,26041.664
25586.338,24563.11
22777.924,23330.578
21774.648,21885.674
20648.734,21029.006
20139.295,20501.713
20369.93,20638.424
21356.34,21400.73
23359.932,22592.635
23725.986,24379.494
26195.775,25814.02
28667.818,28252.74
31635.951,30856.445
33951.094,33505.117
35844.86,35437.062
37594.65,36989.902
38997.89,38255.926
39337.324,38897.36
39350.355,38759.7
37485.918,37824.227
35555.457,35686.16
33035.883,33175.87
31397.078,30795.008
29089.156,29009.14
26799.824,27243.66
24787.254,25251.562
22772.746,23498.992
21538.346,22050.084
20353.908,21133.545
19737.078,20487.166
20005.281,20461.713
21972.184,21109.771
23625.951,22728.24
23311.514,24658.604
24373.451,25911.146
28490.6,27580.768
32611.023,30659.896
34368.49,33962.336
35154.613,36075.23
36464.367,37181.355
37295.25,37843.582
38334.156,37858.254
38159.93,37895.008
38110.496,36935.375
35677.71,35451.402
33321.62,33020.418
31100.035,30804.693
28479.191,28761.994
25797.889,26675.143
23387.502,24481.361
22671.725,22491.127
21313.31,21359.227
20659.613,20439.635
19979.72,20134.451
20045.562,20303.684
21044.121,21010.023
22079.156,21983.613
22703.346,23127.059
24855.6,24455.438
27542.572,26862.09
30168.451,29367.977
32298.627,31773.309
33808.7,33374.855
34799.79,34636.645
35692.36,35524.76
36350.35,35800.72
36230.105,35672.785
35203.027,34787.71
32993.418,33146.754
29868.31,30631.541
27487.816,27900.426
25506.094,25706.44
23675.107,23788.697
21569.016,22364.42
20353.275,20531.838
19790.387,19379.871
19214.648,18890.557
18277.5,18797.438
17816.797,18887.516
18772.254,19177.479
19402.5,19920.541
20744.014,20710.209
22974.965,22338.88
25610.037,24909.95
27436.797,27534.242
28837.008,29294.03
30273.38,30631.63
31280.496,31733.283
31995.457,32324.262
31261.451,32307.059
30527.45,31413.4
29793.443,30008.73
29059.438,28168.064
27082.361,26378.172
24928.17,24704.627
23757.607,23075.414
22057.184,21753.113
20538.346,20487.875
19763.697,19324.422
18635.21,18625.1
17681.902,17960.123
17494.684,17424.18
16842.113,17545.984
18179.648,17764.326
18295.0,18724.725
18932.113,19422.705
20503.346,20750.355
23363.488,22731.17
25099.824,25271.58
26974.754,26869.1
27715.281,28335.021
28012.605,29039.19
27431.445,29146.121
26850.283,28446.168
26269.12,27361.225
25687.959,25980.943
23909.438,24184.621
21942.395,22129.832
20664.791,20144.947
19742.078,18711.828
18504.578,17576.96
17424.684,16420.936
16745.635,15504.594
16611.338,15016.576
15577.889,14761.695
15478.697,14346.25
16506.057,14472.9795
17407.994,15499.612
18338.416,16619.55
18817.678,17833.865
20989.402,19276.014
23475.74,21792.646
25903.488,24405.16
27863.98,26461.592
27790.389,27989.195
28202.29,28307.371
28654.438,28410.484
28733.17,28174.725
28929.402,27824.613
27913.945,27143.111
25995.035,25567.37
24263.275,23419.701
22281.62,21695.102
20697.572,20223.459
18989.086,18789.967
17829.473,17495.062
17070.6,16286.351
16588.557,15525.711
16083.663,15153.742
15615.704,14926.665
15346.162,14958.531
16066.655,15315.4795
17153.31,16078.578
17303.908,17159.7
18915.07,18440.29
22081.268,20526.639
24803.592,23262.424
25575.635,25491.67
27296.762,26460.93
28362.326,27540.781
28970.105,28378.223
29302.783,28636.46
29278.559,28465.025
28409.367,27697.23
26317.5,26145.42
23998.662,23949.393
21977.887,21898.477
20656.727,20237.816
19331.268,18765.658
18257.43,17681.299
17114.824,16685.514
16421.303,15796.965
15760.704,15215.404
15413.416,14793.804
15264.931,14815.816
15974.789,15175.77
17162.43,15928.272
17670.389,16996.494
20261.127,18610.941
23660.494,21396.402
25949.367,24561.396
26949.543,26938.986
28254.93,28092.607
29835.918,29066.994
30579.473,30079.744
31762.291,30442.105
30851.68,30802.223
29941.07,29809.617
29030.459,28095.21
26743.064,26318.23
25127.465,24476.97
23203.697,23035.72
20811.057,21471.104
19679.543,19723.885
18426.057,18365.734
17618.592,17436.105
17177.008,16688.398
16609.084,16375.471
17505.318,16263.013
19028.346,17065.406
19999.86,18499.744
19259.05,20073.055
21947.008,21295.537
24975.354,23911.312
28118.627,26657.877
29869.227,29233.707
31261.727,30942.867
32763.84,32214.465
