test_y,predicted_values
18092.67,18440.494
17662.08,17690.541
17345.469,17448.797
17107.35,17673.543
19826.95,17889.148
19630.67,18981.434
19162.719,18859.889
18683.52,18299.846
18201.28,17753.246
18097.8,17215.615
17966.049,17206.963
18745.365,17479.367
19524.682,17964.48
20303.998,18402.54
21083.312,19232.162
21862.629,20385.504
21037.8,21450.287
20212.97,21237.582
20877.92,20634.602
20652.049,20616.156
20820.78,20417.555
21024.25,20368.588
21058.02,20169.145
20741.5,20013.936
20413.951,19601.2
19847.33,19158.406
19029.92,18810.553
18386.13,18841.824
17844.379,18811.701
17040.379,18154.97
16450.549,16969.672
15999.2705,15972.881
15050.63,15388.401
15359.687,14771.025
15668.743,14993.641
15977.799,15692.678
16045.5,16393.541
16359.25,16602.965
17182.72,17043.01
18339.92,17990.795
19767.42,18779.994
20743.33,19414.93
21091.95,20142.94
21477.95,20633.338
21573.82,20989.795
21559.078,21018.541
21507.55,20738.885
21215.28,20383.396
20942.5,19821.166
19726.47,19219.186
19603.15,18476.143
18735.55,18515.158
18191.9,18550.666
17434.13,17927.258
17007.4,16835.486
16594.7,16068.589
16835.416,15606.097
17076.13,15704.179
17316.848,16290.645
17557.564,17106.043
17798.28,17750.264
18442.469,18113.504
20004.77,18808.965
20921.25,20374.236
21064.129,21399.44
19702.5,21364.73
20327.049,20765.4
19613.0,20769.977
19039.031,20394.588
20745.85,19817.594
20596.33,20131.395
19968.781,19926.596
19525.85,19322.928
19166.7,18705.244
19450.2,18448.955
19448.25,18861.295
20033.14,19293.025
20618.03,19485.39
19863.45,19491.252
19506.568,19010.957
19036.43,18570.398
18734.25,18296.965
18710.42,18240.066
19114.8,18571.342
19328.879,18919.13
19250.016,19275.062
19171.15,19469.754
20532.0,19794.402
22280.35,20546.816
21364.67,21386.584
21721.4,21360.46
22004.0,21498.02
22447.219,21836.166
22328.398,22236.248
21823.83,22084.656
21248.8,21562.62
20417.08,20712.553
19935.28,19952.445
18044.951,19631.03
18504.93,18993.371
22006.38,18951.605
21101.33,20500.21
19900.1,20433.074
19720.15,19433.045
18955.92,18858.867
18679.379,18398.875
18529.0,18326.254
18834.9,18586.496
19709.668,18899.045
19056.186,19439.686
18402.7,19643.822
19793.479,19865.795
21037.15,20459.205
20425.68,21053.287
20512.299,20972.32
20980.35,20954.805
21115.75,21240.523
21262.701,21303.994
21082.168,21123.414
20810.469,20707.092
19987.58,20129.137
19415.969,19387.016
18609.38,19020.615
18961.1,19071.834
19503.266,19531.44
20045.434,19608.512
20587.6,19485.012
19793.78,19463.195
19130.9,19142.338
18867.17,18684.242
18803.88,18525.832
19401.0,18798.96
20264.58,19309.857
20096.164,19858.7
19927.746,20035.688
19759.33,20372.535
19885.215,20518.3
20011.1,20445.145
20682.549,20414.387
20944.25,20736.973
21279.42,20995.865
21411.6,21136.166
21216.398,21110.988
20706.65,20715.074
20106.299,20073.516
19393.02,19264.76
18470.57,18847.049
19277.549,18701.473
20024.79,19255.318
20772.03,19682.568
20317.201,19862.238
19454.47,19493.758
19229.15,18801.688
18887.98,18483.02
19003.7,18510.598
19221.2,18924.668
18814.65,19225.865
19002.916,19053.402
19191.184,18983.195
19379.45,19271.506
20824.1,19453.21
20157.48,19974.898
20109.75,20038.646
20317.53,20111.613
20364.75,20300.043
20196.18,20363.88
19908.75,20106.396
19483.83,19528.828
18784.03,18951.793
17956.25,18177.357
17180.451,17639.36
17233.15,17537.287
20310.97,17700.822
19528.22,19134.418
18995.9,18916.426
18736.78,18256.375
18378.68,17914.424
17896.55,17803.824
17530.1,17695.111
16815.58,17642.84
16895.0,17329.418
16980.693,17135.316
17066.387,17260.918
17152.08,17737.686
18008.13,18128.13
19004.469,18461.06
19815.92,19093.893
20176.45,19802.807
20419.129,20243.76
20225.104,20248.277
20031.076,19843.906
19837.05,19322.008
18696.18,18871.219
18231.33,18011.729
17472.6,17533.396
16841.35,17452.98
16455.129,17389.342
15751.72,16856.445
15230.15,15826.575
14241.6,14865.77
13923.42,14128.272
13807.351,13789.734
13556.38,13821.793
14126.85,13998.325
14484.579,14358.832
15109.199,14627.668
15735.75,15359.801
17664.85,16353.152
18468.57,17787.777
19874.969,18548.598
20064.8,19485.525
20466.23,19862.705
20393.068,20121.277
20234.9,19953.768
19898.35,19455.98
19304.3,18817.121
18541.95,17890.943
17425.88,17039.895
16634.75,16188.681
15391.55,15890.129
15123.569,15500.413
14556.6,14885.922
14289.25,13993.902
13910.63,13435.481
14012.31,13109.953
14113.989,13142.743
14215.67,13431.942
14317.35,13970.377
15189.92,14458.134
15781.73,15192.246
17135.55,16007.126
18565.648,17341.06
19181.38,18644.578
18859.47,19181.904
18971.53,19180.855
18953.75,19061.13
18967.15,18913.533
18914.4,18642.98
18962.75,18231.59
18353.4,17814.748
17652.1,17102.639
16946.73,16329.542
16426.316,15906.985
15905.899,16000.809
18295.28,16017.228
17884.15,16976.781
17242.55,16864.172
17065.25,16233.003
16510.969,15948.9
16194.449,15628.678
16038.8,15539.625
16697.67,15727.082
17018.0,16268.235
16584.914,16621.555
16151.83,16716.562
17632.03,16899.62
17655.889,17764.547
17679.75,17996.715
17791.9,17944.883
18009.08,18117.168
18001.68,18257.65
17856.28,18145.668
17562.8,17826.43
17055.129,17404.127
16399.7,16671.111
15878.529,15983.744
16072.98,15633.975
16267.43,16050.036
18729.201,16564.059
18166.5,17766.646
17483.65,17673.277
16993.82,16887.945
16760.719,16358.889
16180.199,15953.21
16257.4,15709.187
16712.229,15830.865
15544.83,16260.386
15810.25,15825.351
16075.669,15907.387
18102.35,16518.559
19233.3,17803.135
18454.05,18756.66
18844.83,18799.31
19212.4,18925.717
19149.15,19153.977
19296.13,19105.436
19042.92,18936.703
18639.328,18470.36
17930.22,17900.176
17376.4,17366.98
17101.328,17134.543
16889.88,17373.738
19110.13,17597.082
18562.2,18433.29
17863.03,18135.45
17275.719,17394.186
17204.22,16769.71
16832.5,16559.203
16984.33,16471.297
17361.7,16716.342
17365.03,17099.166
17603.229,17341.887
17841.43,17729.197
18079.629,18480.979
18629.588,18955.523
19179.549,19262.531
18945.42,19499.61
18777.5,19531.072
19036.469,19331.506
19210.6,19212.984
19077.25,18985.066
18342.469,18572.29
18105.65,17871.514
17880.969,17559.701
17186.6,17552.451
17663.85,17763.855
18344.676,18353.182
19025.498,18568.912
18586.7,18586.941
18001.55,18232.621
17500.3,17833.21
16739.6,17479.611
17199.6,17040.348
17848.549,17194.982
18523.398,17724.445
18351.6,18266.871
18179.8,18457.31
18008.0,18921.098
19219.6,19081.508
19247.879,19561.541
19827.52,19643.137
20040.0,19974.418
20207.68,20177.357
20048.92,20185.477
19811.7,19812.059
19312.45,19337.076
18594.701,18831.207
17902.92,18313.574
18673.996,17749.7
19445.072,18219.494
20216.15,19030.283
19689.95,19589.314
19205.25,19234.633
18746.32,18532.852
18479.85,18120.902
18421.129,17807.191
18361.4,18012.906
18779.28,18228.428
19066.248,18622.613
19009.969,18899.215
18472.44,19182.318
17934.91,19236.336
17397.38,19117.352
18016.031,18737.898
18322.17,18849.312
18393.65,18978.295
18721.049,18950.105
18663.629,18930.041
18452.4,18564.414
20057.049,18139.695
21557.55,18542.686
21313.35,19561.111
21069.148,19921.115
20824.95,20197.72
20580.75,20314.453
19661.2,19899.516
18963.25,18746.266
18387.78,17837.111
17683.67,17200.68
17687.062,16618.09
17690.455,16602.793
17693.848,16839.977
17697.242,17044.916
17700.633,17072.76
17704.027,17321.953
17707.42,17748.764
18684.22,18016.658
19424.33,18469.242
20394.48,19045.922
20209.6,19770.885
20413.67,19871.717
20436.3,19948.477
20096.129,19785.727
19961.65,19558.53
19475.5,19289.451
18433.201,18693.848
17539.53,17945.928
16824.95,17465.492
16511.85,17081.996
15775.05,16262.551
15793.9,15196.789
15404.449,14651.227
15603.505,14451.792
15802.56,14627.777
16001.614,15192.499
16200.67,15866.835
17304.5,16384.477
17414.45,17076.408
17747.58,17563.65
18667.7,18094.549
18834.865,18908.084
19002.03,19260.428
18880.629,19299.531
19136.92,19231.629
19211.4,19171.66
19142.969,19036.504
18842.6,18711.504
18455.9,18375.52
17767.469,17928.99
17141.53,17229.219
16478.049,16724.701
16569.5,16548.188
19039.102,16642.453
18611.328,17656.982
18187.83,17690.756
17696.65,17244.43
17393.898,16936.484
17078.17,16768.781
17021.72,16763.719
17645.1,16966.025
17738.72,17367.96
17311.549,17461.514
16884.38,17293.656
18488.799,17332.879
19103.879,18252.031
18471.398,18852.14
18878.129,18815.334
19074.03,18967.377
19007.629,19096.598
19017.52,18993.012
19011.549,18710.78
18480.719,18436.951
17782.42,17882.145
17118.03,17246.541
17145.314,16834.363
17172.6,17086.258
19366.8,17386.994
19000.219,18129.062
18346.08,17937.842
18116.879,17390.074
17626.281,17142.188
17262.65,16825.375
17100.35,16720.262
17530.67,16747.645
18302.95,16999.244
17929.25,17362.045
17555.549,17441.25
18819.3,17705.734
19721.75,18579.342
18920.95,19254.291
19510.352,19211.309
19843.42,19347.453
19705.63,19595.35
19467.18,19455.227
19174.8,19024.656
18494.17,18621.543
17749.3,17986.771
17150.898,17369.975
16159.099,16957.643
17203.01,16764.854
18246.92,17223.682
18102.5,17695.67
17516.6,17363.777
16981.799,16903.691
16480.898,16522.654
16359.2,16140.923
16593.73,16149.788
16726.75,16503.617
17211.78,16769.012
16562.414,16903.932
15913.05,16645.186
17378.58,16647.213
18376.95,17443.467
18069.3,18188.797
18265.92,18408.389
17804.75,18576.154
17860.92,18287.135
17827.248,18019.025
17432.9,17621.123
16921.47,17237.262
16210.101,16796.115
15566.17,16179.671
14792.17,15875.216
15123.379,15716.182
17489.379,16029.63
16978.08,16914.545
16287.0205,16665.428
15481.949,16018.9
16083.08,15498.249
15560.72,15638.631
15051.6,15681.142
15806.47,15674.709
16971.78,16023.032
16070.83,16464.855
15169.88,16169.967
16473.0,16100.603
17468.0,16752.365
17681.95,17292.246
17144.07,17678.367
17367.898,17631.154
17364.0,17693.846
17512.28,17513.62
17518.879,17285.84
16649.5,17267.543
15826.319,16804.062
15280.75,15996.097
14707.919,15494.273
14981.7,15453.767
17912.08,15720.417
17758.05,16809.902
17254.53,16900.074
16373.399,16548.312
15974.099,15953.136
15759.529,15530.954
15769.5205,15437.599
14787.63,15725.051
14735.6,15375.0205
14264.97,14784.912
14320.149,14458.658
15104.649,14749.563
15266.42,15507.444
16308.349,15707.814
17033.799,16304.847
17597.729,16911.602
17445.537,17438.887
17293.344,17405.629
17141.15,17093.11
16988.957,16810.225
16836.764,16429.479
16684.572,16044.89
16532.38,15958.953
15961.051,16282.1455
14903.699,16430.805
14224.38,15493.698
13788.529,14242.479
12995.8,13391.708
12461.28,12722.426
12797.92,12226.103
12892.399,12440.565
12471.33,12871.3125
12781.55,12961.977
13665.38,12970.5205
14293.72,13690.956
15418.779,14751.606
17616.9,15957.465
18177.5,17359.518
18733.92,18226.15
19344.629,18820.184
20297.95,19218.988
20007.074,19687.879
19716.2,19381.701
19425.326,18960.566
19134.45,18350.07
18267.2,17845.936
17713.45,17274.55
16932.08,17108.803
15714.1,16902.314
15215.08,15848.059
14879.55,14798.797
14438.22,14213.593
14128.83,13960.779
13788.35,13800.576
13900.35,13904.942
