test_y,predicted_values
1408.8235,1394.6409
1438.2354,1439.3837
1452.9412,1463.9031
1438.2354,1477.1945
1367.6471,1453.4823
1391.1765,1411.3353
1311.7646,1374.2871
1291.1765,1338.4924
1311.7646,1327.25
1320.5883,1352.3057
1444.1177,1385.4915
1464.7059,1446.4698
1526.4706,1458.7925
1482.3529,1466.078
1502.9412,1438.3745
1473.5293,1421.7979
1455.8823,1401.574
1402.9412,1385.571
1447.0588,1361.1339
1458.8235,1368.9509
1314.7058,1387.6194
1347.0588,1344.052
1297.0588,1342.6288
1300.0,1333.4077
1350.0,1349.7379
1400.0,1379.4226
1426.4707,1410.1544
1382.3529,1421.9175
1361.7646,1393.894
1305.8824,1361.4049
1314.7058,1329.4883
1294.1177,1328.3699
1308.8235,1341.3209
1285.2941,1374.1887
1341.1765,1402.9297
1432.3529,1429.1113
1417.6471,1460.1613
1411.7646,1457.966
1317.6471,1434.9786
1341.1765,1371.1631
1264.7058,1333.2213
1276.4706,1278.2413
1208.8236,1251.494
1191.1764,1211.2393
1238.2352,1187.9785
1261.7646,1198.9584
1270.5883,1224.6506
1241.1764,1261.8055
1264.7058,1293.8602
1320.5883,1321.4581
1402.9412,1347.6454
1373.5294,1377.1744
1400.0,1361.4028
1347.0588,1356.1747
1291.1765,1333.8344
1297.0588,1315.422
1273.5294,1323.2642
1267.6471,1339.8164
1352.9413,1354.9506
1388.2352,1387.3898
1432.3529,1394.1766
1414.7059,1397.8864
1405.8823,1379.9615
1376.4707,1343.981
1379.4117,1301.8948
1300.0,1280.5197
1238.2352,1254.8477
1276.4706,1229.5444
1294.1177,1239.8682
1226.4706,1266.1759
1276.4706,1261.9269
1214.7058,1284.4739
1270.5883,1290.2201
1355.8823,1329.9751
1476.4706,1368.8673
1488.2354,1418.1241
1417.6471,1425.0183
1452.9412,1381.3949
1391.1765,1371.6774
1420.5883,1351.7057
1329.4119,1374.3461
1323.5294,1371.1256
1397.0588,1390.0514
1473.5293,1421.3237
1500.0,1453.7787
1467.6471,1457.3402
1505.8823,1431.6255
1420.5883,1420.612
1350.0,1370.2769
1244.1177,1310.4486
1726.4706,1251.0488
1489.7059,1403.0101
1252.9412,1376.1023
1191.1764,1289.833
1217.6471,1240.3943
1279.4119,1247.9917
1297.0588,1305.1719
1367.6471,1358.7742
1441.1765,1400.1925
1476.4706,1418.7755
1502.9412,1433.4104
1420.5883,1430.8394
1344.1177,1388.8534
1388.2352,1348.914
1341.1765,1358.403
1358.8235,1366.3221
1432.3529,1404.8485
1541.1765,1451.8894
