test_y,predicted_values
29756.691,31344.193
27970.143,28660.695
26509.508,26601.656
25129.543,25048.02
23070.81,23390.783
22076.268,21597.41
20454.578,20615.953
19223.84,19509.85
18935.88,18441.596
18400.105,18506.215
18668.24,18788.88
18780.846,19480.941
20530.0,20060.125
22161.129,21473.365
21904.86,23786.549
23124.19,24832.504
24678.7,25682.078
27303.875,26460.291
29207.783,28363.414
28792.219,30176.135
29972.113,29789.898
29647.553,30535.03
29322.992,30225.44
28998.434,29307.734
28673.875,28014.72
26679.93,26975.793
25420.988,25175.572
24006.69,23809.344
22398.662,22647.775
20883.875,21252.65
19923.275,19973.379
19118.908,19069.426
17874.578,18398.115
17342.395,17529.629
17983.205,17601.395
19462.254,18697.59
19301.867,20032.594
20618.592,20159.459
23199.12,21573.074
25686.621,24571.105
27243.943,27126.523
29402.184,28817.643
30547.607,30650.219
31658.17,31553.746
32144.861,32382.629
32550.67,32691.398
32524.72,32771.23
31828.062,31999.146
30289.473,30692.121
27572.994,28844.748
26353.734,26338.547
25079.05,25036.564
23639.33,23746.24
22164.402,22337.244
21255.6,21070.393
20664.297,20160.719
20123.064,19730.887
19363.662,19813.562
19947.254,20060.441
21831.727,20913.377
22786.762,22637.154
23363.135,24015.186
25805.389,25270.332
28676.516,28003.242
30542.643,30907.717
32568.379,32790.57
34072.29,34322.297
35836.445,35476.14
36563.207,36601.71
37567.36,36973.668
37173.207,37538.535
36779.05,36481.42
34755.637,35162.664
32546.902,33002.184
31059.084,30860.748
27791.338,29339.236
25586.092,26442.05
23249.965,24349.402
21858.38,22556.217
20731.797,21265.477
20103.488,20311.834
19525.178,20086.436
19933.31,20406.404
21484.367,21238.486
23554.402,22652.46
24418.275,24579.197
25957.57,26105.828
29042.643,27843.555
32533.418,30568.732
34709.086,34028.402
35958.1,36378.324
37103.273,37505.918
39256.516,38147.188
39169.613,39469.875
39428.17,39091.137
38696.76,38451.324
35575.387,37072.473
32995.6,33820.15
30222.078,31207.156
28035.354,28485.752
26391.373,26229.053
25586.338,24627.004
22777.924,23890.184
21774.648,21960.836
20648.734,21148.547
20139.295,20626.373
20369.93,20950.5
21356.34,21871.39
23359.932,22763.35
23725.986,24458.531
26195.775,25498.434
28667.818,28139.424
31635.951,30760.715
33951.094,33276.816
35844.86,35417.08
37594.65,37069.09
38997.89,38241.473
39337.324,39049.78
39350.355,39087.85
37485.918,38263.49
35555.457,35835.727
33035.883,33349.348
31397.078,30817.91
29089.156,29208.436
26799.824,27347.719
24787.254,25132.75
22772.746,23313.879
21538.346,21754.412
20353.908,20870.479
19737.078,20377.195
20005.281,20539.453
21972.184,21287.43
23625.951,23160.969
23311.514,24892.232
24373.451,25713.125
28490.6,27232.71
32611.023,30953.943
34368.49,34714.496
35154.613,36450.996
36464.367,36983.26
37295.25,37596.4
38334.156,37909.125
38159.93,38199.523
38110.496,37264.99
35677.71,36278.38
33321.62,33692.707
31100.035,31264.494
28479.191,29295.19
25797.889,26999.664
23387.502,24475.65
22671.725,22235.99
21313.31,21535.04
20659.613,20455.336
19979.72,20277.07
20045.562,20639.172
21044.121,21284.79
22079.156,22141.906
22703.346,22969.121
24855.6,24705.47
27542.572,27639.893
30168.451,30181.967
32298.627,32433.246
33808.7,33993.332
34799.79,35182.492
35692.36,35911.18
36350.35,36312.07
36230.105,36314.473
35203.027,35469.562
32993.418,33589.54
29868.31,31113.834
27487.816,28118.842
25506.094,25696.309
23675.107,23799.816
21569.016,22192.268
20353.275,20496.219
19790.387,19453.352
19214.648,18865.232
18277.5,18616.928
17816.797,18709.621
18772.254,19038.56
19402.5,19915.695
20744.014,20715.613
22974.965,22817.77
25610.037,25676.27
27436.797,28150.963
