test_y,predicted_values
18092.67,18773.809
17662.08,17767.12
17345.469,17583.979
17107.35,17845.219
19826.95,17929.676
19630.67,19488.617
19162.719,19203.197
18683.52,18570.682
18201.28,18049.979
18097.8,17655.275
17966.049,17954.57
18745.365,18077.732
19524.682,18423.469
20303.998,18987.1
21083.312,20222.902
21862.629,21633.92
21037.8,22319.377
20212.97,21531.592
20877.92,20809.654
20652.049,21259.188
20820.78,21108.512
21024.25,21070.914
21058.02,21098.76
20741.5,20930.006
20413.951,20330.027
19847.33,19736.625
19029.92,19310.59
18386.13,19157.96
17844.379,19024.377
17040.379,18079.299
16450.549,16861.83
15999.2705,16156.872
15050.63,15807.47
15359.687,15203.7705
15668.743,15692.707
15977.799,16427.424
16045.5,16767.402
16359.25,16925.898
17182.72,17509.926
18339.92,18400.965
19767.42,19011.133
20743.33,19757.99
21091.95,20594.918
21477.95,20949.959
21573.82,21402.334
21559.078,21531.422
21507.55,21439.252
21215.28,21201.086
20942.5,20592.914
19726.47,20093.307
19603.15,19197.057
18735.55,19482.188
18191.9,19198.7
17434.13,18388.957
17007.4,17400.766
16594.7,16741.742
16835.416,16474.848
17076.13,16883.957
17316.848,17467.004
17557.564,17889.635
17798.28,18037.7
18442.469,18380.812
20004.77,19257.514
20921.25,20952.773
21064.129,21653.768
19702.5,21254.191
20327.049,20169.467
19613.0,20467.074
19039.031,20094.475
20745.85,19591.016
20596.33,20814.541
19968.781,20558.684
19525.85,19681.11
19166.7,19169.602
19450.2,19149.1
19448.25,19704.006
20033.14,19856.229
20618.03,19988.055
19863.45,20137.736
19506.568,19423.627
19036.43,19089.809
18734.25,18841.406
18710.42,18896.537
19114.8,19003.074
19328.879,19281.527
19250.016,19789.049
19171.15,20071.209
20532.0,20186.502
22280.35,20925.12
21364.67,22063.156
21721.4,21690.28
22004.0,21820.922
22447.219,22253.842
22328.398,22746.547
21823.83,22524.059
21248.8,21808.986
20417.08,20981.656
19935.28,20237.951
18044.951,20084.59
18504.93,18983.438
22006.38,19259.09
21101.33,21612.648
19900.1,20868.951
19720.15,19607.996
18955.92,19344.746
18679.379,18898.584
18529.0,19005.14
18834.9,19006.16
19709.668,18966.357
19056.186,19615.791
18402.7,19774.867
19793.479,19761.684
21037.15,20593.002
20425.68,21234.299
20512.299,20810.428
20980.35,20811.246
21115.75,21272.832
21262.701,21312.465
21082.168,21346.787
20810.469,21035.055
19987.58,20312.246
19415.969,19333.705
18609.38,19119.295
18961.1,19390.635
19503.266,20080.838
20045.434,19914.373
20587.6,19742.182
19793.78,19934.057
19130.9,19413.133
18867.17,18917.422
18803.88,18940.37
19401.0,19169.354
20264.58,19487.783
20096.164,19987.64
19927.746,20227.215
19759.33,20557.287
19885.215,20457.3
20011.1,20193.736
20682.549,20279.857
20944.25,20780.84
21279.42,21030.17
21411.6,21241.688
21216.398,21310.605
