test_y,predicted_values
1408.8235,1392.2009
1438.2354,1440.4663
1452.9412,1468.9601
1438.2354,1478.6578
1367.6471,1453.391
1391.1765,1386.2345
1311.7646,1384.3744
1291.1765,1317.0564
1311.7646,1302.2725
1320.5883,1338.8405
1444.1177,1374.105
1464.7059,1465.6619
1526.4706,1477.6344
1482.3529,1504.6233
1502.9412,1468.2843
1473.5293,1474.3447
1455.8823,1467.631
1402.9412,1437.3303
1447.0588,1383.6262
1458.8235,1406.3524
1314.7058,1438.4495
1347.0588,1336.0677
1297.0588,1348.7523
1300.0,1332.7852
1350.0,1352.3735
1400.0,1396.383
1426.4707,1427.8492
1382.3529,1435.4891
1361.7646,1391.4319
1305.8824,1364.1957
1314.7058,1309.6538
1294.1177,1297.1288
1308.8235,1293.7273
1285.2941,1322.352
1341.1765,1343.4824
1432.3529,1388.322
1417.6471,1454.084
1411.7646,1434.9656
1317.6471,1418.6703
1341.1765,1341.7963
1264.7058,1323.041
1276.4706,1265.2598
1208.8236,1264.2214
1191.1764,1216.9625
1238.2352,1192.627
1261.7646,1231.5327
1270.5883,1261.5162
1241.1764,1298.2347
1264.7058,1308.7115
1320.5883,1331.5278
1402.9412,1356.6809
1373.5294,1397.7919
1400.0,1365.689
1347.0588,1361.3274
1291.1765,1323.2927
1297.0588,1284.7483
1273.5294,1298.787
1267.6471,1313.5122
1352.9413,1343.2971
1388.2352,1400.8917
1432.3529,1408.3665
1414.7059,1423.579
1405.8823,1411.2406
1376.4707,1388.4614
1379.4117,1350.178
1300.0,1335.8652
1238.2352,1283.5059
1276.4706,1241.2583
1294.1177,1279.8535
1226.4706,1302.2966
1276.4706,1255.9913
1214.7058,1290.404
1270.5883,1276.7943
1355.8823,1321.1392
1476.4706,1388.0316
1488.2354,1464.2805
1417.6471,1470.7351
1452.9412,1401.6465
1391.1765,1416.7771
1420.5883,1375.8038
1329.4119,1408.067
1323.5294,1376.1252
1397.0588,1389.9988
1473.5293,1442.4559
1500.0,1492.8236
1467.6471,1502.5465
1505.8823,1465.2566
1420.5883,1470.9098
1350.0,1392.419
1244.1177,1321.4685
1726.4706,1246.7664
1489.7059,1592.4965
1252.9412,1493.6965
1191.1764,1296.5486
1217.6471,1243.7407
1279.4119,1252.6584
1297.0588,1334.7487
1367.6471,1371.6377
1441.1765,1423.2032
1476.4706,1427.094
1502.9412,1451.5967
1420.5883,1478.5718
1344.1177,1422.5312
1388.2352,1339.8513
1341.1765,1352.5725
1358.8235,1365.3748
1432.3529,1420.5992
1541.1765,1477.1208
1517.6471,1545.6593
1544.1177,1527.2744
1485.2941,1525.5222
1517.6471,1459.7563
1455.8823,1465.395
1308.8235,1451.2874
1291.1765,1366.9985
1258.8235,1282.2848
1326.4706,1219.2864
1258.8235,1276.4891
1323.5294,1267.8364
1250.0,1323.5992
1355.8823,1300.3805
1376.4707,1392.3629
1497.0587,1435.5398
1455.8823,1498.0204
1435.2941,1457.7129
1426.4707,1417.8163
1405.8823,1414.2701
1282.3529,1394.957
1282.3529,1300.1681
1326.4706,1303.5018
1402.9412,1381.2235
1511.7648,1441.8966
1517.6471,1507.0996
1532.3529,1511.4769
1538.2354,1514.2012
1473.5293,1494.6716
1405.8823,1435.051
1285.2941,1379.2168
1211.7646,1305.711
1205.8824,1228.9493
1247.0588,1205.3513
1223.5294,1225.6796
1264.7058,1228.8981
1229.4117,1269.5505
1308.8235,1281.5065
1300.0,1354.5406
1435.2941,1364.454
1497.0587,1427.2438
1520.5881,1461.0831
1485.2941,1475.2289
1429.4117,1443.8905
1382.3529,1396.6221
1347.0588,1385.3729
1314.7058,1383.9058
1405.8823,1399.5708
1502.9412,1462.8408
1541.1765,1528.4531
1538.2354,1537.1133
1479.4117,1521.2074
1523.5294,1458.5409
1385.2941,1458.4767
1444.1177,1362.0809
1376.4707,1412.4962
1308.8235,1371.278
1329.4119,1308.169
1367.6471,1329.5328
1323.5294,1367.0187
1305.8824,1348.5256
1355.8823,1349.5225
1541.1765,1410.4058
1591.1765,1555.5273
1608.8236,1599.0857
1505.8823,1596.882
1447.0588,1502.122
1420.5883,1426.4172
1402.9412,1403.236
1408.8235,1389.4406
1402.9412,1425.5349
1529.4117,1461.7454
1617.647,1572.3546
1597.0588,1631.4758
1652.9412,1609.449
1541.1765,1619.3054
1514.7059,1516.5178
1505.8823,1457.3499
1417.6471,1451.0043
1423.5294,1398.4072
1417.6471,1389.4044
1470.5883,1400.1377
1429.4117,1442.4408
1332.3529,1424.9967
1326.4706,1374.9094
1405.8823,1393.8866
1476.4706,1469.0704
1550.0,1525.056
1558.8235,1552.6813
1367.6471,1528.0378
1279.4119,1380.8939
1276.4706,1289.9989
1350.0,1278.8217
1326.4706,1319.3563
1311.7646,1347.0
1473.5293,1376.9761
1508.8235,1500.7173
1582.3529,1537.3557
1541.1765,1584.9463
1511.7648,1540.7721
1476.4706,1481.5742
1452.9412,1421.2627
1447.0588,1400.1368
1473.5293,1428.3949
1488.2354,1457.9813
1502.9412,1467.7228
1494.1177,1467.8976
1494.1177,1475.7537
1520.5881,1500.883
1561.7648,1564.938
1552.9412,1628.1498
1558.8235,1630.8695
1547.0587,1580.6184
1558.8235,1519.1938
1482.3529,1517.9059
1423.5294,1481.8192
1447.0588,1433.8181
1429.4117,1449.3123
1464.7059,1469.7849
1535.2941,1545.1897
1566.6667,1616.4354
1598.0392,1620.3391
1629.4117,1612.2717
1626.4706,1607.7328
1585.2942,1585.093
1564.7059,1542.27
1511.7648,1537.3823
1547.0587,1526.9259
1488.2354,1543.2013
1491.1765,1503.3228
1414.7059,1494.9044
1502.9412,1442.0653
1520.5881,1502.9
1552.9412,1556.6456
1564.7059,1612.0088
1652.9412,1619.8706
1629.4117,1645.814
1582.3529,1608.7646
1470.5883,1557.4974
1414.7059,1484.3108
1400.0,1424.5785
1379.4117,1410.2101
1464.7059,1420.7625
1573.5294,1527.2059
1632.3529,1627.8209
1720.5883,1671.2999
1714.7058,1717.499
1664.7059,1695.303
1652.9412,1630.4619
1658.8236,1607.5433
1570.5881,1618.311
1664.7059,1568.4626
1467.6471,1636.6826
1450.0001,1518.9254
1508.8235,1479.8741
1558.8235,1529.2437
1570.5881,1575.3699
1617.647,1611.5879
1655.8823,1660.1445
1579.4117,1700.0488
1644.1176,1611.7664
1552.9412,1608.6165
1476.4706,1525.9429
1432.3529,1457.2057
1455.8823,1421.7343
1435.2941,1455.8524
1438.2354,1493.171
1564.7059,1540.9338
1723.5294,1638.1453
1785.2941,1755.4803
1758.8236,1781.0367
1744.1177,1740.4586
1755.8824,1704.1632
1652.9412,1695.9594
1594.1176,1623.4343
1614.7059,1575.7307
1523.5294,1578.933
1508.8235,1526.7352
1488.2354,1527.0327
1532.3529,1525.0782
1497.0587,1557.224
1573.5294,1547.1578
1579.4117,1607.2256
1602.9412,1620.0088
1608.8236,1613.0605
1600.0,1577.6954
1517.6471,1550.3938
1450.0001,1494.7378
1482.3529,1447.0471
1464.7059,1476.2638
1514.7059,1506.8252
1626.4706,1609.5022
1655.8823,1715.4703
1673.5294,1724.1979
1691.1764,1699.4219
1717.647,1680.1898
1711.7648,1673.188
1623.5294,1645.8757
1605.8823,1582.0814
1485.2941,1568.753
1420.5883,1474.9524
1441.1765,1429.115
1400.0,1440.9386
1435.2941,1421.6094
1470.5883,1454.8604
1617.647,1509.59
1694.1176,1636.8505
1570.5881,1705.9363
1620.5881,1606.305
1561.7648,1580.05
1488.2354,1517.518
1447.0588,1464.2806
1497.0587,1444.6238
1376.4707,1488.8627
1420.5883,1437.5569
1582.3529,1492.7625
1650.0,1623.6512
1670.5883,1676.3081
1700.0,1681.6279
1667.647,1677.0363
1688.2354,1630.5391
1541.1765,1613.9725
1505.8823,1510.7896
1379.4117,1471.094
1358.8235,1378.9674
1329.4119,1348.8541
1341.1765,1331.5502
