test_y,predicted_values
29756.691,31069.16
27970.143,28352.137
26509.508,26363.875
25129.543,24903.92
23070.81,23193.863
22076.268,21505.664
20454.578,20823.709
19223.84,19679.0
18935.88,18627.988
18400.105,18346.402
18668.24,18425.375
18780.846,19257.508
20530.0,19659.205
22161.129,21174.184
21904.86,23462.035
23124.19,24212.871
24678.7,25393.283
27303.875,26352.209
29207.783,28691.525
28792.219,30336.043
29972.113,29551.97
29647.553,30296.2
29322.992,29680.719
28998.434,28777.523
28673.875,27514.084
26679.93,27157.365
25420.988,24917.668
24006.69,23678.006
22398.662,22218.713
20883.875,20951.607
19923.275,19785.992
19118.908,19037.795
17874.578,18623.21
17342.395,17643.58
17983.205,17557.777
19462.254,18621.797
19301.867,20307.992
20618.592,20047.191
23199.12,21512.09
25686.621,24648.055
27243.943,27370.01
29402.184,28733.484
30547.607,30570.086
31658.17,31150.3
32144.861,32168.262
32550.67,32092.945
32524.72,32350.047
31828.062,31924.621
30289.473,30611.25
27572.994,28680.158
26353.734,25944.668
25079.05,24860.77
23639.33,23411.621
22164.402,22313.814
21255.6,21053.166
20664.297,20446.19
20123.064,20021.895
19363.662,19841.176
19947.254,19816.64
21831.727,20765.982
22786.762,22583.54
23363.135,23796.59
25805.389,24855.39
28676.516,27634.07
30542.643,30273.402
32568.379,32038.004
34072.29,33876.105
35836.445,34934.664
36563.207,36426.816
37567.36,36579.715
37173.207,37291.254
36779.05,36368.05
34755.637,35364.445
32546.902,33049.24
31059.084,30982.578
27791.338,29562.555
25586.092,26270.283
23249.965,24272.861
21858.38,22319.129
20731.797,21274.37
20103.488,20312.713
19525.178,20060.377
19933.31,20276.24
21484.367,21092.959
23554.402,22484.863
24418.275,24411.223
25957.57,25982.154
29042.643,27974.496
32533.418,30846.53
34709.086,34228.39
35958.1,36273.523
37103.273,37335.34
39256.516,37941.2
39169.613,39435.066
39428.17,38842.332
38696.76,38518.027
35575.387,36982.98
32995.6,33751.566
30222.078,31060.73
28035.354,28168.623
26391.373,25946.248
25586.338,24610.668
22777.924,24118.586
21774.648,21703.543
20648.734,21059.283
20139.295,20192.371
20369.93,20464.121
21356.34,21386.246
23359.932,22665.512
23725.986,24356.379
26195.775,25340.77
28667.818,28471.3
31635.951,31002.402
33951.094,33698.473
35844.86,35358.75
37594.65,37023.703
38997.89,38402.562
39337.324,39263.184
39350.355,39238.246
37485.918,38382.203
35555.457,35653.73
33035.883,33439.95
31397.078,30957.738
29089.156,29177.037
26799.824,27037.562
24787.254,24992.451
22772.746,23118.521
21538.346,21586.139
20353.908,20833.332
19737.078,19835.06
20005.281,19888.113
21972.184,20646.277
23625.951,22735.594
23311.514,24375.777
24373.451,24852.842
28490.6,26561.838
32611.023,30628.896
34368.49,34433.848
35154.613,35977.94
36464.367,36573.723
37295.25,37546.277
38334.156,37609.246
38159.93,38274.17
38110.496,37322.035
35677.71,36414.207
33321.62,33610.582
31100.035,31381.002
28479.191,29178.2
25797.889,26544.848
23387.502,24160.756
22671.725,21827.105
21313.31,21407.404
20659.613,20432.506
19979.72,20168.158
20045.562,20175.023
21044.121,20828.58
22079.156,21806.27
22703.346,22463.135
24855.6,23912.986
27542.572,27001.53
30168.451,29611.836
32298.627,31857.508
33808.7,33532.008
34799.79,35075.117
35692.36,35769.402
36350.35,36137.38
36230.105,36256.684
35203.027,35497.977
32993.418,33824.438
29868.31,31212.328
27487.816,28297.58
25506.094,25705.334
23675.107,23768.578
21569.016,22252.857
20353.275,20587.428
19790.387,19508.969
19214.648,18828.373
18277.5,18546.615
17816.797,18536.197
18772.254,18828.783
19402.5,19680.719
20744.014,19981.08
22974.965,22348.85
25610.037,25200.783
27436.797,27749.73
28837.008,29164.668
30273.38,30085.656
31280.496,31402.217
31995.457,32131.846
31261.451,32491.168
30527.45,31180.494
29793.443,29886.791
29059.438,28085.463
27082.361,26839.947
24928.17,24992.389
23757.607,22875.41
22057.184,21653.664
20538.346,20209.863
19763.697,19264.244
18635.21,18867.285
17681.902,17647.154
17494.684,16792.668
16842.113,17304.855
18179.648,17408.66
18295.0,18798.953
18932.113,18872.545
20503.346,20326.516
23363.488,22423.396
25099.824,25234.693
26974.754,26528.51
27715.281,28290.805
28012.605,28805.486
27431.445,28664.33
26850.283,27682.543
26269.12,26746.889
25687.959,25809.156
23909.438,24514.363
21942.395,22130.91
20664.791,20328.713
19742.078,19166.451
18504.578,18253.611
17424.684,17169.994
16745.635,16382.287
16611.338,15913.113
15577.889,15834.097
15478.697,15058.986
16506.057,15408.747
17407.994,17002.37
18338.416,17800.16
18817.678,18773.791
20989.402,20114.428
23475.74,22869.43
25903.488,25130.73
27863.98,27038.916
27790.389,28604.242
28202.29,28390.287
28654.438,28377.586
28733.17,28294.172
28929.402,28251.623
27913.945,27905.377
25995.035,26301.73
24263.275,24064.453
22281.62,22405.545
20697.572,20899.01
18989.086,19293.023
17829.473,17933.934
17070.6,17022.766
16588.557,16267.652
16083.663,15862.851
15615.704,15760.339
15346.162,15966.2705
16066.655,16268.951
17153.31,16937.533
17303.908,17969.906
18915.07,19019.62
22081.268,21176.234
24803.592,24233.375
25575.635,26368.826
27296.762,26513.977
28362.326,28067.639
28970.105,28588.621
29302.783,28964.746
29278.559,28857.262
28409.367,28228.336
26317.5,26767.748
23998.662,24481.066
21977.887,22353.785
20656.727,20461.828
19331.268,19152.406
18257.43,18003.941
17114.824,17360.469
16421.303,16489.748
15760.704,15829.081
15413.416,15461.4
15264.931,15624.77
15974.789,16227.104
17162.43,16928.379
17670.389,17937.357
20261.127,19376.729
23660.494,22675.83
25949.367,25786.15
26949.543,27414.617
28254.93,28025.967
29835.918,29075.514
30579.473,30074.994
31762.291,30512.232
30851.68,31331.217
29941.07,29915.283
29030.459,28255.13
26743.064,26853.518
25127.465,24748.39
23203.697,23518.088
20811.057,21597.21
19679.543,19487.566
18426.057,18615.986
17618.592,17741.178
17177.008,17084.07
16609.084,16932.824
17505.318,16773.922
19028.346,18100.256
19999.86,19688.03
19259.05,20827.684
21947.008,21262.12
24975.354,24535.84
28118.627,26958.082
29869.227,29556.57
31261.727,31213.7
32763.84,32365.727
33104.367,33431.258
34309.754,33348.004
33300.812,34128.023
32291.867,32625.611
31282.922,31073.969
28981.832,29296.53
26646.797,27077.611
24633.592,24941.75
22588.559,22887.963
20623.662,21308.658
19895.705,19594.664
19471.832,19284.697
