test_y,predicted_values
18092.67,18789.906
17662.08,17708.412
17345.469,17456.943
17107.35,17750.371
19826.95,18046.418
19630.67,19516.834
19162.719,19045.316
18683.52,18623.057
18201.28,17991.021
18097.8,17675.129
17966.049,17898.354
18745.365,18182.713
19524.682,18625.465
20303.998,18824.748
21083.312,19964.418
21862.629,21370.072
21037.8,22178.11
20212.97,21182.21
20877.92,20668.096
20652.049,21553.201
20820.78,20808.633
21024.25,20842.498
21058.02,20844.828
20741.5,20774.588
20413.951,20224.52
19847.33,19770.947
19029.92,19278.916
18386.13,18928.873
17844.379,19162.564
17040.379,17358.717
16450.549,16552.527
15999.2705,16098.355
15050.63,15731.899
15359.687,15143.334
15668.743,15594.544
15977.799,16344.962
16045.5,16722.89
16359.25,16594.025
17182.72,17245.834
18339.92,18272.57
19767.42,18967.146
20743.33,19898.9
21091.95,21081.754
21477.95,21366.838
21573.82,21554.422
21559.078,21606.994
21507.55,21425.701
21215.28,21247.395
20942.5,20642.328
19726.47,20105.934
19603.15,18986.588
18735.55,19222.781
18191.9,19110.08
17434.13,17948.17
17007.4,16941.764
16594.7,16494.021
16835.416,16086.413
17076.13,16652.902
17316.848,17051.65
17557.564,17632.846
17798.28,17856.947
18442.469,17965.162
20004.77,18995.996
20921.25,21035.94
21064.129,21831.123
19702.5,21184.71
20327.049,20059.248
19613.0,20452.459
19039.031,19968.234
20745.85,19290.664
20596.33,20543.809
19968.781,20269.469
19525.85,19516.531
19166.7,18858.535
19450.2,18858.768
19448.25,19418.174
20033.14,19891.957
20618.03,19915.27
19863.45,20007.049
19506.568,19398.992
19036.43,18969.95
18734.25,18763.139
18710.42,18736.816
19114.8,18925.908
19328.879,19449.61
19250.016,19509.637
19171.15,19936.426
20532.0,20192.65
22280.35,20957.123
21364.67,21959.719
21721.4,21480.771
22004.0,21776.625
22447.219,22174.676
22328.398,22806.416
21823.83,22090.895
21248.8,21486.553
20417.08,20777.752
19935.28,19946.357
18044.951,19893.967
18504.93,18650.254
22006.38,19397.07
21101.33,21802.973
19900.1,20570.26
19720.15,19347.908
18955.92,18981.021
18679.379,18503.676
18529.0,18467.771
18834.9,18701.795
19709.668,18826.055
19056.186,19374.809
18402.7,19316.62
19793.479,19261.303
21037.15,20476.893
20425.68,20887.854
20512.299,20597.455
20980.35,20831.043
21115.75,21000.178
21262.701,21084.53
21082.168,21020.754
20810.469,20556.85
19987.58,20103.93
19415.969,19135.549
18609.38,18761.033
18961.1,18978.47
19503.266,20033.543
20045.434,19301.234
20587.6,19260.053
19793.78,19838.984
19130.9,18968.672
18867.17,18537.973
18803.88,18518.01
19401.0,18950.146
20264.58,19547.252
20096.164,19836.34
19927.746,20021.396
19759.33,20556.77
19885.215,20342.617
20011.1,19818.797
20682.549,20132.084
20944.25,20837.338
21279.42,20891.695
21411.6,21181.855
21216.398,21244.754
20706.65,20944.207
20106.299,20185.453
19393.02,19462.23
18470.57,18921.166
19277.549,18652.305
20024.79,19958.768
20772.03,20099.992
20317.201,20458.545
19454.47,19949.213
19229.15,19123.494
18887.98,19108.34
19003.7,19038.66
19221.2,19586.438
18814.65,19791.193
19002.916,18907.814
19191.184,19078.725
19379.45,19338.588
20824.1,19589.49
20157.48,20545.965
20109.75,20402.855
20317.53,20182.422
20364.75,20580.482
20196.18,20676.012
19908.75,20087.248
19483.83,19620.895
18784.03,19000.15
17956.25,18283.904
17180.451,17740.217
17233.15,17490.633
20310.97,17561.893
19528.22,19916.8
18995.9,18939.113
18736.78,18667.463
18378.68,18285.182
17896.55,18147.06
17530.1,17937.299
16815.58,17736.436
16895.0,17010.71
16980.693,16802.324
17066.387,17254.258
17152.08,17549.568
18008.13,18170.506
19004.469,18278.477
19815.92,19372.537
20176.45,20261.213
20419.129,20383.498
20225.104,20550.05
20031.076,20216.791
19837.05,19767.033
18696.18,19386.406
18231.33,17932.701
17472.6,17418.365
16841.35,17185.62
16455.129,17084.352
15751.72,15684.481
15230.15,15101.54
14241.6,14834.024
13923.42,13940.091
13807.351,13708.918
13556.38,13790.979
14126.85,13805.414
14484.579,14333.805
15109.199,14510.566
15735.75,15364.315
17664.85,16200.778
18468.57,18365.648
19874.969,18677.357
20064.8,20090.31
20466.23,20404.963
20393.068,20521.555
20234.9,20470.775
19898.35,20025.143
19304.3,19540.617
18541.95,18564.111
17425.88,17870.787
16634.75,16613.562
15391.55,16198.518
15123.569,15740.016
14556.6,14981.296
14289.25,14353.003
13910.63,13918.089
14012.31,13771.937
14113.989,13841.316
14215.67,14046.652
14317.35,14603.23
15189.92,14792.595
15781.73,15467.903
17135.55,16316.679
18565.648,17995.947
19181.38,19209.758
18859.47,19538.457
18971.53,18938.826
18953.75,19044.06
18967.15,19119.01
18914.4,18797.607
18962.75,18438.475
18353.4,18335.047
17652.1,17540.447
16946.73,16799.604
16426.316,16227.039
15905.899,16312.76
18295.28,16455.812
17884.15,17817.166
17242.55,17315.232
17065.25,16750.156
16510.969,16734.578
16194.449,16205.294
16038.8,15993.813
16697.67,16294.19
17018.0,17021.168
16584.914,17065.082
16151.83,16975.115
17632.03,16865.238
17655.889,18059.188
17679.75,17823.145
17791.9,17710.312
18009.08,18044.672
18001.68,18108.82
17856.28,18009.299
17562.8,17852.389
17055.129,17267.834
16399.7,16576.697
15878.529,15667.846
16072.98,15562.388
16267.43,16557.377
18729.201,17364.623
18166.5,18393.354
17483.65,17849.627
16993.82,17064.615
16760.719,16609.16
16180.199,16462.037
16257.4,16047.406
16712.229,16459.68
15544.83,16709.432
15810.25,15407.4
16075.669,15855.3955
18102.35,16501.102
19233.3,18240.703
18454.05,19407.613
18844.83,18634.855
19212.4,19094.734
19149.15,19123.871
19296.13,18989.867
19042.92,19071.535
18639.328,18688.59
17930.22,18042.059
17376.4,17228.947
17101.328,17164.582
16889.88,17199.564
19110.13,18064.438
18562.2,18733.176
17863.03,18155.553
17275.719,17426.852
17204.22,16895.336
16832.5,16850.588
16984.33,16737.424
17361.7,17146.816
17365.03,17189.434
17603.229,17373.826
17841.43,17960.24
18079.629,18905.018
18629.588,18919.457
19179.549,19171.271
18945.42,19287.04
18777.5,19219.447
19036.469,18851.605
19210.6,19000.123
19077.25,18940.492
18342.469,18630.217
18105.65,17782.803
17880.969,17409.873
17186.6,17695.904
17663.85,17456.916
18344.676,18923.293
19025.498,18331.414
18586.7,18808.057
18001.55,18347.963
17500.3,17973.592
16739.6,17363.857
17199.6,16870.82
17848.549,17501.492
18523.398,17885.121
18351.6,18507.184
18179.8,18333.383
18008.0,18735.283
19219.6,18597.717
19247.879,19664.941
19827.52,19443.676
20040.0,19972.125
20207.68,20197.604
20048.92,20238.865
19811.7,19792.576
19312.45,19467.76
18594.701,18970.855
17902.92,18217.121
18673.996,17755.7
19445.072,18791.955
20216.15,19933.984
19689.95,19914.746
19205.25,19223.223
18746.32,18618.645
18479.85,18267.828
18421.129,18159.61
18361.4,18489.275
18779.28,18611.941
19066.248,18858.012
19009.969,18856.72
18472.44,19089.621
17934.91,19153.387
17397.38,18954.875
18016.031,18469.69
18322.17,18904.668
18393.65,19167.354
18721.049,18998.193
18663.629,19038.43
18452.4,18783.31
20057.049,18286.074
21557.55,19583.773
21313.35,20899.129
21069.148,21017.117
20824.95,20719.338
20580.75,20689.79
19661.2,19624.027
18963.25,18783.143
18387.78,18330.152
17683.67,17854.908
17687.062,17272.219
17690.455,17490.877
17693.848,17867.969
17697.242,18024.965
17700.633,17925.229
17704.027,18061.371
17707.42,18376.387
18684.22,18488.52
19424.33,19368.078
20394.48,19940.172
20209.6,20765.537
20413.67,20482.23
20436.3,20531.297
20096.129,20587.248
19961.65,20505.8
19475.5,20063.232
18433.201,18963.629
17539.53,18004.363
16824.95,17127.508
16511.85,16974.498
15775.05,15953.267
15793.9,15262.463
15404.449,15395.006
15603.505,15050.362
15802.56,15349.362
16001.614,15651.803
16200.67,16252.423
17304.5,16502.469
17414.45,17414.352
17747.58,17708.209
18667.7,18385.22
18834.865,19339.148
19002.03,19247.918
18880.629,19299.592
19136.92,19043.57
19211.4,19308.879
19142.969,19108.01
18842.6,18791.406
18455.9,18385.967
17767.469,17846.572
17141.53,16999.84
16478.049,16606.383
16569.5,16564.035
19039.102,16849.871
18611.328,18459.564
18187.83,18031.742
17696.65,17691.88
17393.898,17414.152
17078.17,17131.293
17021.72,16960.639
17645.1,17304.049
17738.72,17860.047
17311.549,17657.145
16884.38,17569.705
18488.799,17325.25
19103.879,18855.295
18471.398,19109.242
18878.129,18511.775
19074.03,18828.9
19007.629,18956.922
19017.52,18760.826
19011.549,18585.47
18480.719,18455.102
17782.42,17888.543
17118.03,17318.352
17145.314,17133.582
17172.6,17729.746
19366.8,18069.61
19000.219,18840.41
18346.08,18515.352
18116.879,17893.105
17626.281,17710.564
17262.65,17361.135
17100.35,17159.625
17530.67,17303.455
18302.95,17568.264
17929.25,17740.902
17555.549,17693.973
18819.3,17830.418
19721.75,18919.178
18920.95,19723.729
19510.352,18893.992
19843.42,19399.805
19705.63,19670.479
19467.18,19478.994
19174.8,19195.443
18494.17,18676.48
17749.3,17915.23
17150.898,17052.271
16159.099,16892.932
17203.01,16494.496
18246.92,17847.143
18102.5,17731.518
17516.6,17586.783
16981.799,17067.455
16480.898,16457.078
16359.2,16126.161
16593.73,16289.998
16726.75,16928.312
17211.78,17070.617
16562.414,16970.717
15913.05,16380.188
17378.58,16329.105
18376.95,17710.363
18069.3,18382.895
18265.92,18322.893
17804.75,18294.793
17860.92,17603.36
17827.248,17433.127
17432.9,17305.488
16921.47,16984.746
16210.101,16266.01
15566.17,15402.478
14792.17,15159.608
15123.379,15185.661
17489.379,15904.765
16978.08,17071.586
16287.0205,16652.23
15481.949,16115.8545
16083.08,15413.29
15560.72,16224.258
15051.6,15980.518
15806.47,15731.003
16971.78,16218.086
16070.83,16587.771
15169.88,15884.466
16473.0,15656.449
17468.0,16804.451
17681.95,17370.516
17144.07,17659.756
17367.898,17336.342
17364.0,17381.303
17512.28,17173.762
17518.879,17234.443
16649.5,17445.209
15826.319,16729.262
15280.75,15686.651
14707.919,15248.702
14981.7,15391.751
17912.08,16095.85
17758.05,17413.48
17254.53,17423.441
16373.399,16973.387
15974.099,16244.331
15759.529,15663.589
15769.5205,15772.202
14787.63,16233.771
14735.6,15020.9
14264.97,14059.967
14320.149,13718.5625
15104.649,14674.308
15266.42,15668.6455
16308.349,15743.579
17033.799,16488.387
17597.729,17418.896
17445.537,17763.129
17293.344,17526.865
17141.15,17440.666
16988.957,17007.197
16836.764,16634.188
16684.572,16227.155
16532.38,16158.2295
15961.051,16645.842
14903.699,17041.223
14224.38,14727.289
13788.529,14131.116
12995.8,13600.124
12461.28,13053.322
12797.92,12503.698
12892.399,12906.906
12471.33,13132.968
12781.55,12889.609
13665.38,12809.605
14293.72,13795.8955
15418.779,15140.571
17616.9,16192.778
18177.5,18210.414
18733.92,18692.445
19344.629,19163.172
20297.95,19369.783
20007.074,20033.379
19716.2,19719.582
19425.326,19318.1
19134.45,18730.697
18267.2,18291.76
17713.45,17499.9
16932.08,17287.344
15714.1,17153.074
15215.08,15523.911
14879.55,14845.73
14438.22,14569.43
14128.83,14268.646
13788.35,14102.463
13900.35,13885.55
14595.55,14192.026
16043.27,15119.151
16181.53,16186.484
17346.15,16635.516
19167.35,18365.826
20501.98,20060.246
19798.65,20587.633
20293.1,20094.447
20679.629,20491.256
20830.98,20851.654
20791.28,20661.838
20488.879,20409.639
20127.97,19965.684
19446.08,19397.893
19005.22,18748.678
18269.299,18518.707
18109.03,18419.27
20592.05,18489.678
20178.78,20124.629
19636.45,19639.941
18619.219,19166.098
17998.32,18323.076
17594.53,17737.0
17673.35,17638.738
18628.67,18130.248
19666.05,19107.932
18933.324,19410.438
18200.6,19330.418
19347.379,19160.068
20425.35,20099.121
20693.98,20336.777
20623.904,20676.953
20553.83,20875.656
20596.78,20592.883
20585.879,20439.125
20320.781,20203.762
19439.969,19753.465
18806.53,18896.975
17986.1,18303.45
16846.648,17691.564
17404.45,17574.354
19677.35,18616.947
18925.95,19284.668
17910.85,18366.234
17203.78,17158.775
16837.88,16736.568
16542.82,16423.168
16528.879,16506.701
16923.799,17007.248
16717.5,17298.72
16676.564,16218.445
16635.63,16487.07
18944.08,17404.5
19154.33,19687.06
19193.63,19596.668
19677.68,19344.748
19838.05,19855.982
19878.244,19887.45
19918.436,19701.63
19958.629,19579.188
19270.6,19420.812
18650.47,18700.215
17888.719,17967.045
17136.129,17436.541
16652.47,17475.002
19614.068,17700.234
19160.47,18887.64
18701.33,18334.592
17664.3,17934.373
17118.85,17263.443
16543.38,16907.18
16960.3,16344.475
17377.219,17282.83
17791.969,17681.416
17105.676,17674.215
16419.379,17433.143
18929.22,17713.45
19242.219,19796.658
18255.75,19846.98
19181.1,18713.818
19571.78,19483.564
19987.47,19763.285
20201.0,19669.271
20045.78,19875.824
19430.63,19374.4
18590.92,18713.457
17177.35,17784.303
17474.064,16812.543
17770.78,17841.77
