test_y,predicted_values
1408.8235,1373.6833
1438.2354,1443.8022
1452.9412,1455.8173
1438.2354,1481.7601
1367.6471,1435.2036
1391.1765,1356.495
1311.7646,1372.377
1291.1765,1301.0623
1311.7646,1291.0083
1320.5883,1331.6849
1444.1177,1374.813
1464.7059,1466.6115
1526.4706,1475.1345
1482.3529,1525.7716
1502.9412,1470.625
1473.5293,1471.7639
1455.8823,1454.7894
1402.9412,1411.8894
1447.0588,1368.836
1458.8235,1406.4917
1314.7058,1453.4697
1347.0588,1310.0667
1297.0588,1342.483
1300.0,1310.5278
1350.0,1325.8873
1400.0,1390.5835
1426.4707,1422.8456
1382.3529,1436.2905
1361.7646,1374.5875
1305.8824,1360.4006
1314.7058,1281.335
1294.1177,1297.0164
1308.8235,1289.7205
1285.2941,1320.7347
1341.1765,1348.358
1432.3529,1377.4669
1417.6471,1455.2441
1411.7646,1419.0016
1317.6471,1411.0027
1341.1765,1308.8497
1264.7058,1319.9019
1276.4706,1231.9465
1208.8236,1249.7559
1191.1764,1180.3873
1238.2352,1162.4385
1261.7646,1223.4875
1270.5883,1247.7612
1241.1764,1273.9395
1264.7058,1277.9507
1320.5883,1309.5403
1402.9412,1343.7424
1373.5294,1402.5203
1400.0,1355.8348
1347.0588,1370.0338
1291.1765,1312.2089
1297.0588,1259.4867
1273.5294,1287.1284
1267.6471,1273.794
1352.9413,1325.884
1388.2352,1382.1514
1432.3529,1398.6366
1414.7059,1416.0574
1405.8823,1397.2174
1376.4707,1378.3274
1379.4117,1344.0803
1300.0,1347.6008
1238.2352,1282.108
1276.4706,1226.3252
1294.1177,1273.5944
1226.4706,1295.3843
1276.4706,1232.4836
1214.7058,1271.5383
1270.5883,1252.4382
1355.8823,1305.633
1476.4706,1384.043
1488.2354,1470.9478
1417.6471,1467.7306
1452.9412,1376.5089
1391.1765,1412.1793
1420.5883,1357.4207
1329.4119,1404.0703
1323.5294,1326.9922
1397.0588,1375.1132
1473.5293,1425.3687
1500.0,1482.6154
1467.6471,1494.3071
1505.8823,1444.9993
1420.5883,1485.5616
1350.0,1384.6222
1244.1177,1320.3423
1726.4706,1213.1245
1489.7059,1683.015
1252.9412,1470.9575
1191.1764,1249.7401
1217.6471,1217.1654
1279.4119,1238.0018
1297.0588,1326.5416
1367.6471,1365.4182
1441.1765,1431.9113
1476.4706,1426.7083
1502.9412,1464.7264
1420.5883,1478.2108
1344.1177,1398.2214
1388.2352,1347.7144
1341.1765,1352.077
1358.8235,1358.7587
1432.3529,1421.5995
1541.1765,1482.1951
1517.6471,1559.9688
1544.1177,1492.8854
1485.2941,1548.8582
1517.6471,1462.8712
1455.8823,1474.8859
1308.8235,1439.3611
1291.1765,1356.1304
1258.8235,1247.6957
1326.4706,1208.7495
1258.8235,1308.1958
1323.5294,1271.8383
1250.0,1341.0537
1355.8823,1282.0458
1376.4707,1399.6375
1497.0587,1421.3741
1455.8823,1511.8127
1435.2941,1456.7175
1426.4707,1408.5862
1405.8823,1401.9384
1282.3529,1414.3015
1282.3529,1277.4866
1326.4706,1311.3601
1402.9412,1383.2505
1511.7648,1447.7238
1517.6471,1524.9402
1532.3529,1516.9995
1538.2354,1527.4723
1473.5293,1515.5765
1405.8823,1439.1981
1285.2941,1363.1412
1211.7646,1314.9519
1205.8824,1187.3291
1247.0588,1193.1696
1223.5294,1224.0265
1264.7058,1234.5898
1229.4117,1267.4286
1308.8235,1271.7156
1300.0,1355.5703
1435.2941,1363.7184
1497.0587,1435.867
1520.5881,1478.3691
1485.2941,1488.3352
1429.4117,1444.723
1382.3529,1397.7518
1347.0588,1371.9092
1314.7058,1373.0852
1405.8823,1389.5922
1502.9412,1462.7828
1541.1765,1522.9315
1538.2354,1549.4236
1479.4117,1525.9532
1523.5294,1468.227
1385.2941,1478.9381
1444.1177,1336.8998
1376.4707,1430.4264
1308.8235,1353.2656
1329.4119,1295.9388
1367.6471,1300.7352
1323.5294,1375.0582
1305.8824,1321.0211
1355.8823,1345.5602
1541.1765,1400.0466
1591.1765,1598.7286
1608.8236,1596.9354
1505.8823,1603.8186
1447.0588,1478.9767
1420.5883,1420.7156
1402.9412,1393.4557
1408.8235,1387.8234
1402.9412,1431.7358
1529.4117,1455.1592
1617.647,1595.1792
1597.0588,1626.8762
1652.9412,1607.8502
1541.1765,1637.8027
1514.7059,1520.0201
1505.8823,1468.2009
1417.6471,1475.8605
1423.5294,1425.6354
1417.6471,1377.1372
1470.5883,1415.5957
1429.4117,1453.6084
1332.3529,1429.464
1326.4706,1338.5013
1405.8823,1374.1924
1476.4706,1467.8495
1550.0,1544.5585
1558.8235,1566.4613
1367.6471,1560.8473
1279.4119,1356.9663
1276.4706,1274.1367
1350.0,1283.0042
1326.4706,1342.502
1311.7646,1358.2399
1473.5293,1386.6427
1508.8235,1525.9493
1582.3529,1534.7428
1541.1765,1595.8118
1511.7648,1520.8606
1476.4706,1492.1528
1452.9412,1431.7344
1447.0588,1407.1299
1473.5293,1446.4048
1488.2354,1445.6395
1502.9412,1478.3267
1494.1177,1459.2866
1494.1177,1469.1079
1520.5881,1487.0725
1561.7648,1549.2578
1552.9412,1613.6024
1558.8235,1611.706
1547.0587,1569.0717
1558.8235,1504.4559
1482.3529,1507.0668
1423.5294,1459.2646
