test_y,predicted_values
1408.8235,1374.0521
1438.2354,1439.3148
1452.9412,1453.996
1438.2354,1473.0802
1367.6471,1431.8239
1391.1765,1345.4259
1311.7646,1369.678
1291.1765,1296.0062
1311.7646,1275.1636
1320.5883,1325.2225
1444.1177,1359.494
1464.7059,1460.2532
1526.4706,1465.5687
1482.3529,1510.754
1502.9412,1461.5842
1473.5293,1466.12
1455.8823,1447.2666
1402.9412,1416.2847
1447.0588,1362.1674
1458.8235,1404.1876
1314.7058,1442.4515
1347.0588,1314.8019
1297.0588,1344.7332
1300.0,1312.935
1350.0,1341.5978
1400.0,1390.1184
1426.4707,1414.5465
1382.3529,1428.6941
1361.7646,1365.7006
1305.8824,1338.2719
1314.7058,1272.2786
1294.1177,1289.944
1308.8235,1293.1921
1285.2941,1319.3433
1341.1765,1343.0293
1432.3529,1380.8047
1417.6471,1450.4841
1411.7646,1416.1886
1317.6471,1403.6307
1341.1765,1302.0856
1264.7058,1311.0188
1276.4706,1230.3867
1208.8236,1251.1342
1191.1764,1187.0463
1238.2352,1167.4908
1261.7646,1231.4283
1270.5883,1259.6808
1241.1764,1278.1736
1264.7058,1281.2888
1320.5883,1310.8613
1402.9412,1344.5178
1373.5294,1399.9252
1400.0,1345.6477
1347.0588,1367.2175
1291.1765,1308.5457
1297.0588,1272.936
1273.5294,1291.234
1267.6471,1290.7817
1352.9413,1322.8243
1388.2352,1388.3959
1432.3529,1394.4257
1414.7059,1411.2037
1405.8823,1392.0206
1376.4707,1380.9316
1379.4117,1343.3535
1300.0,1340.4869
1238.2352,1276.8568
1276.4706,1218.6719
1294.1177,1268.7709
1226.4706,1298.3599
1276.4706,1222.2672
1214.7058,1279.582
1270.5883,1247.2904
1355.8823,1313.1035
1476.4706,1373.7311
1488.2354,1475.2799
1417.6471,1466.0319
1452.9412,1381.1484
1391.1765,1406.9061
1420.5883,1357.7756
1329.4119,1406.0636
1323.5294,1342.3153
1397.0588,1385.1357
1473.5293,1430.0922
1500.0,1491.8365
1467.6471,1484.8486
1505.8823,1449.628
1420.5883,1474.9817
1350.0,1380.3396
1244.1177,1312.7119
1726.4706,1211.3287
1489.7059,1656.4956
1252.9412,1449.0935
1191.1764,1262.1066
1217.6471,1206.4608
1279.4119,1241.2322
1297.0588,1317.3673
1367.6471,1356.9937
1441.1765,1415.2988
1476.4706,1437.2294
1502.9412,1459.5322
1420.5883,1468.8983
1344.1177,1393.2684
1388.2352,1329.9089
1341.1765,1359.0848
1358.8235,1337.4119
1432.3529,1415.6693
1541.1765,1475.158
1517.6471,1546.2402
1544.1177,1497.6609
1485.2941,1540.0854
1517.6471,1459.313
1455.8823,1466.9679
1308.8235,1427.9099
1291.1765,1354.572
1258.8235,1250.9695
1326.4706,1186.8557
1258.8235,1289.2758
1323.5294,1258.8652
1250.0,1331.8799
1355.8823,1277.3655
1376.4707,1401.7223
1497.0587,1433.4631
1455.8823,1509.6787
1435.2941,1445.9476
1426.4707,1408.9216
1405.8823,1397.4666
1282.3529,1397.9436
1282.3529,1271.9026
1326.4706,1294.2882
1402.9412,1374.5209
1511.7648,1454.3711
1517.6471,1516.4954
1532.3529,1503.4912
1538.2354,1513.3121
1473.5293,1503.5801
1405.8823,1431.1925
1285.2941,1350.5043
1211.7646,1296.5996
1205.8824,1197.3688
1247.0588,1188.6277
1223.5294,1225.5815
1264.7058,1227.6837
1229.4117,1269.7446
1308.8235,1265.987
1300.0,1362.006
1435.2941,1345.5415
1497.0587,1444.4838
1520.5881,1468.3491
1485.2941,1487.4915
1429.4117,1437.84
1382.3529,1389.4834
1347.0588,1371.88
1314.7058,1371.5183
1405.8823,1386.8348
1502.9412,1459.7025
1541.1765,1525.6737
1538.2354,1526.3333
1479.4117,1512.6132
1523.5294,1437.0398
1385.2941,1467.9823
1444.1177,1329.7806
1376.4707,1425.9546
1308.8235,1349.4075
1329.4119,1285.8652
1367.6471,1315.9617
1323.5294,1372.9683
1305.8824,1330.2175
1355.8823,1340.7981
1541.1765,1406.0613
1591.1765,1581.7277
1608.8236,1605.0718
1505.8823,1600.7908
1447.0588,1472.9564
1420.5883,1412.8813
1402.9412,1387.9119
1408.8235,1378.8861
1402.9412,1410.3844
1529.4117,1447.1492
1617.647,1579.7322
1597.0588,1619.0984
1652.9412,1590.2969
1541.1765,1622.288
1514.7059,1515.5997
1505.8823,1440.0243
1417.6471,1460.6932
1423.5294,1400.483
1417.6471,1384.0597
1470.5883,1395.6534
1429.4117,1452.8091
1332.3529,1427.9166
1326.4706,1352.124
1405.8823,1385.1494
1476.4706,1474.7644
1550.0,1536.1229
1558.8235,1557.9957
1367.6471,1534.0237
1279.4119,1347.0267
1276.4706,1250.9869
1350.0,1258.4388
1326.4706,1326.7587
1311.7646,1344.6815
1473.5293,1376.7373
